AUTHENTICATION_BETA_REGION,- Beta=0
Button/Tooltip/MasteryMengsk3,Zwiększa obrażenia od Uderzenia Kontaminacyjnego, Zagłady Nuklearnej i zniewolonych zergów wysyłanych przez Psy Wojny. /// Increases the damage of Contaminated Strike, Nuclear Annihilation, and enthralled Zerg deployed by Dogs of War.=11134
Button/Tooltip/MasteryMengsk4,Zmniejsza koszt Gwardii Imperialnej Mengska. /// Reduces the cost of Mengsk's Royal Guards.=11135
Button/Tooltip/MasteryMengsk5,Zwiększa początkową Władzę Imperialną. /// Increases initial Imperial Mandate.=11136
Button/Tooltip/MasteryMengsk6,Zwiększa tempo zdobywania doświadczenia przez Gwardię Imperialną. /// Increases the rate at which Royal Guards gain Experience.=11137
Button/Tooltip/MasteryNovaArmyAttackSpeed,Zwiększa szybkość ataku jednostek bojowych Novy. /// Increases the attack speed of Nova’s combat units.=11138
Button/Tooltip/MasteryNovaArmyOOCRegenSpeed,Zapewnia jednostkom Novy regenerację życia poza walką (w punktach na sekundę). /// Grants Nova’s units life regeneration while out of combat (per second).=11139
Button/Tooltip/MasteryNovaEnergyRegen,Zwiększa tempo regeneracji energii Novy.=11140
Button/Tooltip/MasteryNovaGriffinCooldown,Zmniejsza koszt Nalotu Gryfa.=11141
Button/Tooltip/MasteryNovaNukeAndHoloDecoyCooldown,Skraca czas odnowienia Taktycznego Ataku Jądrowego i Holowabika.=11142
Button/Tooltip/MasteryNovaPrimaryAbilityImprovement,Zwiększa obrażenia zadawane i wchłaniane przez zdolności podstawowe Novy o 1,67% za każdy wydany punkt do maksymalnej wartości 50%.=11143
Button/Tooltip/MasteryNovaWeaponAttackDamage,Zwiększa obrażenia od ataku Novy. /// Increases Nova's attack damage.=11144
Button/Tooltip/MasteryNovaWeaponAttackSpeed,Zwiększa szybkość ataku Novy.=11145
Button/Tooltip/MasteryRaynorDropPodHaste,Szybkość ataku, szybkość ruchu, regeneracja energii i redukcja czasów odnowienia jednostek bojowych Raynora, które pojawiają się pierwszy raz na polu walki, tymczasowo wzrasta.  /// Raynor's combat units temporarily gain increased attack speed, movement speed, energy regeneration, and cooldown reduction when they are first trained. =11146
Button/Tooltip/MasteryRaynorDuskWingCooldown,Skraca czas odnowienia zdolności Nalot Banshee. Nie wpływa na wstępny czas odnowienia na początku misji.=11147
Button/Tooltip/MasteryRaynorHyperionCooldown,Skraca czas odnowienia zdolności Hyperion. Nie wpływa na wstępny czas odnowienia na początku misji.=11148
Button/Tooltip/MasteryRaynorImprovedSafeguard,Jednostki leczone przez sanitariuszki otrzymują mniej obrażeń.=11149
Button/Tooltip/MasteryRaynorMechAttackSpeed,Zwiększa szybkość ataku jednostek Raynora z fabryki i portu gwiezdnego.=11150
Button/Tooltip/MasteryRaynorMedicSecondaryHeal,Sanitariuszki leczą dodatkowy pobliski cel o część zdrowia przywracanego celowi głównemu.=11151
Button/Tooltip/MasteryRaynorResearchCost,Zmniejsza koszt badań Raynora w surowcach.=11152
Button/Tooltip/MasteryRaynorStimDuration,Wydłuża czas działania stymulantów.=11153
Button/Tooltip/MasteryStetmannDeployStetelliteCooldown,Skraca czas odnowienia Wysyłki Stetalitów.=11154
Button/Tooltip/MasteryStetmannGaryAbilityCooldown,Skraca czas odnowienia zdolności Gary'ego i Super Gary'ego.=11155
Button/Tooltip/MasteryStetmannMaximumEgonergyPool,Zwiększa maksymalną pulę egonergii mechajednostek.=11156
Button/Tooltip/MasteryStetmannStetzoneBonuses,Zwiększa premie zapewniane przez stetopola.=11157
Button/Tooltip/MasteryStetmannStructureMorphRate,Skraca czas przekształcania budowli.=11158
Button/Tooltip/MasteryStetmannUpgradeResourceCost,Zmniejsza koszt opracowania ulepszeń uzbrojenia i pancerzy Stetmanna.=11159
Button/Tooltip/MasteryStukovAleksanderCDR,Skraca czas odnowienia zdolności Aleksander. Nie wpływa na wstępny czas odnowienia na początku misji.=11160
Button/Tooltip/MasteryStukovApocaliskCDR,Skraca czas odnowienia Apokaliska. Nie wpływa na wstępny czas odnowienia na początku misji.=11161
Button/Tooltip/MasteryStukovBroodlingSpawnRate,Zwiększa tempo powijania pomiotów w zainfekowanych budowlach.=11162
Button/Tooltip/MasteryStukovInfestStructureCDR,Skraca czas odnowienia zdolności Infekowanie Budowli. Nie wpływa na wstępny czas odnowienia na początku misji.=11163
Button/Tooltip/MasteryStukovMechAttackSpeed,Zwiększa szybkość ataku jednostek Stiukowa z fabryki i portu gwiezdnego. /// Increases the attack speed of Stukov’s Factory and Starport units.=11164
Button/Tooltip/MasteryStukovTimedLife,Wydłuża czas życia zainfekowanych cywili, zainfekowanych marines i zainfekowanych żołnierzy.=11165
Button/Tooltip/MasteryStukovUnitMoveSpeed,Zwiększa szybkość ruchu jednostek bojowych.=11166
Button/Tooltip/MasteryStukovUnitRegenSpeed,Zwiększa regenerację życia wszystkich jednostek.=11167
Button/Tooltip/MasteryStukovVolatileChance,Dodaje szansę na to, żeby zamiast zainfekowanego cywila powity został wybuchowy zainfekowany, który w chwili śmierci wybucha i zadaje obrażenia obszarowe.=11168
Button/Tooltip/MasterySwannBuildingHealth,Zwiększa ilość punktów życia budowli Swanna. /// Increases the life of Swann's structures.=11169
Button/Tooltip/MasterySwannCombatDrop,Zwiększa czas działania i wytrzymałość robotów bojowych A.R.E.S.=11170
Button/Tooltip/MasterySwannConcentratedBeam,Zwiększa szerokość Skupionej Wiązki i jej obrażenia.=11171
Button/Tooltip/MasterySwannImmortalityProtocol,Zmniejsza zużycie surowców i czas budowy po użyciu protokołu nieśmiertelności.=11172
Button/Tooltip/MasterySwannLaserDrillBuildTime,Skraca początkowy czas budowy, odbudowy i ulepszania oraz zmniejsza koszt ulepszania Wiertła Laserowego Drakken.=11173
Button/Tooltip/MasterySwannVespeneDroneCost,Zmniejsza koszt robotów wespanowych w surowcach.=11174
Button/Tooltip/MasteryTychusCommanderAttackSpeed,Zwiększa szybkość ataku Tychusa.=11175
Button/Tooltip/MasteryTychusGrenadeCooldown,Skraca czas odnowienia Granatu Odłamkowego Tychusa.=11176
Button/Tooltip/MasteryTychusHeroCooldown,Przyspiesza dostępność banitów.=11177
Button/Tooltip/MasteryTychusMedivacBuff,Skraca czas odnowienia zdolności Transport Promem Medycznym.=11178
Button/Tooltip/MasteryTychusOdinCooldown,Skraca czas odnowienia zdolności Odyn. Nie wpływa na wstępny czas odnowienia na początku misji.=11179
Button/Tooltip/MasteryTychusUpgradesIncrease,Poprawia skuteczność ulepszeń u trzech grup banitów Tychusa, zwiększając szybkość ataku cyngli, żywotność mięśniaków i promień widzenia kombinatorów.=11180
Button/Tooltip/MasteryVorazunBlackHoleDuration,Wydłuża czas działania Czarnej Dziury.=11181
Button/Tooltip/MasteryVorazunChronoBoostSpeed,Zwiększa premię do szybkości od zagięcia czasoprzestrzeni.=11182
Button/Tooltip/MasteryVorazunDarkPylonRadius,Zwiększa promień maskowania i zasilania Mrocznego Pylonu.=11183
Button/Tooltip/MasteryVorazunShadowGuardDuration,Wydłuża czas działania gwardii cieni.=11184
Button/Tooltip/MasteryVorazunStartingAndMaxSoAEnergy,Zwiększa początkową i maksymalną ilość energii Włóczni Aduna.=11185
Button/Tooltip/MasteryVorazunTimeStopHaste,Zwiększa szybkość ataku, szybkość ruchu, regenerację energii i redukcję czasów odnowienia jednostek sojuszniczych, gdy aktywne jest Zatrzymanie Czasu.=11186
Button/Tooltip/MasteryZagaraAutoAttackDamage,Zwiększa obrażenia od ataków Zagary.=11187
Button/Tooltip/MasteryZagaraBanelingsDamage,Zwiększa obrażenia zadawane przez tępiciele Zagary oraz jej zdolność Nawałnica Tępicieli.=11188
Button/Tooltip/MasteryZagaraCocoonTimer,Skraca czas narodzin i ożywienia Zagary.=11189
Button/Tooltip/MasteryZagaraHealthAndEnergyRegen,Zwiększa regeneracja energii i zdrowia Zagary oraz jej królowych=11190
Button/Tooltip/MasteryZagaraInstantRevive,Daje Zagarze szanse na natychmiastowe ożywienie w chwili śmierci. Może to nastąpić tylko raz na 5 min.=11191
Button/Tooltip/MasteryZagaraLarvaRate,Zwiększa tempo powijania larw.=11192
Button/Tooltip/MasteryZagaraMassFrenzySpeedBoost,Zwiększa szybkość ataku i ruchu Zbiorowego Szału.=11193
Button/Tooltip/MasteryZagaraRoachDropDamageAndHealth,Zwiększa obrażenia zadawane przez Zainfekowany Zrzut oraz zdrowie i obrażenia zadawane przez każdego karakana.=11194
Button/Tooltip/MasteryZagaraZerglingDodgeChance,Zapewnia zerglingom szansę na uniknięcie ataku.=11195
Button/Tooltip/MasteryZeratulArtifactFragmentSpawnRate,Przyspiesza pojawiania się fragmentów artefaktu na mapie.=11196
Button/Tooltip/MasteryZeratulAvatarCooldown,Skraca czasy odnowienia Awatarów Zeratula.=11197
Button/Tooltip/MasteryZeratulCombatUnitAttackSpeed,Zwiększa szybkość ataku jednostek bojowych Zeratula.=11198
Button/Tooltip/MasteryZeratulLegendaryLegionCost,Zmniejsza koszt w minerałach za wzywanie Legendarnego Legionu Zeratula.=11199
Button/Tooltip/MasteryZeratulSupportCalldownCooldownReduction,Skraca czasy odnowienia wzywania wsparcia przez Zeratula.=11200
Button/Tooltip/MasteryZeratulZeratulAttackSpeed,Zwiększa szybkość ataku Zeratula.=11201
Button/Tooltip/MechaBanelingACGluescreenDummy,Jednostka samobójcza. Po śmierci zadaje obrażenia na małym obszarze.<n/><n/><c val="ffff8a">Atakuje cele naziemne.</c>=11202
Button/Tooltip/MechaBattlecarrierLordACGluescreenDummy,Latająca, ciężka jednostka szturmowa. Strzela w cel mechapomiotami. Tworzy i wypuszcza mechaszarańczo-przechwytywacze, które atakują naziemne, wrogie cele. Może korzystać z działa Stetmato. <n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne.</c>=11203
Button/Tooltip/MechaCorruptorACGluescreenDummy,Latająca jednostka przeciwlotnicza. Wykorzystuje rakiety kastetowe i terraczysty rozpuszczalnik.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki powietrzne.</c>=11204
Button/Tooltip/MechaHydraliskACGluescreenDummy,Jednostka miotająca.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>=11205
Button/Tooltip/MechaInfestorACGluescreenDummy,Specjalista od infekowania. Może korzystać z demontażu karakanowego, protokołu ładującego UMI-C i zdolności poszły karakany!=11206
Button/Tooltip/MechaLurkerACGluescreenDummy,Jednostka do urządzania zasadzek. Atakuje kolcami, które zadają obrażenia wszystkim wrogim jednostkom znajdującym się na linii ataku. Korzysta z algorytmu tunelu TERROR oraz algorytmu skupienia ataku. <n/><n/><c val="ffff8a">Może atakować jednostki naziemne.<n/>Musi się zagrzebać, aby atakować.</c>=11207
Button/Tooltip/MechaOverseerACGluescreenDummy,Zaawansowany obserwator powietrzny. Zapewnia to samo zaopatrzenie co mecha-nadrządca. Może korzystać ze zdolności nadzoru.<n/><n/><c val="FFE303">Wykrywacz</c>=11208
Button/Tooltip/MechaSpineCrawlerACGluescreenDummy,Budowla obronna zwalczająca cele naziemne.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>=11209
Button/Tooltip/MechaSporeCrawlerACGluescreenDummy,Budowla obrony przeciwlotniczej.<n/><n/><c val="ffff8a">Może atakować jednostki powietrzne.</c><n/><c val="FFE303">Wykrywacz</c>=11210
Button/Tooltip/MechaUltraliskACGluescreenDummy,Ciężka bestia szturmowa. Zadaje obrażenia na określonym obszarze. Korzysta z podziemnej szarży wektorowej i modułu mechazajumania.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>=11211
Button/Tooltip/MechaZerglingACGluescreenDummy,Szybka jednostka walcząca w zwarciu.<n/><n/><c val="FFFF8A">Może atakować jednostki naziemne.</c>=11212
Button/Tooltip/MedicACGluescreenDummy,Jednostka wsparcia. Leczy jednostki biologiczne znajdujące się w pobliżu.=11213
Button/Tooltip/Medivac,Transportowiec powietrzny. Leczy pobliskie jednostki biologiczne. Może korzystać z dopalaczy.=11214
Button/Tooltip/MedivacLoad,Ładuje jednostki do ładowni promu medycznego. /// Loads units into the Medivac's hold.=11215
Button/Tooltip/MedivacMengskACGluescreenDummy,Transportowiec powietrzny. Leczy pobliskie jednostki biologiczne. Może korzystać z dopalaczy. /// Air transport. Heals nearby biological units. Can use Ignite Afterburners.=11216
Button/Tooltip/MedivacUnloadAll,Wyładowuje wszystkie jednostki. /// Unloads all units.=11217
Button/Tooltip/MengskLevel13,Zwiększa z 20 do 40 liczbę pocisków taktycznych wysyłanych przez zdolność Zagłada Nuklearna. /// Increases the number of Tactical Missiles dropped by Nuclear Annihilation from 20 to 40.=11218
Button/Tooltip/MengskStatue,Posąg upamiętniający imperatora Mengska, Obrońcę Ludzkości. /// Statue commemorating Emperor Mengsk, Defender of Humanity.=11219
Button/Tooltip/MengskStatueAlone,Posąg imperatora Mengska, Wyzwoliciela Ucieśnionych. /// Statue of Emperor Mengsk, Liberator of the Oppressed.=11220
Button/Tooltip/MineralField,Robotnicy mogą zbierać surowce z tego pola minerałów. /// Workers can harvest resources from this Mineral Field.=11221
Button/Tooltip/MissileTurret,Podstawowa budowla obrony przeciwlotniczej.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki powietrzne.</c><n/><c val="FFE303">Wykrywacz</c> /// Anti-air defensive structure.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c><n/><c val="FFE303">Detector</c>=11222
Button/Tooltip/MissileTurretACGluescreenDummy,Budowla obrony przeciwlotniczej.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki powietrzne.</c><n/><c val="FFE303">Wykrywacz</c>=11223
Button/Tooltip/MissileTurretMengskACGluescreenDummy,Budowla obrony przeciwlotniczej.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki powietrzne.</c><n/><c val="FFE303">Wykrywacz</c> /// Anti-air defensive structure.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c><n/><c val="FFE303">Detector</c>=11224
Button/Tooltip/MorphBackToGateway,Przekształca wrota przesyłowe z powrotem w bramę. /// Transforms this Warp Gate back to a Gateway.=11225
Button/Tooltip/MorphMorphalisk,Docelowa wylęgarnia, leże lub ul powija 4 larwy w <d ref="Behavior,QueenSpawnLarvaTimer,Duration"/> sek. Jeśli wylęgarnia, leże lub ul posiadają więcej niż 3 larwy jednocześnie, podstawowa produkcja larw zostaje wstrzymana, dopóki ich liczba nie spadnie poniżej 3.=11226
Button/Tooltip/MorphToOverseer,Zaawansowany obserwator powietrzny. Zapewnia to samo zaopatrzenie co nadrządca. Może powijać odmieńce.<n/><n/><c val="FFE303">Wykrywacz</c> /// Advanced aerial observer. Provides the same supply as an Overlord. Can use the Spawn Changeling and Contaminate abilities.<n/><n/><c val="FFE303">Detector</c>=11227
Button/Tooltip/MorphtoOverseerNormal,Przywraca nadzorcy zdolność ruchu i normalny zasięg pola widzenia.=11228
Button/Tooltip/MorphtoOverseerSiege,Zwiększa szerokość pola widzenia nadzorcy o <d ref="(Unit,OverseerSiegeMode,Sight/Unit,Overseer,Sight-1)*100"/>%, ale pozbawia go możliwości poruszania się. Zdolność można anulować po aktywacji.=11229
Button/Tooltip/Mothership,Najpotężniejszy okręt protosów. Korzysta z przeciążenia fotonowego, przywołania zbiorczego i zakrzywienia czasoprzestrzeni. Zapewnia maskowanie pobliskim, sojuszniczym jednostkom oraz budowlom.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>=11230
Button/Tooltip/Move,Rozkazuje wybranym jednostkom przejście do celu lub podążanie za jednostką. Poruszające się jednostki nie będą atakować wrogów. /// Orders selected units to move to the target area or follow the target unit. Moving units will not engage enemies.=11231
Button/Tooltip/MoveHoldPosition,Rozkazuje wybranym jednostkom pozostać na miejscu i atakować wrogów w swoim zasięgu. Jednostki nie będą ścigać wrogów, ani ruszać do ataku. /// Orders selected units to stay where they are and attack enemies that are within range. Units will neither chase down enemies nor move to engage.=11232
Button/Tooltip/MovePatrol,Rozkazuje wybranym jednostkom patrolować teren między ich aktualną pozycją, a obszarem docelowym. Jednostki będą ruszać do ataku na wrogów znajdujących się w pobliżu. /// Orders selected units to patrol between their current position and the target area. Units will attack enemies and move to engage nearby enemies.=11233
Button/Tooltip/Mutalisk,Jednostka powietrzna. Jej pocisk, przeskakując, trafia w wiele celów.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c> /// Air unit. Bounces its shot to strike multiple targets.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>=11234
Button/Tooltip/MutaliskACGluescreenDummy,Jednostka powietrzna. Jej pocisk, przeskakując, trafia w wiele celów.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>=11235
Button/Tooltip/MutaliskBroodlordACGluescreenDummy,Jednostka powietrzna. Jej pocisk, przeskakując, trafia w wiele celów. Może przekształcić się w rządcę szczepu.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>=11236
Button/Tooltip/NeuralParasite,Wybrana jednostka jest kontrolowana przez infektora przez <d ref="Behavior,NeuralParasite,Duration"/> s. Infektor nie może robić nic innego, gdy kontroluje jednostkę.<n/><n/><c val="ffff8a">Umiejętność podtrzymywana.</c>=11237
Button/Tooltip/Nexus,Budowla główna. Może gromadzić surowce i korzystać ze zdolności zaginania czasoprzestrzeni.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>- próbniki,<n/>- rdzeń statku-matki.=11238
Button/Tooltip/NukeArm,Uzbraja silos taktyczną głowicą jądrową.<n/><n/>Bomba jądrowa leci do celu <d time="20"/>, ale zadaje do 300 pkt. obrażeń (+200 pkt. budowlom) w dużym promieniu.<n/><n/>Cel wyznacza się za pomocą ducha.=11239
Button/Tooltip/NukeCalldown,Naprowadza atak jądrowy na cel. Bomba jądrowa leci <d time="20"/>, ale zadaje do 300 pkt. obrażeń (+200 pkt. budowlom) w dużym promieniu.=11240
Button/Tooltip/NydusCanal,Naziemne jednostki sojusznicze mogą użyć czerwia nydusowego do natychmiastowego przeniesienia się do innego czerwia lub sieci nydusowej w posiadaniu gracza. Rozwija biomasę, stanowiącą pożywkę dla budowli zergów. <n/><n/><c val="#ColorAttackInfo">Premia: zergi poruszają się szybciej na biomasie.</c> /// Friendly ground units can use a Nydus Worm to instantly travel to any other Nydus Worm or Nydus Network owned by the player. Grows creep used to feed nearby Zerg structures.<n/><n/><c val="#ColorAttackInfo">Bonus: Zerg move faster on creep.</c>=11241
Button/Tooltip/NydusCanalLoad,Ładuje jednostki do sieci nydusowej. /// Loads units into the Nydus Network.=11242
Button/Tooltip/NydusCanalUnloadAll,Wyładowuje wszystkie jednostki. /// Unloads all units.=11243
Button/Tooltip/NydusNetwork,Sojusznicze jednostki mogą korzystać z sieci nydusowej, aby szybko przemieszczać się między poszczególnymi sieciami lub czerwiami nydusowymi należącymi do gracza.<n/><n/><c val="ffff8a">Udostępnia:</c><n/>– czerwie nydusowe.=11244
Button/Tooltip/NydusNetworkACGluescreenDummy,Budowla, która pozwala sojuszniczym jednostkom naziemnym szybko przemieszczać się między poszczególnymi sieciami lub czerwiami nydusowymi należącymi do gracza.=11245
Button/Tooltip/Observer,Latający szpieg. Maskowanie czyni go niewidzialnym dla wrogów bez umiejętności wykrywania.<n/><n/><c val="FFE303">Wykrywacz</c>=11246
Button/Tooltip/ObserverACGluescreenDummy,Latający szpieg. Maskowanie czyni go niewidzialnym dla wrogów bez umiejętności wykrywania.<n/><n/><c val="FFE303">Wykrywacz</c>=11247
Button/Tooltip/ObserverFenixACGluescreenDummy,Latający szpieg. Maskowanie czyni go niewidzialnym dla wrogów bez umiejętności wykrywania.<n/><n/><c val="FFE303">Wykrywacz</c>=11248
Button/Tooltip/ObverseIncubation,Z każdego kokonu wykluwają się cztery zerglingi. Podwaja koszt mutowania zerglingów. Czas mutowania wydłużony o 50%. /// Zerglings now hatch 4 per cocoon. Morph to Zergling will cost twice as much and take 50% longer to do.=11249
Button/Tooltip/OmegaNetworkACGluescreenDummy,Sojusznicze jednostki naziemne mogą korzystać z sieci omega, aby szybko przemieszczać się między poszczególnymi sieciami lub czerwiami omega należącymi do gracza.=11250
Button/Tooltip/OracleACGluescreenDummy,Jednostka latająca. Może korzystać z okowów zastoju.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c><n/><c val="FFE303">Wykrywacz</c>=11251
Button/Tooltip/OrbitalCommand,Ulepsza centrum dowodzenia do dowództwa orbitalnego, odblokowując umiejętności: „Przeczesywanie skanerem”, „Wezwanie: MUŁ” i „Wezwanie: dodatkowe zaopatrzenie”. Nie może ładować ERK. /// Upgrades Command Center to an Orbital Command, unlocking Scanner Sweep, Calldown: MULE, and Calldown: Extra Supplies. Cannot load SCVs.=11252
Button/Tooltip/OrbitalCommandACGluescreenDummy,Budowla główna. Używana do szkolenia ERK i gromadzenia surowców. Umożliwia przeczesywanie skanerem, a także wzywanie MUŁ-ów.<n/><n/><c val="FFE303">Wykrywacz: Zdolność przeczesywania skanerem</c>=11253
Button/Tooltip/OrbitalCommandFlying,Budowla główna. Musi wylądować, aby można było gromadzić w niej surowce, produkować jednostki lub korzystać z jej umiejętności. /// Primary structure. Must land to receive resources, produce units, or use abilities.=11254
Button/Tooltip/OrbitalCommandUnit,Budowla główna. Używana do szkolenia ERK i gromadzenia surowców. Umożliwia przeczesywanie skanerem, a także wzywanie MUŁ-ów i dodatkowego zaopatrzenia. /// Primary structure. Used to train SCVs and receive gathered resources. Can use the Scanner Sweep ability. Can use the abilities Calldown: MULE and Calldown: Extra Supplies.=11255
Button/Tooltip/Overlord,Zapewnia zaopatrzenie.<n/>Zaopatrzenie pozwala na tworzenie większej liczby jednostek.=11256
Button/Tooltip/OverlordCocoon,Ten kokon zawiera nadrządcę przekształcającego się w nadzorcę. /// This cocoon contains an Overlord as it is morphing into an Overseer.=11257
Button/Tooltip/OverlordTransportLoad,Ładuje jednostki do komór brzusznych nadrządcy. /// Loads units into the Overlord's ventral sacs.=11258
Button/Tooltip/OverlordTransportUnload,Wyładowuje wszystkie jednostki. /// Unloads all units.=11259
Button/Tooltip/Overseer,Zaawansowany obserwator powietrzny. Zapewnia to samo zaopatrzenie co nadrządca. Może powijać odmieńce oraz używać skażenia.<n/><n/><c val="FFE303">Wykrywacz</c> /// Advanced aerial observer. Maintains the unit cap set by the Overlord. Can use the Spawn Changeling and Contaminate abilities.<n/><n/><c val="FFE303">Detector</c>=11260
Button/Tooltip/OverseerACGluescreenDummy,Zaawansowany obserwator powietrzny. Zapewnia to samo zaopatrzenie co nadrządca.<n/><n/><c val="FFE303">Wykrywacz</c>=11261
Button/Tooltip/OverseerZagaraACGluescreenDummy,Zaawansowany obserwator powietrzny. Zapewnia to samo zaopatrzenie co nadrządca.<n/><n/><c val="FFE303">Wykrywacz</c>=11262
Button/Tooltip/PerditionTurretACGluescreenDummy,Automatyczna budowla obronna. Chowa się, kiedy w pobliżu nie ma wrogów.<n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne.</c>=11263
Button/Tooltip/PermanentlyCloaked,Mroczny templariusz jest stale zamaskowany. /// The Dark Templar is permanently cloaked.=11264
Button/Tooltip/PermanentlyCloakedObserver,Obserwator jest stale zamaskowany. /// The Observer is permanently cloaked.=11265
Button/Tooltip/PhaseShift,Powoduje wysłanie atakowanej jednostki poza wymiar na <d ref="Behavior,Ethereal,Duration"/> sek. Poza wymiarem jednostka jest odporna na wszystkie ataki i efekty, ale nie może atakować ani korzystać ze swoich umiejętności.=11266
Button/Tooltip/PhasingMode,Przełącza pryzmat nadprzestrzenny w tryb fazowania. W tym trybie jednostka traci możliwość ruchu, ale wytwarza wokół siebie pole zasilające. /// Transforms the Warp Prism to Phasing Mode and generates a power radius similar to that of a Pylon. The Warp Prism cannot move in this mode.=11267
Button/Tooltip/Phoenix,Myśliwiec przewagi powietrznej.<n/><n/><c val="ffff8a">Może atakować jednostki powietrzne.</c> /// Air-superiority fighter.<n/><n/><c val="ffff8a">Can attack air units.</c>=11268
Button/Tooltip/PhoenixAiurACGluescreenDummy,Myśliwiec przewagi powietrznej. Może korzystać z wiązki grawitonowej.<n/><n/><c val="ffff8a">Może atakować jednostki powietrzne.</c>=11269
Button/Tooltip/PhoenixHallucination,Ta halucynacja zachowuje się jak prawdziwa jednostka, ale nie może używać aktywnych zdolności, zadawać obrażeń i łatwiej ginie. Halucynacje działają przez <d time="60"/>, a potem znikają.=11270
Button/Tooltip/PhoenixPurifierACGluescreenDummy,Myśliwiec przewagi powietrznej. Potrafi korzystać z wiązki grawitonowej i pancerza fazowego.<n/><n/><c val="ffff8a">Może atakować jednostki powietrzne.</c>=11271
Button/Tooltip/PhotonCannon,Podstawowa budowla obronna.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c><n/><c val="FFE303">Wykrywacz</c> /// Primary defensive structure.<n/><n/><c val="ffff8a">Can attack ground and air units.</c><n/><c val="FFE303">Detector</c>=11272
Button/Tooltip/PhotonCannonACGluescreenDummy,Podstawowa budowla obronna.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c><n/><c val="FFE303">Wykrywacz</c>=11273
Button/Tooltip/PhotonCannonFenixACGluescreenDummy,Podstawowa budowla obronna.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c><n/><c val="FFE303">Wykrywacz</c>=11274
Button/Tooltip/PhotonCannonTaldarimACGluescreenDummy,Podstawowa budowla obronna.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c><n/><c val="FFE303">Wykrywacz</c>=11275
Button/Tooltip/PlanetaryFortress,Budowla obronna.<n/>Używana do gromadzenia zebranych surowców.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c> /// Defensive stronghold. <n/>Used to receive gathered resources. <n/><n/><c val="ffff8a">Can attack ground units.</c>=11276
Button/Tooltip/PlanetaryFortressLoad,Ładuje pobliskie ERK do fortecy planetarnej. /// Loads nearby SCVs into the Planetary Fortress.=11277
Button/Tooltip/PointDefense,Zautomatyzowany laser obronny, który przechwytuje wrogie pociski.<n/><n/>Skuteczny przeciwko maruderom, wikingom, banshee, krążownikom, cyklonom, thorom, wieżyczkom przeciwlotniczym, tropicielom, feniksom, orkanom, działom fotonowym, rdzeniom statków-matek, nexusom, królowym, mutaliskom, skazicielom, hydraliskom, pustoszycielom, szarańczy i pełzaczom zarodnikowym.<n/><n/><c val="f078ff">Każdy strzał pobiera 10 pkt. energii.</c>=11278
Button/Tooltip/PointDefenseDrone,Wykorzystuje laser do strącania pocisków wroga. <n/>Nie może być użyty przeciwko zdolnościom specjalnym. <n/>Znika po <d ref="Behavior,PointDefenseDroneTimedLife,Duration"/> sek.<n/><n/><c val="f078ff">Strzał zużywa 10 pkt. energii.</c>=11279
Button/Tooltip/PrimalGuardianACGluescreenDummy,Jednostka latająca atakująca z dużej odległości.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>=11280
Button/Tooltip/PrimalHydraliskACGluescreenDummy,Jednostka miotająca.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>=11281
Button/Tooltip/PrimalImpalerACGluescreenDummy,Jednostka przeciwpancerna atakująca z zaskoczenia z dużej odległości. Aby atakować, musi się zagrzebać. <n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>=11282
Button/Tooltip/PrimalMutaliskACGluescreenDummy,Jednostka powietrzna. Jej pocisk, przeskakując, trafia w wiele celów.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>=11283
Button/Tooltip/PrimalRoachACGluescreenDummy,Jednostka szturmowa. Szybko regeneruje zdrowie po zagrzebaniu.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>=11284
