Actor/EditorSuffix/GuideVisualQuadSplat,(Deprecated)=0
Actor/Name/ProtossBridgeLongDoodad,神族橋 - 長 /// Protoss Bridge - Long=17126
Actor/Name/ProtossBridgeShortDoodad,神族橋 - 短 /// Protoss Bridge - Short=17127
Actor/Name/ProtossCrates,神族箱子 /// Protoss Crates=17128
Actor/Name/ProtossCratesDoodad,蟲族之心 - 神族箱子 /// HotS - Protoss Crates=17129
Actor/Name/ProtossCurtain,遮蔽物(視線阻擋器) - /// Curtain (LOS BLOCKER) -=17130
Actor/Name/ProtossEnergyGust,神族能量爆發 /// Protoss Energy Gust=17131
Actor/Name/ProtossFireMedium,神族火焰媒介 /// Protoss Fire Medium=17132
Actor/Name/ProtossHeroShip,神族英雄船艦 /// Protoss Hero Ship=17133
Actor/Name/ProtossHeroShipCannonAttack,神族英雄船艦 - 加農砲 - 攻擊 /// Protoss Hero Ship Cannon Attack=17134
Actor/Name/ProtossHeroShipCannonAttackMissile,神族英雄船艦 - 加農砲 - 攻擊 - 飛彈 /// Protoss Hero Ship Cannon Attack Missile=17135
Actor/Name/ProtossRadioTower,神族通訊塔 /// Protoss Radio Tower=17136
Actor/Name/ProtossRadioTowerTarmac,神族通訊塔柏油路 /// Protoss Radio Tower Tarmac=17137
Actor/Name/ProtossReliquary,神族聖物箱 /// Protoss Reliquary=17138
Actor/Name/ProtossReliquaryUnit,神族超空間引擎單位 /// Protoss Warp Drive Unit=17139
Actor/Name/ProtossSanctum,神族聖所 /// Protoss Sanctum=17140
Actor/Name/ProtossSnakeSegmentDemo,神族蛇塊測試 /// Protoss Snake Segment Demo=17141
Actor/Name/ProtossSnakeSerpentSeg1,神族蛇 - 毒蛇區塊1 /// Protoss Snake Serpent Seg1=17142
Actor/Name/ProtossSnakeSerpentSeg10,神族蛇 - 毒蛇區塊10 /// Protoss Snake Serpent Seg10=17143
Actor/Name/ProtossSnakeSerpentSeg11,神族蛇 - 毒蛇區塊11 /// Protoss Snake Serpent Seg11=17144
Actor/Name/ProtossSnakeSerpentSeg12,神族蛇 - 毒蛇區塊12 /// Protoss Snake Serpent Seg12=17145
Actor/Name/ProtossSnakeSerpentSeg2,神族蛇 - 毒蛇區塊2 /// Protoss Snake Serpent Seg2=17146
Actor/Name/ProtossSnakeSerpentSeg3,神族蛇 - 毒蛇區塊3 /// Protoss Snake Serpent Seg3=17147
Actor/Name/ProtossSnakeSerpentSeg4,神族蛇 - 毒蛇區塊4 /// Protoss Snake Serpent Seg4=17148
Actor/Name/ProtossSnakeSerpentSeg5,神族蛇 - 毒蛇區塊5 /// Protoss Snake Serpent Seg5=17149
Actor/Name/ProtossSnakeSerpentSeg6,神族蛇 - 毒蛇區塊6 /// Protoss Snake Serpent Seg6=17150
Actor/Name/ProtossSnakeSerpentSeg7,神族蛇 - 毒蛇區塊7 /// Protoss Snake Serpent Seg7=17151
Actor/Name/ProtossSnakeSerpentSeg8,神族蛇 - 毒蛇區塊8 /// Protoss Snake Serpent Seg8=17152
Actor/Name/ProtossSnakeSerpentSeg9,神族蛇 - 毒蛇區塊9 /// Protoss Snake Serpent Seg9=17153
Actor/Name/ProtossSnakeSerpentSegBase,神族蛇 - 毒蛇區塊基底 /// Protoss Snake Serpent Seg Base=17154
Actor/Name/ProtossTarmac,神族柏油路 /// Protoss Tarmac=17155
Actor/Name/ProtossTarmacDockingBay,神族柏油路停泊區 /// Protoss Tarmac Docking Bay=17156
Actor/Name/ProtossTarmacDoodad,神族柏油路飾物 /// Protoss Tarmac Doodad=17157
Actor/Name/ProtossTarmacSplat,神族柏油路效果圖 /// Protoss Tarmac Splat=17158
Actor/Name/ProtossVespeneGeyser,神族 - 高能瓦斯湧源 /// Protoss Vespene Geyser=17159
Actor/Name/ProtossWarpDriveUnit,神族超空間引擎單位 /// Protoss Warp Drive Unit=17160
Actor/Name/ProtossWarpInPad,神族躍傳鍵 /// Protoss Warp In Pad=17161
Actor/Name/ProtossWarpInPadFlat,神族躍傳鍵(平板) /// Protoss Warp In Pad (Flat)=17162
Actor/Name/Prowler,突襲獸 /// Prowler=17163
Actor/Name/ProwlerAttack,突襲獸 - 攻擊 /// Prowler Attack=17164
Actor/Name/PsiDecimatorWave,幽能崩解器波 /// Psi Decimator Wave=17165
Actor/Name/PsyBall,尤摩捷實驗室幽能球 /// Umojan Lab Psi Ball=17166
Actor/Name/PurifierScout,淨化者探查機 /// Purifier Scout=17167
Actor/Name/PurifierScoutBombs,淨化者探查機 - 炸彈 /// Purifier Scout Bombs=17168
Actor/Name/PurifierScoutBombsWeapon,淨化者探查機 - 炸彈 - 武器 /// Purifier Scout Bombs Weapon=17169
Actor/Name/PylonTest,水晶塔測試 /// Pylon Test=17170
Actor/Name/QueenAttackDeathForce,后蟲 - 攻擊 - 死亡 - 動力 /// Queen Attack Death Force=17171
Actor/Name/QueenAttackExplosionDeathForce,后蟲 - 攻擊 - 爆炸 - 死亡 - 動力 /// Queen Attack Explosion Death Force=17172
Actor/Name/QueenClassic,后蟲 /// Queen=17173
Actor/Name/QueenCreepBirth,后蟲蟲苔 - 誕生 /// Queen Creep Birth=17174
Actor/Name/QueenDeathRagdoll,后蟲 - 死亡布娃娃 /// Queen Death Ragdoll=17175
Actor/Name/QueenDeathRagdollDetonationForce,后蟲 - 死亡布娃娃 - 引爆 - 動力 /// Queen Death Ragdoll Detonation Force=17176
Actor/Name/QueenMeleeAttackForce,后蟲 - 近戰攻擊 - 動力 /// Queen Melee Attack Force=17177
Actor/Name/Queen_Birth,后蟲 - 誕生 /// Queen_Birth=17178
Actor/Name/Queen_Birth2,后蟲 - 誕生2 /// Queen_Birth2=17179
Actor/Name/Queen_Land,Queen_Land /// Queen_Land=17180
Actor/Name/RailgunAttackDeathForce,磁軌砲 - 攻擊 - 死亡 - 動力 /// Railgun Attack Death Force=17181
Actor/Name/RailgunAttackDeathImpulse,磁軌砲 - 攻擊 - 死亡 - 衝擊 /// Railgun Attack Death Impulse=17182
Actor/Name/RavenDeathRagdoll,渡鴉 - 死亡布娃娃 /// Raven Death Ragdoll=17183
Actor/Name/RavenDeathRagdollDetonationForce,渡鴉 - 死亡布娃娃 - 引爆 - 動力 /// Raven Death Ragdoll Detonation Force=17184
Actor/Name/RaynorsRaidersDropship,雷諾突擊隊運輸機 /// Raynor's Raiders Dropship=17185
Actor/Name/ReactorTestDoodad,反應爐測試飾物 /// Reactor Test Doodad=17186
Actor/Name/ReaperAttackDeathForce,死神 - 攻擊 - 死亡 - 動力 /// Reaper Attack Death Force=17187
Actor/Name/ReaperForceDirectionRandomizer,死神 - 動力 - 方向 - 隨機發生器 /// Reaper Force Direction Randomizer=17188
Actor/Name/ReaperHeal,死神治療 /// Reaper Heal=17189
Actor/Name/Reaper_Land,Reaper_Land /// Reaper_Land=17190
Actor/Name/RefineryTerrazine,精煉廠 - 態化氫 /// Refinery Terrazine=17191
Actor/Name/RefineryTerrazineBuild,精煉廠 - 態化氫 - 建造 /// Refinery Terrazine Build=17192
Actor/Name/RefineryTerrazineSplat,精煉廠 - 態化氫 - 效果圖 /// Refinery Terrazine Splat=17193
Actor/Name/RescueBuff,救援增益 /// Rescue Buff=17194
Actor/Name/ResourceBlocker,資源阻擋器 /// Resource Blocker=17195
Actor/Name/ResourceRaider,資源掠奪者 /// Resource Raider=17196
Actor/Name/ResourceRaiderGatherMinerals,資源掠奪者 - 採集晶礦 /// Resource Raider Gather Minerals=17197
Actor/Name/ResourceStunCursorSplat,資源 - 昏迷 - 游標效果圖 /// Resource Stun Cursor Splat=17198
Actor/Name/ResourceStunRange,資源 - 昏迷 - 範圍 /// Resource Stun Range=17199
Actor/Name/RestoreShieldsAttachmentModel,護盾回復 - 附加物 - 模型 /// Restore Shields Attachment Model=17200
Actor/Name/RestoreShieldsCursorSplat,護盾回復 - 游標效果圖 /// Restore Shields Cursor Splat=17201
Actor/Name/RestoreShieldsImpactModel,護盾回復 - 衝擊 - 模型 /// Restore Shields Impact Model=17202
Actor/Name/RestoreShieldsRange,護盾回復 - 範圍 /// Restore Shields Range=17203
Actor/Name/RevelationRangeDetection,天啟 - 範圍 - 偵測 /// Revelation Range Detection=17204
Actor/Name/RiverRapid,蟲族之心 - 河流 - 迅速 /// HotS - River Rapid=17205
Actor/Name/RoachAttackDeathForce,蟑螂 - 攻擊 - 死亡 - 動力 /// Roach Attack Death Force=17206
Actor/Name/RoachAttackExplosionDeathForce,蟑螂 - 攻擊 - 爆炸 - 死亡 - 動力 /// Roach Attack Explosion Death Force=17207
Actor/Name/RoachMeleeAttackForce02,蟑螂 - 近戰攻擊 - 動力02 /// Roach Melee Attack Force02=17208
Actor/Name/RoachMeleeAttackForce03,蟑螂 - 近戰攻擊 - 動力03 /// Roach Melee Attack Force03=17209
Actor/Name/RoachMeleeAttackLeftBladeForce,蟑螂 - 近戰攻擊 - 左 - 刀鋒 - 動力 /// Roach Melee Attack Left Blade Force=17210
Actor/Name/RoachMeleeAttackRightBladeForce,蟑螂 - 近戰攻擊 - 右 - 刀鋒 - 動力 /// Roach Melee Attack Right Blade Force=17211
Actor/Name/Roach_Land,Roach_Land /// Roach_Land=17212
Actor/Name/RoadCornerDiagonal,道路角落斜向 /// Road Corner Diagonal=17213
Actor/Name/RoadCornerStraight,道路角落直向 /// Road Corner Straight=17214
Actor/Name/RoadDestroyedCornerDiagonal,道路角落斜向，已摧毀 /// Road Corner Diagonal, Destroyed=17215
Actor/Name/RoadDestroyedCornerStraight,道路角落直向，已摧毀 /// Road Corner Straight, Destroyed=17216
Actor/Name/RoadDestroyedDiagonal,道路斜向，已摧毀 /// Road Diagonal, Destroyed=17217
Actor/Name/RoadDestroyedEndCap,道路尾端蓋帽，已摧毀 /// Road End Cap, Destroyed=17218
Actor/Name/RoadDestroyedRoundAbout,道路繞行，已摧毀 /// Road Roundabout, Destroyed=17219
Actor/Name/RoadDestroyedStraight,道路直向，已摧毀 /// Road Straight, Destroyed=17220
Actor/Name/RoadDiagonal,道路斜向 /// Road Diagonal=17221
Actor/Name/RoadEndCap,道路尾端蓋帽 /// Road End Cap=17222
Actor/Name/RoadMetalCornerDiagonal,道路角落斜向，金屬 /// Road Corner Diagonal, Metal=17223
Actor/Name/RoadMetalCornerStraight,道路角落直向，金屬 /// Road Corner Straight, Metal=17224
Actor/Name/RoadMetalDiagonal,道路斜向，金屬 /// Road Diagonal, Metal=17225
Actor/Name/RoadMetalEndCap,道路尾端蓋帽，金屬 /// Road End Cap, Metal=17226
Actor/Name/RoadMetalRoundAbout,道路繞行，金屬 /// Road Roundabout, Metal=17227
Actor/Name/RoadMetalStraight,道路直向，金屬 /// Road Straight, Metal=17228
Actor/Name/RoadParent,道路父項 /// Road Parent=17229
Actor/Name/RoadRoundAbout,道路繞行 /// Road Roundabout=17230
Actor/Name/RoadStraight,道路繞行 /// Road Straight=17231
Actor/Name/Robot_servo,Robot_servo /// Robot_servo=17232
Actor/Name/Robot_weld,Robot_weld /// Robot_weld=17233
Actor/Name/RoughTerrain,粗糙地形 /// Rough Terrain=17234
Actor/Name/SCV_Land,SCV_Land /// SCV_Land=17235
Actor/Name/SJAsteroidsSky,天際的隕石 /// Asteroids Sky=17236
Actor/Name/SOpAttachInternalDetonationSiegeTank,部位運算 - 附加 - 內部 - 引爆 - 攻城坦克 /// SOp Attach Internal Detonation Siege Tank=17237
Actor/Name/SOpExtendor,部位運算 - 延伸器 /// SOp Extendor=17238
Actor/Name/SOpMoveUp1,部位運算 - 向上移動1 /// SOpMoveUp1=17239
Actor/Name/SOpPhoenixDeath,部位運算 - 鳳凰戰機 - 死亡 /// SOp Phoenix Death=17240
Actor/Name/SOpPhoenixDeathMotion,部位運算 - 鳳凰戰機 - 死亡動作 /// SOp Phoenix Death Motion=17241
Actor/Name/SOpPropeller,部位運算 - 推進器 /// SOp Propeller=17242
Actor/Name/SOpRotationSmoothViper,部位運算 - 旋轉 - 平順 - 飛蟒 /// SOp Rotation Smooth Viper=17243
Actor/Name/SOpSensorPodOffset,部位運算 - 感應器 - 偏移 /// SOp Sensor Pod Offset=17244
Actor/Name/SOpSerpentHeadProtossSnake,部位運算 - 毒蛇 - 頭部 - 神族蛇 /// SOp Serpent Head Protoss Snake=17245
Actor/Name/SOpSerpentHeadViper,部位運算 - 毒蛇 - 頭部 - 飛蟒 /// SOp Serpent Head Viper=17246
Actor/Name/SOpSerpentSegmentProtossSnake1,部位運算 - 毒蛇區塊 - 神族蛇1 /// SOp Serpent Segment Protoss Snake1=17247
Actor/Name/SOpSerpentSegmentProtossSnake10,部位運算 - 毒蛇區塊 - 神族蛇10 /// SOp Serpent Segment Protoss Snake10=17248
Actor/Name/SOpSerpentSegmentProtossSnake11,部位運算 - 毒蛇區塊 - 神族蛇11 /// SOp Serpent Segment Protoss Snake11=17249
Actor/Name/SOpSerpentSegmentProtossSnake12,部位運算 - 毒蛇區塊 - 神族蛇12 /// SOp Serpent Segment Protoss Snake12=17250
Actor/Name/SOpSerpentSegmentProtossSnake2,部位運算 - 毒蛇區塊 - 神族蛇2 /// SOp Serpent Segment Protoss Snake2=17251
Actor/Name/SOpSerpentSegmentProtossSnake3,部位運算 - 毒蛇區塊 - 神族蛇3 /// SOp Serpent Segment Protoss Snake3=17252
Actor/Name/SOpSerpentSegmentProtossSnake4,部位運算 - 毒蛇區塊 - 神族蛇4 /// SOp Serpent Segment Protoss Snake4=17253
Actor/Name/SOpSerpentSegmentProtossSnake5,部位運算 - 毒蛇區塊 - 神族蛇5 /// SOp Serpent Segment Protoss Snake5=17254
Actor/Name/SOpSerpentSegmentProtossSnake6,部位運算 - 毒蛇區塊 - 神族蛇6 /// SOp Serpent Segment Protoss Snake6=17255
Actor/Name/SOpSerpentSegmentProtossSnake7,部位運算 - 毒蛇區塊 - 神族蛇7 /// SOp Serpent Segment Protoss Snake7=17256
Actor/Name/SOpSerpentSegmentProtossSnake8,部位運算 - 毒蛇區塊 - 神族蛇8 /// SOp Serpent Segment Protoss Snake8=17257
Actor/Name/SOpSerpentSegmentProtossSnake9,部位運算 - 毒蛇區塊 - 神族蛇9 /// SOp Serpent Segment Protoss Snake9=17258
Actor/Name/SOpSerpentSegmentProtossSnakeBase,部位運算 - 毒蛇區塊 - 神族蛇基座 /// SOp Serpent Segment Protoss Snake Base=17259
Actor/Name/SOpSerpentSegmentViper0,部位運算 - 毒蛇區塊 - 飛蟒0 /// SOp Serpent Segment Viper0=17260
Actor/Name/SOpSerpentSegmentViper1,部位運算 - 毒蛇區塊 - 飛蟒1 /// SOp Serpent Segment Viper1=17261
Actor/Name/SOpSerpentSegmentViper2,部位運算 - 毒蛇區塊 - 飛蟒2 /// SOp Serpent Segment Viper2=17262
Actor/Name/SOpSerpentSegmentViper3,部位運算 - 毒蛇區塊 - 飛蟒3 /// SOp Serpent Segment Viper3=17263
Actor/Name/SOpSerpentSegmentViper4,部位運算 - 毒蛇區塊 - 飛蟒4 /// SOp Serpent Segment Viper4=17264
Actor/Name/SOpSerpentSegmentViper5,部位運算 - 毒蛇區塊 - 飛蟒5 /// SOp Serpent Segment Viper5=17265
Actor/Name/SOpSerpentSegmentViper6,部位運算 - 毒蛇區塊 - 飛蟒6 /// SOp Serpent Segment Viper6=17266
Actor/Name/SOpSerpentSegmentViper7,部位運算 - 毒蛇區塊 - 飛蟒7 /// SOp Serpent Segment Viper7=17267
Actor/Name/SOpSerpentSegmentViper8,部位運算 - 毒蛇區塊 - 飛蟒8 /// SOp Serpent Segment Viper8=17268
Actor/Name/SOpSerpentSegmentViperBase,部位運算 - 毒蛇區塊 - 飛蟒基座 /// SOp Serpent Segment Viper Base=17269
Actor/Name/SOpSpineCrawlerDeathOffset,部位運算 - 脊刺爬行蟲 - 死亡 - 偏移 /// SOp Spine Crawler Death Offset=17270
Actor/Name/SOpTilterYoink,=17271
Actor/Name/SOpTurretTestAccumulate,部位運算 - 砲塔測試 - 累積 /// SOp Turret Test Accumulate=17272
Actor/Name/SOpTurretTestAdd,部位運算 - 砲塔測試 - 增加 /// SOp Turret Test Add=17273
Actor/Name/SOpZFromCollapsibleRockTowerRamp,部位運算 - Z從可拆毀的石堆 - 殘礫 /// SOp ZFrom Collapsible Rock Tower Ramp=17274
Actor/Name/STBomber,突擊轟炸機 /// ST Bomber=17275
Actor/Name/STBomberAttack,突擊轟炸機 - 攻擊 /// ST Bomber Attack=17276
Actor/Name/STBomberAttackMissile,突擊轟炸機 - 攻擊 - 飛彈 /// ST Bomber Attack Missile=17277
Actor/Name/ScanModel,掃描模型 /// Scan Model=17278
Actor/Name/ScanRange,掃描 - 範圍 /// Scan Range=17279
Actor/Name/ScanTinter,掃描 - 著色器 /// Scan Tinter=17280
Actor/Name/ScannerSweepVisual,掃描器掃描 - 視覺效果 /// Scanner Sweep Visual=17281
Actor/Name/ScourgeSpore,自殺蟲孢子 /// Scourge Spore=17282
Actor/Name/ScourgeSporeAttack,自殺蟲孢子 - 攻擊 /// Scourge Spore Attack=17283
Actor/Name/ScourgeSporeBirthSound,自殺蟲孢子 - 誕生音效 /// Scourge Spore Birth Sound=17284
Actor/Name/ScourgeSporeBurrow,自殺蟲孢子 - 遁地 /// Scourge Spore Burrow=17285
Actor/Name/ScourgeSporeBurrowSound,自殺蟲孢子 - 遁地音效 /// Scourge Spore Burrow Sound=17286
Actor/Name/ScourgeSporeBurrowedSplat,自殺蟲孢子 - 遁地效果圖 /// Scourge Spore Burrowed Splat=17287
Actor/Name/ScourgeSporeRange,自殺蟲孢子 - 範圍 /// Scourge Spore Range=17288
Actor/Name/ScourgeSporeSeekSound,自殺蟲孢子 - 搜索音效 /// Scourge Spore Seek Sound=17289
Actor/Name/ScourgeSporeUnburrowRange,自殺蟲孢子 - 鑽出範圍 /// Scourge Spore Unburrow Range=17290
Actor/Name/ScryerModel,占卜者 - 模型 /// Scryer Model=17291
Actor/Name/ScryerRange,占卜者 - 範圍 /// Scryer Range=17292
Actor/Name/ScryerRangeDetection,占卜者 - 範圍 - 偵測 /// Scryer Range Detection=17293
Actor/Name/SensorPod,感應器 /// Sensor Pod=17294
Actor/Name/SensorPodModel,感應器 - 模型 /// Sensor Pod Model=17295
Actor/Name/SensorPodRange,感應器 - 範圍 /// Sensor Pod Range=17296
Actor/Name/Sentry_Land,Sentry_Land /// Sentry_Land=17297
Actor/Name/ShearedRocks,切割的岩石 /// Sheared Rocks=17298
Actor/Name/ShearedRocksDesert,蟲族之心 - 切割的岩石 - 沙漠 /// HotS - Sheared Rocks - Desert=17299
Actor/Name/ShieldHealBeam,護盾充能 - 光束 /// Shield Heal Beam=17300
Actor/Name/ShieldHealBeamImpactSite,護盾充能 - 光束 - 衝擊地點 /// Shield Heal Beam Impact Site=17301
Actor/Name/ShieldHealBeamLaunchSite,護盾充能 - 光束 - 啟動地點 /// Shield Heal Beam Launch Site=17302
Actor/Name/ShieldHealModel,護盾充能 - 模型 /// Shield Heal Model=17303
Actor/Name/ShieldHealSound,護盾充能 - 音效 /// Shield Heal Sound=17304
Actor/Name/ShieldHealSoundStart,護盾充能 - 音效開始 /// Shield Heal Sound Start=17305
Actor/Name/ShieldHealSoundStop,護盾充能 - 音效停止 /// Shield Heal Sound Stop=17306
Actor/Name/ShipDisplays,船艦顯示 /// Ship Displays=17307
Actor/Name/ShipDock,船艦停泊區 /// Ship Dock=17308
Actor/Name/ShipForceFieldWall,星際戰艦力場障壁 /// Starship Forcefield Wall=17309
Actor/Name/ShipMiscParts,船艦迷霧部分 /// Ship Misc Parts=17310
Actor/Name/ShipPiping,船艦管路 /// Ship Piping=17311
Actor/Name/ShipPlating,船艦合金板 /// Ship Plating=17312
Actor/Name/SiegeTankAttackForce,攻城坦克 - 攻擊 - 動力 /// Siege Tank Attack Force=17313
Actor/Name/SiegeTankDeathRagdoll,攻城坦克 - 死亡布娃娃 /// Siege Tank Death Ragdoll=17314
Actor/Name/SiegeTankDeathRagdollDetonationForce,攻城坦克 - 死亡布娃娃 - 引爆 - 動力 /// Siege Tank Death Ragdoll Detonation Force=17315
Actor/Name/SiegeTankSiegedForce,攻城坦克 - 攻城模式 - 力量 /// Siege Tank Sieged Force=17316
Actor/Name/SiegeTankSiegedForceUp,攻城坦克 - 攻城模式 - 動力 - 向上 /// Siege Tank Sieged Force Up=17317
Actor/Name/SiegeTankSiegedImpulse,攻城坦克 - 攻城模式 - 衝擊 /// Siege Tank Sieged Impulse=17318
Actor/Name/SiegeTankSiegedImpulseUpward,攻城坦克 - 攻城模式 - 衝擊 - 向上 /// Siege Tank Sieged Impulse Upward=17319
Actor/Name/SiegeTankSiegedUpForce,攻城坦克 - 攻城模式 - 向上 - 動力 /// Siege Tank Sieged Up Force=17320
Actor/Name/SiegeTank_Land,SiegeTank_Land /// SiegeTank_Land=17321
Actor/Name/SingleRecallOpacity,單一召喚 - 透明度 /// Single Recall Opacity=17322
Actor/Name/SmokeEmbersMedium,煙霧 - 灰燼 - 中 /// Smoke Embers Medium=17323
Actor/Name/SmokeEruption,煙霧 - 爆發 /// Smoke Eruption=17324
Actor/Name/SmokeScreen,煙幕 /// Smoke Screen=17325
Actor/Name/SmokeScreenCursorSplat,煙幕 - 游標效果圖 /// Smoke Screen Cursor Splat=17326
Actor/Name/SmokeScreenRange,煙幕 - 範圍 /// Smoke Screen Range=17327
Actor/Name/Snow,雪 /// Snow=17328
Actor/Name/SnowBlizzard,雪 - 暴風雪 /// Snow Blizzard=17329
Actor/Name/SnowDrifts,雪堆 /// Snow Drifts=17330
Actor/Name/SnowDriftsLarge,雪堆 - 大 /// Snow Drifts Large=17331
Actor/Name/SnowLight,雪 - 輕 /// Snow Light=17332
Actor/Name/SnowWind,雪 - 風 /// Snow Wind=17333
Actor/Name/SoundPreInitTest,音效起始前測試 /// Sound Pre Init Test=17334
Actor/Name/SpaceArmoredDoor,太空 - 裝甲門 - 直向位跡 /// Space Armored Door - Straight Footprint=17335
Actor/Name/SpaceArmoredDoorDiagonal,太空 - 裝甲門 - 斜向位跡 /// Space Armored Door - Diagonal Footprint=17336
Actor/Name/SpaceBadgeReader,太空 - 勳章 - 斜向位跡 /// Space Badge Reader=17337
Actor/Name/SpaceBuoy,太空 - 浮標 /// Space Buoy=17338
Actor/Name/SpaceCabinet,太空 - 櫃子 /// Space Cabinet=17339
Actor/Name/SpaceCage,太空 - 籠子 /// Space Cage=17340
Actor/Name/SpaceCamera,太空 - 攝影機 /// Space Camera=17341
Actor/Name/SpaceDockArch,太空 - 停泊區拱門 - 直向 - 位跡 /// Space Dock Arch - Straight Footprint=17342
Actor/Name/SpaceDockArchDiagonal,太空 - 停泊區拱門 - 斜向 - 位跡 /// Space Dock Arch - Diagonal Footprint=17343
Actor/Name/SpaceDockEngineSmall,太空 - 停泊區引擎 - 小 /// Space Dock Engine Small=17344
Actor/Name/SpaceDockEquipment,太空 - 停泊區裝備 /// Space Dock Equipment=17345
Actor/Name/SpaceDockGridFloor,太空 - 停泊區 - 網格地板 /// Space Dock Grid Floor=17346
Actor/Name/SpaceDockMonitorFloor,太空 - 停泊區 - 監視器 - 地板 /// Space Dock Monitor Floor=17347
Actor/Name/SpaceDockMonitorLarge,太空 - 停泊區 - 監視器 - 大 /// Space Dock Monitor Large=17348
Actor/Name/SpaceDockPowerLines,太空 - 停泊區 - 電線 /// Space Dock Power Lines=17349
Actor/Name/SpaceDockWelder,太空 - 停泊區 - 焊接設備 /// Space Dock Welder=17350
Actor/Name/SpaceElevator,太空升降梯=17351
Actor/Name/SpaceElevatorDoodad,太空升降梯(人類物件飾物)=17352
Actor/Name/SpaceElevatorRamp,太空升降梯 - 坡道=17353
Actor/Name/SpaceExplosiveMineEntrance,太空 - 爆炸機雷 - 入口 /// Space Explosive Mine Entrance=17354
Actor/Name/SpaceFallingDebris,太空 - 掉落碎塊 /// Space Falling Debris=17355
Actor/Name/SpaceFloodLight,太空 - 泛光燈 /// Space Flood Light=17356
Actor/Name/SpaceGriffonDoodad,太空 - 傭兵 - 獅鷲戰機 /// Space - Merc - Griffon=17357
Actor/Name/SpaceGunRack,太空 - 置槍架 /// Space Gun Rack=17358
Actor/Name/SpaceHornetRepairPanel,太空 - 黃蜂 - 維修面板 /// Space Hornet Repair Panel=17359
Actor/Name/SpaceInterceptorDoodad,太空 - 傭兵 - 攔截機 /// Space - Merc - Interceptor=17360
Actor/Name/SpaceMercAATowerDoodad,太空 - 傭兵 - 衛星 /// Space - Merc - Satellite=17361
Actor/Name/SpaceMercStarportDoodad,太空 - 傭兵 - 星際港 /// Space - Merc - Starport=17362
Actor/Name/SpaceMineralDepleted,蟲族之心 - 太空 - 晶礦耗盡 /// HotS - Space Mineral Depleted=17363
Actor/Name/SpaceMineralFormation1Doodad,太空 - 晶礦組成 - 小 /// Space - Mineral Formation Small=17364
Actor/Name/SpaceMineralFormation2Doodad,太空 - 晶礦組成 - 大 /// Space - Mineral Formation Large=17365
Actor/Name/SpacePirateCapitalShipDoodad,太空 - 傭兵 - 主力艦 /// Space - Merc - Capital Ship=17366
Actor/Name/SpacePlatformScaffold,星際平台 - 鷹架 /// Space Platform Scaffold=17367
Actor/Name/SpacePrisonCell,太空 - 監獄牢房 /// Space Prison Cell=17368
Actor/Name/SpacePrisonDockEquipment,太空 - 監獄停泊區 - 設備 /// Space Prison Dock Equipment=17369
Actor/Name/SpacePrisonDockGridFloor,太空 - 監獄停泊區 - 網格地板 /// Space Prison Dock Grid Floor=17370
Actor/Name/SpacePrisonDockPowerLines,太空 - 監獄停泊區 - 電線 /// Space Prison Dock Power Lines=17371
Actor/Name/SpacePrisonDockWelder,太空 - 監獄停泊區 - 焊接設備 /// Space Prison Dock Welder=17372
Actor/Name/SpacePrisonPlatformBarrier,太空 - 監獄平台 - 屏障 /// Space Prison Platform Barrier=17373
Actor/Name/SpacePrisonPlatformExhaust,太空 - 監獄平台 - 排氣口 /// Space Prison Platform Exhaust=17374
Actor/Name/SpacePrisonPlatformFan,太空 - 監獄平台 - 風扇 /// Space Prison Platform Fan=17375
Actor/Name/SpacePrisonPlatformFanLarge,太空 - 監獄平台 - 風扇 - 大 /// Space Prison Platform Fan Large=17376
Actor/Name/SpacePrisonPlatformHose,太空 - 監獄平台 - 軟管 /// Space Prison Platform Hose=17377
Actor/Name/SpacePrisonPlatformScaffold,太空 - 監獄平台 - 鷹架 /// Space Prison Platform Scaffold=17378
Actor/Name/SpaceScrap,太空 - 廢料 /// Space Scrap=17379
Actor/Name/SpaceShipPiping,太空 - 船艦管路 /// Space Ship Piping=17380
Actor/Name/SpaceStationMercenaryDoodad,太空 - 傭兵 - 太空站 - 大 /// Space - Merc - Station - Large=17381
Actor/Name/SpaceStationValerianDoodad,太空 - 傭兵 - 太空站 - 小 /// Space - Merc - Station - Small=17382
Actor/Name/SpaceSteamJet,太空 - 蒸氣噴射 /// Space Steam Jet=17383
Actor/Name/SpaceTankTrap,太空 - 坦克陷阱 /// Space Tank Trap=17384
Actor/Name/SpaceTurbine,太空 - 渦輪機 /// Space Turbine=17385
Actor/Name/SpaceTurbineSquare,太空 - 渦輪機區塊 /// Space Turbine Square=17386
Actor/Name/SpaceValkyrieDoodad,太空 - 傭兵 - 女武神 /// Space - Merc - Valkyrie=17387
Actor/Name/SpaceVent,太空 - 通風口 /// Space Vent=17388
Actor/Name/SpaceVentDestructible,太空 - 通風口 - 可破壞的 /// Space Vent Destructible=17389
Actor/Name/SpaceVentWall,太空 - 通風口 - 牆壁 /// Space Vent Wall=17390
Actor/Name/SpaceWallPanel,太空 - 通風口 - 控制台 /// Space Wall Panel=17391
Actor/Name/SpaceWindowBG,太空 - 窗戶 - 大 /// Space Window BG=17392
Actor/Name/SpawnChangelingTargetRange,孵化變形蟲目標 - 範圍 /// Spawn Changeling Target Range=17393
