RequirementNode/Name/1,1=0
Sound/Name/CataractAttackImpact,Cataract Attack Impact=3463
Sound/Name/CataractAttackLaunch,Cataract Attack Launch=3464
Sound/Name/CitadelChargeFinish,Citadel Charge Finish=3465
Sound/Name/CitadelEnergizeCastSoundInit,Citadel Energize Cast Sound Init=3466
Sound/Name/CitadelEnergizeCastSoundLoop,Citadel Energize Cast Sound Loop=3467
Sound/Name/Courier_Death,Courier_Death=3468
Sound/Name/Courier_Movement,Courier_Movement=3469
Sound/Name/Courier_Ready,Courier_Ready=3470
Sound/Name/Courier_What,Courier_What=3471
Sound/Name/Courier_Yes,Courier_Yes=3472
Sound/Name/ERROR,ERROR=3473
Sound/Name/EchoAttackLaunch,Echo Attack Launch=3474
Sound/Name/EchoDiscordModeSound,Echo Discord Mode Sound=3475
Sound/Name/EchoDiscordZoneLoop,Echo Discord Zone Loop=3476
Sound/Name/EchoFighterModeSound,Echo Fighter Mode Sound=3477
Sound/Name/EchoReverbCreation,Echo Reverb Creation=3478
Sound/Name/EchoReverbTeleport,Echo Reverb Teleport=3479
Sound/Name/Echo_Movement,Echo_Movement=3480
Sound/Name/ElytraAttackImpact,Elytra Attack Impact=3481
Sound/Name/ElytraAttackLaunch,Elytra Attack Launch=3482
Sound/Name/EqualizerAttackImpact,Equalizer Attack Impact=3483
Sound/Name/Equalizer_Attack,Equalizer_Attack=3484
Sound/Name/Equalizer_Death,Equalizer_Death=3485
Sound/Name/Equalizer_Ready,Equalizer_Ready=3486
Sound/Name/Equalizer_Stratum_AttackImpact,Equalizer_Stratum_AttackImpact=3487
Sound/Name/Equalizer_Stratum_AttackLaunch,Equalizer_Stratum_AttackLaunch=3488
Sound/Name/Equalizer_What,Equalizer_What=3489
Sound/Name/Equalizer_Yes,Equalizer_Yes=3490
Sound/Name/EroderAttackImpact,Eroder Attack Impact=3491
Sound/Name/EroderAttackLaunch,Eroder Attack Launch=3492
Sound/Name/EroderDeathVoice,Eroder Death Voice=3493
Sound/Name/Eroder_Attack,Eroder_Attack=3494
Sound/Name/Eroder_Explode,Eroder_Explode=3495
Sound/Name/Eroder_Ready,Eroder_Ready=3496
Sound/Name/Eroder_What,Eroder_What=3497
Sound/Name/Eroder_Yes,Eroder_Yes=3498
Sound/Name/ExplosiveGlobMovement,Explosive Glob Movement=3499
Sound/Name/ExterminatorAttackImpact,Exterminator Attack Impact=3500
Sound/Name/ExterminatorIncendiaryInfusionBlastSound,Exterminator Incendiary Infusion Blast Sound=3501
Sound/Name/FixerAttackImpact,Fixer_AttackImpact=3502
Sound/Name/FixerAttackLaunch,Fixer_AttackLaunch=3503
Sound/Name/Fixer_Repair,Fixer_Repair=3504
Sound/Name/Fuse_Cast,Fuse_Cast=3505
Sound/Name/Fuse_End,Fuse_End=3506
Sound/Name/Fuse_Impact,Fuse_Impact=3507
Sound/Name/Fuse_Movement,Fuse_Movement=3508
Sound/Name/GameMusicKeir,Game Music - Keiron=3509
Sound/Name/GameMusicXayid,Game Music - Xayid=3510
Sound/Name/Genetron_ConstructionEnd,Genetron_ConstructionEnd=3511
Sound/Name/Genetron_ConstructionMove,Genetron_ConstructionMove=3512
Sound/Name/Genetron_ConstructionStart,Genetron_ConstructionStart=3513
Sound/Name/Genetron_ConstructionStart2,Genetron_ConstructionStart2=3514
Sound/Name/Genetron_ConstructionWork,Genetron_ConstructionWork=3515
Sound/Name/Genetron_ConstructionWorkLoop,Genetron_ConstructionWorkLoop=3516
Sound/Name/GyreAnnexLoop,Gyre Annex Loop=3517
Sound/Name/GyreAnnexStart,Gyre Annex Start=3518
Sound/Name/GyreAnnexStop,Gyre Annex Stop=3519
Sound/Name/GyrePrisonInit,Gyre Prison Init=3520
Sound/Name/GyreShackleAttackImpact,Gyre Shackle Attack Impact=3521
Sound/Name/GyreShackleAttackLaunch,Gyre Shackle Attack Launch=3522
Sound/Name/GyreShieldBoostImpact,Gyre Shield Boost Impact=3523
Sound/Name/Gyre_Annexed,Gyre_Annexed=3524
Sound/Name/Gyre_Movement,Gyre_Movement=3525
Sound/Name/HarbingerAirAttackImpact,Harbinger Air Attack Impact=3526
Sound/Name/HarbingerAirAttackLaunch,Harbinger Air Attack Launch=3527
Sound/Name/HarbingerGroundAttackImpact,Harbinger Ground Attack Impact=3528
Sound/Name/HarbingerGroundAttackLaunch,Harbinger Ground Attack Launch=3529
Sound/Name/Harbinger_Movement,Harbinger_Movement=3530
Sound/Name/HornetAttackImpact,Hornet Attack Impact=3531
Sound/Name/HornetAttackImpactFlesh,Hornet Attack Impact Flesh=3532
Sound/Name/HornetAttackLaunch,Hornet Attack Launch=3533
Sound/Name/HornetDeath,Hornet Death=3534
Sound/Name/Hornet_Attack,Hornet_Attack=3535
Sound/Name/Hornet_Movement,Hornet_Movement=3536
Sound/Name/Hornet_Ready,Hornet_Ready=3537
Sound/Name/Hornet_What,Hornet_What=3538
Sound/Name/Hornet_Yes,Hornet_Yes=3539
Sound/Name/IncendiaryInfusionImpact,Incendiary Infusion Impact=3540
Sound/Name/InciterAttackImpact,Inciter Attack Impact=3541
Sound/Name/InciterAttackLaunch,Inciter Attack Launch=3542
Sound/Name/Inciter_Attack,Inciter_Attack=3543
Sound/Name/Inciter_JumpLand,Inciter_JumpLand=3544
Sound/Name/Inciter_JumpLaunch,Inciter_JumpLaunch=3545
Sound/Name/Inciter_Movement,Inciter_Movement=3546
Sound/Name/Inciter_Ready,Inciter_Ready=3547
Sound/Name/Inciter_What,Inciter_What=3548
Sound/Name/Inciter_Yes,Inciter_Yes=3549
Sound/Name/InducerGamutOrbAttackImpact,Inducer Gamut Orb Attack Impact=3550
Sound/Name/InducerGamutOrbAttackLaunch,Inducer Gamut Orb Attack Launch=3551
Sound/Name/InterdictorAttackImpact,Interdictor Attack Impact=3552
Sound/Name/InterdictorAttackLaunch,Interdictor Attack Launch=3553
Sound/Name/Interdictor_Burrow,Interdictor_Burrow=3554
Sound/Name/Interdictor_Unburrow,Interdictor_Unburrow=3555
Sound/Name/JupiterAttackImpactAdd,Jupiter Attack Impact Add=3556
Sound/Name/JupiterAttackLaunch,Jupiter Attack Launch=3557
Sound/Name/JupiterBombRun,Jupiter Bomb Run=3558
Sound/Name/JupiterBombRunStart,Jupiter Bomb Run Start=3559
Sound/Name/Jupiter_Movement,Jupiter_Movement=3560
Sound/Name/Jupiter_Pissed,Jupiter_Pissed=3561
Sound/Name/Jupiter_Ready,Jupiter_Ready=3562
Sound/Name/Jupiter_What,Jupiter_What=3563
Sound/Name/Jupiter_Yes,Jupiter_Yes=3564
Sound/Name/KeironStructureLarge_Death,Keiron Structure Large_Death j=3565
Sound/Name/KeironStructureSmall_Death,Keiron Structure Small _Death j=3566
Sound/Name/KeironUnitLarge_Death,Keiron Unit Large _Death j=3567
Sound/Name/KeironUnitSmall_Death,Keiron Unit Small _Death=3568
Sound/Name/KeironUnit_Death,Keiron Unit _Death=3569
Sound/Name/Keiron_BuildingPlacement,Keiron_BuildingPlacement j=3570
Sound/Name/Keiron_BuildingPlacementSmall,Keiron_BuildingPlacementSmall=3571
Sound/Name/Keiron_Harvest,Keiron_Harvest=3572
Sound/Name/Leviathan_Attack,Leviathan_Attack=3573
Sound/Name/Leviathan_Ready,Leviathan_Ready=3574
Sound/Name/Leviathan_What,Leviathan_What=3575
Sound/Name/Leviathan_Yes,Leviathan_Yes=3576
Sound/Name/LockDownMode_Loop,LockDownMode_Loop=3577
Sound/Name/MassaliskDeathVoice,Massalisk Death Voice=3578
Sound/Name/Massalisk_Explode,Massalisk_Explode=3579
Sound/Name/MechFabricaitonSoundLoop,Mech Fabricaiton Sound Loop=3580
Sound/Name/MechFabricaitonSoundLoopAlt,Mech Fabricaiton Sound Loop Alt=3581
Sound/Name/MechFabricaitonSoundStart,Mech Fabricaiton Sound Start=3582
Sound/Name/MoleAttackImpact,Mole Attack Impact=3583
Sound/Name/MoleAttackLaunch,Mole Attack Launch=3584
Sound/Name/Mole_Movement,Mole_Movement=3585
Sound/Name/Music_Genetron,Music_Genetron=3586
Sound/Name/MyriadAttackLaunch,Myriad Attack Launch=3587
Sound/Name/NullifierAttackLaunch,Nullifier Attack Launch=3588
Sound/Name/NullifierAttackSoundLoop,Nullifier Attack Sound Loop=3589
Sound/Name/OculusRevealStart,Oculus Reveal Start=3590
Sound/Name/OculusRevealStop,Oculus Reveal Stop=3591
Sound/Name/Overlord_Unload2,Overlord_Unload=3592
Sound/Name/ParagonAirWeapon_Impact,Paragon Air Weapon _Impact=3593
Sound/Name/ParagonAirWeapon_Launch,Paragon Air Weapon _Launch=3594
Sound/Name/ParagonEmissaryOrbChargeSound,Paragon Emissary Orb Charge Sound=3595
Sound/Name/ParagonEmissaryOrbImpactSound,Paragon Emissary Orb Impact Sound=3596
Sound/Name/ParagonEmissaryOrbLaunchSound,Paragon Emissary Orb Launch Sound=3597
Sound/Name/ParagonGroundWeapon_Impact,Paragon Ground Weapon _Impact=3598
Sound/Name/ParagonGroundWeapon_Launch,Paragon Ground Weapon _Launch=3599
Sound/Name/Paragon_Movement,Paragon_Movement=3600
Sound/Name/PariahAttackLaunch,Pariah Attack Launch=3601
Sound/Name/PariahProjectionCast,Pariah Projection Cast=3602
Sound/Name/PariahProjectionEnd,Pariah Projection End=3603
Sound/Name/Processor_Analyze_Sound,Processor_Analyze_Sound=3604
Sound/Name/Processor_SystemOffload_Sound,Processor_SystemOffload_Sound=3605
Sound/Name/Prowler_Pissed,Prowler_Pissed=3606
Sound/Name/Prowler_Ready,Prowler_Ready=3607
Sound/Name/Prowler_What,Prowler_What=3608
Sound/Name/Prowler_Yes,Prowler_Yes=3609
Sound/Name/PulsarAttackLaunchSound,Pulsar Attack Launch Sound=3610
Sound/Name/PulsarAttackSoundLoop,Pulsar Attack Sound Loop=3611
Sound/Name/PulsarDampenerStartSound,Pulsar Dampener Start Sound=3612
Sound/Name/Raptor_Attack,Raptor_Attack=3613
Sound/Name/Raptor_Movement,Raptor_Movement=3614
Sound/Name/Raptor_Ready,Raptor_Ready=3615
Sound/Name/Raptor_What,Raptor_What=3616
Sound/Name/Raptor_Yes,Raptor_Yes=3617
Sound/Name/RepulsorAttackLaunch,Repulsor Attack Launch=3618
Sound/Name/Repulsor_Burrow,Repulsor_Burrow=3619
Sound/Name/RevilerDeathVoice,Reviler Death Voice=3620
Sound/Name/Reviler_Attack,Reviler_Attack=3621
Sound/Name/Reviler_Ready,Reviler_Ready=3622
Sound/Name/Reviler_What,Reviler_What=3623
Sound/Name/Reviler_Yes,Reviler_Yes=3624
Sound/Name/RoamerDeathVoice,Roamer Death Voice=3625
Sound/Name/Roamer_Attack,Roamer_Attack=3626
Sound/Name/Roamer_Explode,Roamer_Explode=3627
Sound/Name/Roamer_Ready,Roamer_Ready=3628
Sound/Name/Roamer_What,Roamer_What=3629
Sound/Name/Roamer_Yes,Roamer_Yes=3630
Sound/Name/SacrificialMutationBirthSound,Sacrificial Mutation Birth Sound=3631
Sound/Name/ScavengerSpawn_Death,ScavengerSpawn_Death=3632
Sound/Name/Scavenger_Attack,Scavenger_Attack=3633
Sound/Name/Scavenger_Attack2,Scavenger_Attack=3634
Sound/Name/Scavenger_Pissed,Scavenger_Pissed=3635
Sound/Name/Scavenger_Pissed2,Scavenger_Pissed=3636
Sound/Name/Scavenger_Ready,Scavenger_Ready=3637
Sound/Name/Scavenger_Ready2,Scavenger_Ready=3638
Sound/Name/Scavenger_What,Scavenger_What=3639
Sound/Name/Scavenger_What2,Scavenger_What=3640
Sound/Name/Scavenger_Yes,Scavenger_Yes=3641
Sound/Name/Scavenger_Yes2,Scavenger_Yes=3642
Sound/Name/ScorpaliskDeathVoice,Scorpalisk Death Voice=3643
Sound/Name/Scorpalisk_Attack,Scorpalisk_Attack=3644
Sound/Name/Scorpalisk_Explode,Scorpalisk_Explode=3645
Sound/Name/Scorpalisk_Ready,Scorpalisk_Ready=3646
Sound/Name/Scorpalisk_What,Scorpalisk_What=3647
Sound/Name/Scorpalisk_Yes,Scorpalisk_Yes=3648
Sound/Name/ScourAttackLaunch,Scour Attack Launch=3649
Sound/Name/SpitfireAttackLaunch,Spitfire Attack Launch=3650
Sound/Name/Spitfire_Attack,Spitfire_Attack=3651
Sound/Name/Spitfire_Movement,Spitfire_Movement=3652
Sound/Name/Spitfire_Ready,Spitfire_Ready=3653
Sound/Name/Spitfire_What,Spitfire_What=3654
Sound/Name/Spitfire_Yes,Spitfire_Yes=3655
Sound/Name/SpitterAttackHiss,Spitter Attack Hiss=3656
Sound/Name/SpitterDeathVoice,Spitter Death Voice=3657
Sound/Name/SpitterVolatileSound,Spitter Volatile Sound=3658
Sound/Name/Spitter_Attack,Spitter_Attack=3659
Sound/Name/Spitter_Explode,Spitter_Explode=3660
Sound/Name/Spitter_Ready,Spitter_Ready=3661
Sound/Name/Spitter_What,Spitter_What=3662
Sound/Name/Spitter_Yes,Spitter_Yes=3663
Sound/Name/StratusWeaponAttackImpact,Stratus Weapon Attack Impact=3664
Sound/Name/StratusWeaponAttackLaunch,Stratus Weapon Attack Launch=3665
Sound/Name/Tesla_Movement,Tesla_Movement=3666
Sound/Name/Tesla_Pissed,Tesla_Pissed=3667
Sound/Name/Tesla_Ready,Tesla_Ready=3668
Sound/Name/Tesla_What,Tesla_What=3669
Sound/Name/Tesla_Yes,Tesla_Yes=3670
Sound/Name/TitanAttack_Loop,Titan Attack _Loop=3671
Sound/Name/TitanAttack_Start,Titan Attack _Start=3672
Sound/Name/TorrentAGAttackLaunch,Torrent AG Attack Launch=3673
Sound/Name/Torrent_Attack,Torrent_Attack=3674
Sound/Name/Torrent_Ready,Torrent_Ready=3675
Sound/Name/Torrent_What,Torrent_What=3676
Sound/Name/Torrent_Yes,Torrent_Yes=3677
Sound/Name/UmbraAttackImpact,Umbra Attack Impact=3678
Sound/Name/UmbraAttackLaunch,Umbra Attack Launch=3679
Sound/Name/UmbraShieldCompulsionSound,Umbra Shield Compulsion Sound=3680
Sound/Name/Umbra_CloakOff,Umbra_CloakOff=3681
Sound/Name/Umbra_CloakOn,Umbra_CloakOn=3682
Sound/Name/UnknownSound2,Repulsor_Unburrow=3683
Sound/Name/Uploader_SchematicTransmitEnd,Uploader_SchematicTransmit End=3684
Sound/Name/Uploader_SchematicTransmit_Loop,Uploader_SchematicTransmit_Loop=3685
Sound/Name/Uploader_SchematicTransmit_Start,Uploader_SchematicTransmit_Start=3686
Sound/Name/VirtusAttackImpact,Virtus Attack Impact=3687
Sound/Name/VirtusAttackLaunch,Virtus Attack Launch=3688
Sound/Name/Virtus_Attack,Virtus_Attack=3689
Sound/Name/Virtus_Explode,Virtus_Explode=3690
Sound/Name/Virtus_Movement,Virtus_Movement=3691
Sound/Name/Virtus_Ready,Virtus_Ready=3692
Sound/Name/Virtus_What,Virtus_What=3693
Sound/Name/Virtus_Yes,Virtus_Yes=3694
Sound/Name/VoltAttackImpact,Volt Attack Impact=3695
Sound/Name/VoltAttackLaunch,Volt Attack Launch=3696
Sound/Name/XayidlingAttackImpact,Xayidling Attack Impact=3697
Sound/Name/XayidlingAttackLaunch,Xayidling Attack Launch=3698
Sound/Name/XayidlingDashSound,Xayidling Dash Sound=3699
Sound/Name/XayidlingDeathVoice,Xayidling Death Voice=3700
Sound/Name/Xayidling_Attack,Xayidling_Attack=3701
Sound/Name/Xayidling_Explode,Xayidling_Explode=3702
Sound/Name/Xayidling_Pissed,Xayidling_Pissed=3703
Sound/Name/Xayidling_Ready,Xayidling_Ready=3704
Sound/Name/Xayidling_What,Xayidling_What=3705
Sound/Name/Xayidling_Yes,Xayidling_Yes=3706
Soundtrack/Name/Music_GenLow,Music_GenLow=3707
Soundtrack/Name/Music_KeirLow,Music_KeirLow=3708
Soundtrack/Name/Music_XayiLow,Music_XayiLow=3709
Tactical/Name/Aquila,Aquila=3710
Tactical/Name/AssemblyArray,Assembly Array=3711
Tactical/Name/AvengerGenetron,AvengerGenetron=3712
Tactical/Name/Blaze,Blaze=3713
Tactical/Name/Blitzer,Blitzer=3714
Tactical/Name/BoarIgnitionBlast,Boar Ignition Blast=3715
Tactical/Name/BoarMove,Boar Move=3716
Tactical/Name/Casnolisk,Casnolisk=3717
Tactical/Name/CasnoliskExplosiveGlob,Casnolisk Explosive Glob=3718
Tactical/Name/CasnoliskStagnatingBile,Casnolisk Stagnating Bile=3719
Tactical/Name/Courier,Courier=3720
Tactical/Name/CourierCloak,Courier Cloak=3721
Tactical/Name/CourierCloakOff,Courier Cloak Off=3722
Tactical/Name/Exterminator,Exterminator=3723
Tactical/Name/Fabricator,Fabricator=3724
Tactical/Name/Interdictor,Interdictor=3725
Tactical/Name/InterdictorBurrowed,Interdictor Burrowed=3726
Tactical/Name/Jupiter,Jupiter=3727
Tactical/Name/Manufacturer,Manufacturer=3728
Tactical/Name/Massalisk,Massalisk=3729
Tactical/Name/MassaliskHunkered,Massalisk Hunkered=3730
Tactical/Name/Mole,Mole=3731
Tactical/Name/MoleBurrowed,Mole Burrowed=3732
Tactical/Name/ProcessingCore,Processing Core=3733
Tactical/Name/ProcessingCoreMiningPriority,Processing Core Mining Priority=3734
Tactical/Name/ProcessingCoreRally,Processing Core Rally=3735
Tactical/Name/Processor,Processor=3736
Tactical/Name/ProcessorAnalyzeWeakness,Processor Analyze Weakness=3737
Tactical/Name/ProcessorDetectionOff,Processor Detection Off=3738
Tactical/Name/ProcessorDetectionOn,Processor Detection On=3739
Tactical/Name/ProcessorMove,Processor Move=3740
Tactical/Name/ProcessorUpgrade,Processor Upgrade=3741
Tactical/Name/ProcessorUpgradeAnalyzeWeakness,Processor Upgrade Analyze Weakness=3742
Tactical/Name/ProcessorUpgradeMove,Processor Upgrade Move=3743
Tactical/Name/Repulsor,Repulsor=3744
Tactical/Name/RepulsorBurrowed,Repulsor Burrowed=3745
Tactical/Name/Roamer,Roamer=3746
Tactical/Name/Tesla,Tesla=3747
Tactical/Name/TeslaConstructShockCharge,Tesla Construct Shock Charge=3748
Tactical/Name/TeslaLaunchShockCharge,Tesla Launch Shock Charge=3749
Tactical/Name/Xayidling,Xayidling=3750
TargetFind/Name/AnalyzeWeakness,Analyze Weakness=3751
TargetFind/Name/AnalyzeWeaknessBestPoint,Analyze Weakness Best Point=3752
TargetFind/Name/AnalyzeWeaknessSearch,Analyze Weakness Search=3753
TargetFind/Name/AvengerVengeanceMissile,Avenger Vengeance Missile=3754
TargetFind/Name/ExplosiveGlob,Explosive Glob=3755
TargetFind/Name/ExplosiveGlobBestPoint,Explosive Glob Best Point=3756
TargetFind/Name/ExplosiveGlobEffect,Explosive Glob Effect=3757
TargetFind/Name/IgnitionBlast,Ignition Blast=3758
TargetFind/Name/IgnitionBlastBestPoint,Ignition Blast Best Point=3759
TargetFind/Name/IgnitionBlastEffect,Ignition Blast Effect=3760
TargetFind/Name/IncendiaryInfusion,Incendiary Infusion=3761
TargetFind/Name/NaniteGrenade,Nanite Grenade=3762
TargetFind/Name/NaniteGrenadeBestPoint,Nanite Grenade Best Point=3763
TargetFind/Name/NaniteGrenadeSearch,Nanite Grenade Search=3764
TargetFind/Name/ProcessorMoveSearch,Processor Move Search=3765
TargetFind/Name/RevenantBomb,Revenant Bomb=3766
TargetFind/Name/RevenantBombBestPoint,Revenant Bomb Best Point=3767
TargetFind/Name/RevenantBombSearch,Revenant Bomb Search=3768
TargetFind/Name/SchematicTransmit,Schematic Transmit=3769
TargetFind/Name/Scour,Scour=3770
TargetFind/Name/StagnatingBile,Stagnating Bile=3771
TargetFind/Name/StagnatingBileBestPoint,Stagnating Bile Best Point=3772
TargetFind/Name/StagnatingBileEffect,Stagnating Bile Effect=3773
TargetFind/Name/TeslaShockCharge,Tesla Shock Charge=3774
TargetFind/Name/TeslaShockChargeBestPoint,Tesla Shock Charge Best Point=3775
TargetFind/Name/TeslaShockChargeSearch,Tesla Shock Charge Search=3776
Token/Name/AquilaConstruction/Model,Model=3777
Token/Name/FirewallShield/Button,Button=3778
Token/Name/KeironBioArmorBase/Level,Level=3779
Token/Name/Pulsar4DMDummy/unitname,unitname=3780
Token/Name/SoundOneShotKeiron/BehaviorSub,BehaviorSub=3781
Token/Tooltip/AquilaConstruction/Model,=3782
Token/Tooltip/CButtonKeiron/Icon,=3783
Token/Tooltip/FirewallShield/Button,=3784
Token/Tooltip/KeironBioArmorBase/Level,=3785
Token/Tooltip/Pulsar4DMDummy/unitname,=3786
Token/Tooltip/SoundOneShotKeiron/BehaviorSub,=3787
Turret/Name/BadgerAATurret,Badger AA Turret=3788
Turret/Name/BadgerPointDefenseTurret,Badger Point Defense Turret=3789
Turret/Name/Blitzer,Blitzer=3790
Turret/Name/HornetTurret,Hornet=3791
Turret/Name/Interdictor,Interdictor=3792
Turret/Name/InterdictorMovement,Interdictor Movement=3793
Turret/Name/Nullifier,Nullifier=3794
Turret/Name/NullifierMovement,Nullifier Movement=3795
Turret/Name/RepulsorTurret,Repulsor Turret=3796
Turret/Name/Stratus,Stratus=3797
Turret/Name/StratusMovement,Stratus Movement=3798
Turret/Name/Titan,Titan=3799
Turret/Name/TitanMovement,Titan Movement=3800
Unit/EditorPrefix/AcidWormWeapon,Weapon -=3801
Unit/EditorPrefix/AcidWormsLMWeapon,Weapon -=3802
Unit/EditorPrefix/AdaptiveInjection,Weapon -=3803
Unit/EditorPrefix/AuguryGunsLMWeapon,Weapon -=3804
Unit/EditorPrefix/AuroraAttackMissile,Weapon -=3805
Unit/EditorPrefix/BileSwarmLMWeapon,Weapon -=3806
Unit/EditorPrefix/BulwarkBlastWeapon,Weapon -=3807
Unit/EditorPrefix/CProjectileGenetron,=3808
Unit/EditorPrefix/CloakCharge,Tesla -=3809
Unit/EditorPrefix/CoveringSprayMissile,Weapon -=3810
Unit/EditorPrefix/ElectronBoltWeapon,Weapon -=3811
Unit/EditorPrefix/Emanator,Aurora -=3812
Unit/EditorPrefix/EmanatorMissile,Spell -=3813
Unit/EditorPrefix/EmissaryOrb,Weapon -=3814
Unit/EditorPrefix/EnervatorSporesWeapon,Weapon -=3815
Unit/EditorPrefix/EnthrallerQuillsLMWeapon,Weapon -=3816
Unit/EditorPrefix/EnthrallerQuillsWeapon,Weapon -=3817
Unit/EditorPrefix/EvisceratorSpineLMDummyWeapon,Weapon -=3818
Unit/EditorPrefix/EvisceratorSpineLMWeapon,Weapon -=3819
Unit/EditorPrefix/ExplosiveGlobMissile,Weapon -=3820
Unit/EditorPrefix/ExterminationMissile,Weapon -=3821
Unit/EditorPrefix/Grub,Biomass Hatchery -=3822
Unit/EditorPrefix/HalationPlasma,Weapon -=3823
Unit/EditorPrefix/HalifaxGrenade,Weapon -=3824
Unit/EditorPrefix/HalifaxGrenadesLMWeapon,Weapon -=3825
Unit/EditorPrefix/HellraiserGunsWeapon,Weapon -=3826
Unit/EditorPrefix/HeraldEnergyCannonsLMWeapon,Weapon -=3827
Unit/EditorPrefix/HurricaneMissilesLMWeapon,Weapon -=3828
Unit/EditorPrefix/IncendiaryInfusionMissile,Weapon -=3829
Unit/EditorPrefix/InducerAttackMissile,Weapon -=3830
Unit/EditorPrefix/LancerAutogunWeapon,Weapon -=3831
Unit/EditorPrefix/LaunchCloakChargeWeapon,Spell -=3832
Unit/EditorPrefix/LaunchShockChargeWeapon,Spell -=3833
Unit/EditorPrefix/LynxCannonWeapon,Weapon -=3834
Unit/EditorPrefix/MassaliskSporeWeapon,Weapon -=3835
Unit/EditorPrefix/MassaliskSporeWeaponAA,Weapon -=3836
Unit/EditorPrefix/NaniteGrenadeWeapon,Spell -=3837
Unit/EditorPrefix/NeedleSpinesWeapon2,Weapon -=3838
Unit/EditorPrefix/NemesisMissileWeapon,Weapon -=3839
Unit/EditorPrefix/NemesisMissilesLMWeapon,Weapon -=3840
Unit/EditorPrefix/NeutralizerBeamLMWeapon,Weapon -=3841
Unit/EditorPrefix/NullifierMissileLMWeapon,Weapon -=3842
Unit/EditorPrefix/ParadoxShackleWeapon,Weapon -=3843
Unit/EditorPrefix/ParagonAir,Weapon -=3844
Unit/EditorPrefix/ParagonGround,Weapon -=3845
Unit/EditorPrefix/ReturnGamutOrb,Weapon -=3846
Unit/EditorPrefix/RevenantBombLMWeapon,Spell -=3847
Unit/EditorPrefix/RevenantBombWeapon,Weapon -=3848
Unit/EditorPrefix/SacrificialMutation,Mendling -=3849
Unit/EditorPrefix/SearingSpore,Weapon -=3850
Unit/EditorPrefix/ShadowCannonWeapon,Weapon -=3851
Unit/EditorPrefix/ShockCharge,Tesla -=3852
Unit/EditorPrefix/SpitterAcidWeapon,Weapon -=3853
Unit/EditorPrefix/StagnatingBileMissile,Weapon -=3854
Unit/EditorPrefix/StingerDrillLMWeapon,Weapon -=3855
Unit/EditorPrefix/StratumMissileLauncherWeapon,Weapon -=3856
Unit/EditorPrefix/TheGreatEqualizerWeapon,Weapon -=3857
Unit/EditorPrefix/ThrasherSpineWeapon,Weapon -=3858
Unit/EditorPrefix/TitanBlast,Weapon -=3859
Unit/EditorPrefix/TitanBlastWeapon,Weapon -=3860
Unit/EditorPrefix/VengeanceMissilesLMWeapon,Spell -=3861
Unit/EditorPrefix/VirulentSpitWeapon,Weapon -=3862
Unit/EditorPrefix/VolatileDischargeMissile,Weapon -=3863
Unit/EditorPrefix/Wasp,Avian Nest -=3864
Unit/EditorPrefix/WeaponStratus,Weapon -=3865
Unit/EditorPrefix/Worm,Xayid Den -=3866
Unit/EditorPrefix/XayidCocoon,Egg -=3867
Unit/EditorSuffix/ChangelingSpitfire,(Spitfire)=3868
Unit/EditorSuffix/ChangelingVolt,(Volt)=3869
Unit/EditorSuffix/ChangelingXayidling,(Xayidling)=3870
Unit/EditorSuffix/CitadelCharged,(Charged)=3871
Unit/EditorSuffix/EchoDM,(Discord Mode)=3872
Unit/EditorSuffix/EchoReverb,(Reverb)=3873
Unit/EditorSuffix/FilteringPlantRich,(Rich)=3874
Unit/EditorSuffix/FormulatorRich,(Rich)=3875
Unit/EditorSuffix/InterdictorBurrowed,(Burrowed)=3876
Unit/EditorSuffix/LaunchCloakChargeWeapon,(Cloak Charge)=3877
Unit/EditorSuffix/LaunchShockChargeWeapon,(Shock Charge)=3878
Unit/EditorSuffix/MassaliskHunkered,(Hunkered)=3879
Unit/EditorSuffix/MassaliskSporeWeaponAA,(Anti-Air)=3880
Unit/EditorSuffix/MoleBurrowed,(Burrowed)=3881
Unit/EditorSuffix/PariahProjection,(Projection)=3882
Unit/EditorSuffix/RepulsorBurrowed,(Burrowed)=3883
Unit/EditorSuffix/SiphonerRich,(Rich)=3884
Unit/Name/CBaseGenetron,(CBaseGenetron)=3885
Unit/Name/CBaseGenetronStructure,(CBaseGenetronStructure)=3886
Unit/Name/CBuildingKeiron,Default Settings (Keiron Building)=3887
Unit/Name/CBuildingKeiron2,Default Settings (Keiron Building) Copy=3888
Unit/Name/CBuildingXayid,Default Settings (Xayid Building)=3889
Unit/Name/CBuildingXeyed,Default Settings (Keiron Building)=3890
Unit/Name/CProjectileGenetron,(CProjectileGenetron)=3891
Unit/Name/CProjectileGenetronInvulnerable,(CProjectileGenetronInvulnerable)=3892
Unit/Name/CStructureGenetron,(CStructureGenetron)=3893
Unit/Name/CUnitGenetronAir,(CUnitGenetronAir)=3894
Unit/Name/CUnitKeiron,Default Settings (Keiron Unit)=3895
Unit/Name/CUnitKeironFlyer,Default Settings (Keiron Flyer)=3896
Unit/Name/CUnitXayid,Default Settings (Xayid Unit)=3897
Unit/Name/CUnitXayidFlyer,Default Settings (Xayid Air Unit)=3898
Unit/Name/CUnitXeyed,Default Settings (Xeyed Unit)=3899
Unit/Name/DefaultSettingsKeironBuildingFlyer,Default Settings (Keiron Building Flyer)=3900
Unit/Name/GyreAnnexDummy,Gyre - Annex Dummy=3901
