AUTHENTICATION_BETA_REGION,– бета=0
Button/Tooltip/CommanderHornerLevel08,Улучшает хранилища с помощью технологии Доминиона. В результате они предоставляют на 100% больше припасов и обладают удвоенной прочностью. /// Supply Depots are upgraded with Dominion technology, increasing their health and supply by 100%.=10533
Button/Tooltip/CommanderHornerLevel09,Дает доступ к следующим улучшениям в инженерном комплексе:</n><ul indent="2" text="•"><li/>«Геллионы» получают возможность использовать смоляные бомбы, наносящие 20 ед. урона противникам в области действия и замедляющие их.<li/>«Геллитроны» поджигают цели при атаке.</ul>=10534
Button/Tooltip/CommanderHornerLevel10,Позволяет телепортировать на поле боя космическую станцию, наносящую 500 ед. урона особым боевым единицам и мгновенно уничтожающую остальные цели. Штурмовые дроны станции атакуют находящихся поблизости противников.=10535
Button/Tooltip/CommanderHornerLevel11,Боевые единицы Хорнера, не участвующие в бою, восстанавливают здоровье или прочность.=10536
Button/Tooltip/CommanderHornerLevel12,Прибывшие при использовании «Вызова флота» корабли обстреливают противников из лазерных батарей и орудий «Ямато», в первую очередь выбирая цели с большим запасом здоровья или прочности.=10537
Button/Tooltip/CommanderHornerLevel13,Дает доступ к следующим улучшениям в центре синтеза:<n/><ul indent="2" text="•"><li/>Заменяет орудия крейсеров мощными ускорителями частиц.<li/>После «Точечных ударов» остается область с горящим напалмом.</ul>=10538
Button/Tooltip/CommanderHornerLevel14,При уничтожении космической станции происходит ядерный взрыв.=10539
Button/Tooltip/CommanderHornerLevel15,Ваши войска получают бонус в зависимости от их соотношения:<n/><ul indent="2" text="•"><li/>Войска Хорнера получают 0,5% к максимальному запасу здоровья или прочности за каждую единицу припасов, использованных войсками Миры.<li/>Войска Миры получают 0,5% к скорости атаки за каждую единицу припасов, использованных войсками Хорнера.</ul>=10540
Button/Tooltip/CommanderKaraxFleetBeaconUpgradesPack,Дает доступ к следующим улучшениям в маяке флотилии:<n/><ul indent="2" text="•"><li/>Позволяет «Миражам» временно становиться неуязвимыми при получении урона.<li/>Позволяет авианосцам автоматически ремонтировать находящиеся рядом механические войска.=10541
Button/Tooltip/CommanderKaraxForgeUpgradesPack,Дает доступ к следующим улучшениям в оружейной:<n/><ul indent="2" text="•"><li/>Увеличивает дальность атаки фотонных пушек и кайдариновых монолитов, а также дальность действия батарей щитов на 2.<li/>Повышает скорость атаки фотонных пушек и кайдариновых монолитов на 25%.<li/>Позволяет батареям щитов укрывать строения поглощающим урон барьером.</ul>=10542
Button/Tooltip/CommanderKaraxInstantStructureWarp,Пилоны, фотонные пушки, кайдариновые монолиты и батареи щитов вызываются мгновенно. /// Pylons, Photon Cannons, Khaydarin Monoliths, and Shield Batteries warp in instantly.=10543
Button/Tooltip/CommanderKaraxMassChronoUpgrade,Способность «Темпоральная волна» теперь ускоряет производство в дружественных строениях до 500% на 20 сек.=10544
Button/Tooltip/CommanderKaraxOrbitalAssault,Боевые единицы Каракса имеют на 50% больше прочности, но стоят на 30% больше. «Орбитальный удар» не требует времени на восстановление и не имеет счетчика зарядов, а расходует 5 ед. энергии за выстрел.=10545
Button/Tooltip/CommanderKaraxPurifierBeamUpgrade,Повышает скорость движения «Луча воздаяния» на 200%, а время действия этой способности – на 5 сек. /// Increases the Purifier Beam's movement speed by 200% and its duration by 5 seconds.=10546
Button/Tooltip/CommanderKaraxRoboticsBayUpgradesPack,Дает доступ к следующим улучшениям в робототехническом узле:<n/><ul indent="2" text="•"><li/>Позволяет бессмертным использовать способность «Теневое орудие», наносящую 320 ед. урона указанной боевой единице или строению противника.<li/>Позволяет колоссам при каждой атаке поджигать землю, нанося дополнительный периодический урон.</ul>=10547
Button/Tooltip/CommanderKaraxSolarForgeUpgradesPack1,Дает доступ к следующим улучшениям в солнечной кузнице:<n/><ul indent="2" text="•"><li/>Позволяет способности «Луч воссоздания» воздействовать на дополнительные цели.<li/>Солнечная эффективность 3-го уровня.</ul>=10548
Button/Tooltip/CommanderKaraxSolarForgeUpgradesPack2,Дает доступ к следующим улучшениям в солнечной кузнице:<n/><ul indent="2" text="•"><li/>Позволяет способности «Орбитальный удар» также оглушать пораженных противников.<li/>Позволяет способности «Солнечное копье» поджигать землю, нанося дополнительный периодический урон.</ul>=10549
Button/Tooltip/CommanderKaraxTwilightCouncilUpgradesPack,Дает доступ к следующим улучшениям в Сумеречном совете:<n/><ul indent="2" text="•"><li/>Дозорные автоматически возрождаются после смерти.<li/>Заряжатели могут временно брать под контроль механические войска противника.<li/>Повышает скорость восстановления энергии заряжателей и батарей щитов на 200%.</ul>=10550
Button/Tooltip/CommanderKaraxUnitSpawnBarrier,Все дружественные войска получают защитный барьер, нейтрализующий одну атаку или способность, наносящую как минимум 20 ед. урона. Этот барьер дается войскам в момент их создания и срабатывает не чаще одного раза в 240 сек.=10551
Button/Tooltip/CommanderKaraxUnlockKhaydarinMonolith,Чрезвычайно мощное оборонительное строение с низкой скоростью атаки. Наносит огромный урон с большого расстояния, но требует много ресурсов.<n/><n/><c val="ffff8a">Атакует наземные и воздушные цели. /// Extremely powerful defensive structure. Has superior range and damage, but is very expensive and attacks slowly.<n/><n/><c val="ffff8a">Can attack ground and air units.=10552
Button/Tooltip/CommanderKaraxUnlockPurifierBeam,Испускает луч, наносящий 750 ед. урона (1500 ед. по бронированным единицам) в течение 15 сек. Если лучом не управлять вручную, он сам будет находить себе цель. /// Fires a beam that deals 750 (1500 vs Armored) damage over 15 seconds. The beam will auto-acquire targets if not manually controlled.=10553
Button/Tooltip/CommanderKaraxUnlockRepairBeam,Автоматически ремонтирует дружественные механические боевые единицы. Одновременно под воздействием луча может находиться до 3 боевых единиц.<n/><n/><c val="ffff8a">Пассивная способность</c>=10554
Button/Tooltip/CommanderKaraxUnlockSOAChronoPassive,Увеличивает скорость производства у всех дружественных строений на 15%.<n/><n/><c val="#ColorAttackInfo">Пассивная способность</c>=10555
Button/Tooltip/CommanderKaraxUnlockSOAPassiveOrbitalStrike,«Копье Адуна» получает возможность перегружать пилоны, позволяя им атаковать вражеские наземные и воздушные войска с большого расстояния.<n/><n/><c val="ffff8a">Пассивная способность.</c>=10556
Button/Tooltip/CommanderKerriganCrushingGripWave,Открывает доступ к способности Керриган «Обездвиживающая волна», которая наносит урон противникам в большой области вокруг нее и оглушает их.=10557
Button/Tooltip/CommanderKerriganGreaterNydusWorm,Улучшает сеть нидуса до омега-сети, способной призывать омега-червей. Для призыва омега-червей не требуются ресурсы, они мгновенно выгружают войска, и их также может использовать ваш союзник.<n/><n/><c val="#ColorAttackInfo">Пассивная способность</c>=10558
Button/Tooltip/CommanderKerriganHydraliskandLurkerUpgradesPack,Дает доступ к следующим улучшениям в пещере гидралисков и пещере скрытней:<n/><ul indent="2" text="•"><li/>Увеличивает запас здоровья гидралисков с 80 до 100 ед.<li/>Дает доступ к способности гидралисков «Бешенство», которая на 15 сек. повышает скорость их атаки на 50%.<li/>Увеличивает дальность атаки скрытней с 9 до 12.</ul>=10559
Button/Tooltip/CommanderKerriganImprovedLeapingStrike,Увеличивает урон от способности Керриган «Удар в прыжке» со 150 до 300 ед., а дальность действия – с 6 до 12. Увеличивает урон от способности Керриган «Псионный сдвиг» с 50 до 100 ед.=10560
Button/Tooltip/CommanderKerriganKerriganEnergyRegeneration,Ускоряет восстановление энергии Керриган на 50%. /// Increases Kerrigan's energy regeneration by 50%.=10561
Button/Tooltip/CommanderKerriganKerriganUpgradesPack,Дает доступ к следующим улучшениям в эволюционной камере:<n/><ul indent="2" text="•"><li/>Улучшает атаки Керриган, позволяя наносить обычный урон основной цели и затем поражать находящихся рядом противников.<li/>Снижает стоимость способностей Керриган и уменьшает их время восстановления на 20%.</ul>=10562
Button/Tooltip/CommanderKerriganKerrigansFury,С каждой атакой скорость атаки Керриган повышается на 10% вплоть до 50%.<n/><n/><c val="#ColorAttackInfo">Пассивная способность</c>=10563
Button/Tooltip/CommanderKerriganMalignantCreep,Скорость атаки и скорость восстановления здоровья союзных наземных войск повышается на слизи. Опухоли распространяют слизь быстрее и дальше.<n/><n/><c val="#ColorAttackInfo">Пассивная способность</c>=10564
Button/Tooltip/CommanderKerriganMutatingCarapace,Нанося урон, Керриган получает временный бонус к запасу здоровья. Погибнув, она быстро возрождается в инкубаторе. /// Kerrigan gains temporary life as she deals damage. If killed, she is revived quickly at her Hatchery.=10565
Button/Tooltip/CommanderKerriganSpireUpgradesPack,Дает доступ к следующим улучшениям в шпиле и шпиле величия:<n/><ul indent="2" text="•"><li/>Урон от чакрумов мууталисков не уменьшается при рикошете.<li/>Повышает скорость передвижения хозяев стаи на 75% и увеличивает их запас здоровья на 100 ед.=10566
Button/Tooltip/CommanderKerriganUltraliskEvolutionTorrasque,Ультралиски Керриган развиваются до нового подвида.<n/><n/>Торраск – это тяжелобронированный зверь. Наносит урон всем противникам, находящимся перед ним. После гибели может быть возрожден.<n/><n/><c val="ffff8a">Атакует только наземные цели.</c>=10567
Button/Tooltip/CommanderKerriganUltraliskUpgradesPack,Дает доступ к следующим улучшениям в пещере ультралисков:<n/><ul indent="2" text="•"><li/>Дает доступ к способности ультралисков «Подземный рывок». Ультралиск закапывается и совершает рывок к противнику.<li/>Улучшает атаку ультралисков, позволяя им восстанавливать здоровье в объеме 40% нанесенного урона.</ul>=10568
Button/Tooltip/CommanderKerriganUnlockLurker,Предназначен для неожиданных атак по области. Может вести бой только в закопанном состоянии. Мутирует из гидралиска.<n/><n/><c val="ffff8a">Атакует только наземные цели.</c>=10569
Button/Tooltip/CommanderKerriganZerglingEvolutionRaptor,Зерглинги Керриган развиваются до нового подвида.<n/><n/>Раптор – это быстрая единица ближнего боя. Перепрыгивает препятствия и наскакивает на цель с большого расстояния. Наносит увеличенный урон.<n/><n/><c val="FFFF8A">Атакует только наземные цели.</c>=10570
Button/Tooltip/CommanderKerriganZerglingUpgradesPack,Дает доступ к следующим улучшениям в омуте рождения:<n/><ul indent="2" text="•"><li/>Увеличивает запас здоровья зерглингов с 35 до 45 ед.<li/>Атаки зерглингов на 10 сек. ослабляют броню целей до 0.</ul>=10571
Button/Tooltip/CommanderMengskLevel01,Менгск использует работников Доминиона вместо КСМ и солдат Доминиона вместо морпехов. Войска его императорской гвардии могут повышать свой ранг, открывая новые и улучшая доступные способности.=10572
Button/Tooltip/CommanderMengskLevel02,Позволяет солдатам использовать огнеметы СПО-7 «Саламандра» и ракетометы «Град».=10573
Button/Tooltip/CommanderMengskLevel03,Случайным образом обстреливает область вокруг указанной точки, нанося урон находящимся в ней наземным войскам.<n/><n/><c val="#ColorAttackInfo">Атакует наземные цели.</c>=10574
Button/Tooltip/CommanderMengskLevel04,Орудия «Раскол» получают возможность вести обстрел экспериментальными зарядами, которые случайным образом падают вокруг указанной точки.=10575
Button/Tooltip/CommanderMengskLevel05,Прошедшие идеологическую обработку работники и солдаты, а также императорская гвардия усиливают поддержку императора, за счет которой растет сила императорского мандата. Дает доступ к улучшению «Мощные радиоволны», которое ускоряет рост силы императорского мандата за счет идеологически обработанных работников и солдат вдвое (разрабатывается в центре синтеза).=10576
Button/Tooltip/CommanderMengskLevel06,Открывает доступ к следующим улучшениям в инженерном комплексе:<n/><ul indent="2" text="•"><li/>Увеличивает дальность атаки войск, находящихся в складском бункере, еще на 1.<li/>Увеличивает дальность действия «Артиллерийского обстрела» орудия «Раскол» на 25.</ul>=10577
Button/Tooltip/CommanderMengskLevel07,При высоком уровне силы императорского мандата «Псы войны» призывают на поле боя дополнительных муталисков и ультралисков.=10578
Button/Tooltip/CommanderMengskLevel08,Дает доступ к следующим улучшениям:<n/><ul indent="2" text="•"><li/>Позволяет атакам бойцов отряда «Эгида» замедлять войска противника (разрабатывается в императорской академии).<li/>Позволяет шоковым танкам в осадном режиме, подобранным «Имперскими заступниками», атаковать воздушные войска противника (разрабатывается в арсенале).<li/>Повышает скорость передвижения боевых машин «Звездная ярость» (разрабатывается в центре синтеза).</ul>=10579
Button/Tooltip/CommanderMengskLevel09,Тяжелый осадный робот императорской гвардии. Может переходить в режим дозора. Строится на заводе.<n/><n/><c val="#ColorAttackInfo">Атакует наземные и воздушные цели.</c>=10580
Button/Tooltip/CommanderMengskLevel10,Открывает возможность обстрела тактическими ракетами, за которым следует ядерный удар. «Ядерная аннигиляция» активируется с помощью верхней панели.=10581
Button/Tooltip/CommanderMengskLevel11,«Грязный обстрел» вызывает страх у пораженных противников, заставляя их беспорядочно бегать в панике.=10582
Button/Tooltip/CommanderMengskLevel12,Мощный боевой корабль императорской гвардии. Может использовать орудие «Ямато» и способность «Тактический скачок». Строится в космопорте.<n/><n/><c val="#ColorAttackInfo">Атакует наземные и воздушные цели.</c>=10583
Button/Tooltip/CommanderMengskLevel13,Увеличивает количество тактических ракет, запускаемых во время «Ядерной аннигиляции», с 20 до 40.=10584
Button/Tooltip/CommanderMengskLevel14,Дает доступ к следующим улучшениям:<n/><ul indent="2" text="•"><li/>Позволяет теням императора вызывать тактические ракетные удары без поддержания (разрабатывается в императорской академии).<li/>«Черные молоты» усиливают броню находящихся возле них войск на 3 (разрабатывается в арсенале).<li/>Крейсеры «Гордость Августграда» увеличивают дальность атаки находящихся рядом с ними наземных войск дальнего боя на 1 (разрабатывается в центре синтеза).</ul>=10585
Button/Tooltip/CommanderMengskLevel15,Войска императорской гвардии могут получить 3-й ранг и доступ к следующим способностям:<n/><ul indent="2" text="•"><li/>Бойцы отряда «Эгида» могут значительно повышать свою скорость атаки.<li/>«Пирокинетический удар» теней императора вызывает взрыв, когда цель погибает. Войска получают от «Электромагнитного импульса» теней императора урон, равный объему сожженной энергии.<li/>Увеличивает радиус взрыва снарядов шоковых танков в осадном режиме.<li/>Повышает скорость атаки «Черных молотов» в режиме дозора.<li/>В режиме истребителя боевые машины «Звездная ярость» могут уклоняться от атак противника. Получая критический урон в штурмовом режиме, они переходят в режим истребителя и окружают себя защитным барьером.<li/>Орудия «Ямато» крейсеров «Гордость Августграда» могут стрелять три раза подряд.</ul>=10586
Button/Tooltip/CommanderNovaAutoRefineries,Перерабатывающие заводы автоматически добывают веспен без участия КСМ.=10587
Button/Tooltip/CommanderNovaBansheeLiberatorStarportTechLabUpgradesPack,Дает доступ к следующим улучшениям в лаборатории космопорта:<n/><ul indent="2" text="•"><li/>Позволяет тактическим «Банши» совершать «Ракетные залпы», наносящие урон наземным войскам противника в указанной области.<li/>Позволяет ударным «Освободителям» быстрее переключаться между режимами.<li/>Позволяет ударным «Освободителям» атаковать строения в защитном режиме.</ul>=10588
Button/Tooltip/CommanderNovaBarracksTechLabUpgradesPack,Дает доступ к следующим улучшениям в лаборатории казарм:</n><ul indent="2" text="•"><li/>Позволяет элитным морпехам применять суперстимуляторы, которые повышают скорость их атаки и передвижения, а также постепенно восполняют им здоровье.<li/>Снаряжает мародеров-коммандос дополнительным оружием, поражающим их текущую цель.</ul>=10589
Button/Tooltip/CommanderNovaBaseTrait,Максимальное количество припасов у Новы составляет 100 ед. Однако ее войска и строения обладают повышенным запасом здоровья или прочности, наносят больше урона и невосприимчивы к эффектам оглушения. Боевые единицы доставляются на поле боя мгновенно.=10590
Button/Tooltip/CommanderNovaDefensiveMatrixDroneCharges,Увеличивает максимальное количество зарядов модуля точечной обороны на 2 и уменьшает время их восстановления на 30 сек.=10591
Button/Tooltip/CommanderNovaFactoryTechLabUpgradesPack,Дает доступ к следующим улучшениям в лаборатории завода:</n><ul indent="2" text="•"><li/>Позволяет десантным «Геллитронам» прыгать к наземным войскам противника и оглушать их при столкновении.<li/>Позволяет ударным «Голиафам» оглушать воздушные механические войска и отключать их функцию детектора.<li/>Постепенно увеличивает дальность атаки тяжелых осадных танков в осадном режиме.</ul>=10592
Button/Tooltip/CommanderNovaGhostAcademyUpgradesPack2,Дает доступ к следующим улучшениям в академии призраков:<n/><ul indent="2" text="•"><li/>Позволяет Нове восполнять 50% затраченной на «Снайперский выстрел» энергии при убийстве этой способностью.<li/>Увеличивает дальность «Осколочного залпа» Новы.</ul>=10593
Button/Tooltip/CommanderNovaImprovedGlobalPowers,Увеличивает количество зарядов модуля точечной обороны на 2 и сокращает время восстановления способности на 30 сек.=10594
Button/Tooltip/CommanderNovaKitSwapCooldownandEnergy,Время восстановления режима маскировки и штурмового режима сокращается на 15 секунд. При смене режима Нова полностью восстанавливает энергию.</n></n>При переходе в режим маскировки Нова получает временную неуязвимость, а при переходе в штурмовой режим – временный бонус к урону.=10595
Button/Tooltip/CommanderNovaOdinBarrage,Открывает доступ к способности «Одина» «Артобстрел».=10596
Button/Tooltip/CommanderNovaRavenStarportTechLabUpgradesPack,Дает доступ к следующим улучшениям в лаборатории космопорта:<n/><ul indent="2" text="•"><li/>Повышает эффективность биомеханических ремонтных дронов «Воронов-II» и позволяет им маскировать союзников во время ремонта или лечения.<li/>Позволяет «Воронам-II» накапливать 2 дополнительных заряда для каждой способности.=10597
Button/Tooltip/CommanderNovaResearchCostandTimeReduction,Сокращает время и стоимость разработки улучшений в лаборатории и академии призраков на 50%.=10598
Button/Tooltip/CommanderNovaTechLabandGhostAcademyUpgradesPack,Открывает доступ к разработке способности «Тройной выстрел», позволяющей элитным призракам проводить две дополнительные атаки при использовании «Снайперского выстрела».</n></n>Открывает доступ к улучшению для Новы, ускоряющему восстановление ее здоровья, в академии призраков.=10599
Button/Tooltip/CommanderNovaTrait1,Умение Новы 1 – всплывающая подсказка=10600
Button/Tooltip/CommanderNovaTrait2,Умение Новы 2 – всплывающая подсказка=10601
Button/Tooltip/CommanderNovaTrait3,Умение Новы 3 – всплывающая подсказка=10602
Button/Tooltip/CommanderNovaUnlockBombingRun,Позволяет Нове вызывать «Грифон», который бомбардирует указанную линию. Вызвать «Грифон» можно с помощью верхней панели.=10603
Button/Tooltip/CommanderNovaUnlockEquipmentChange,Позволяет Нове переключаться между двумя наборами экипировки прямо на поле боя. В каждом из режимов Нова обладает различным оружием и набором способностей.=10604
Button/Tooltip/CommanderNovaUnlockGriffinTransport,Позволяет Нове вызывать «Грифон» для тактической переброски союзных войск в указанную точку. Вызвать «Грифон» можно с помощью верхней панели.=10605
Button/Tooltip/CommanderNovaUnlockNukeandHoloDecoy,Позволяет Нове использовать способность «Ядерный удар» для запуска ядерных ракет в режиме маскировки.</n></n>В штурмовом режиме Нова получает способность «Голографический двойник», которая создает ее копию, самостоятельно атакующую врагов.=10606
Button/Tooltip/CommanderNovaUnlockOdin,Способность развертывания «Одина» теперь доступна на верхней панели.=10607
Button/Tooltip/CommanderPrestige,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Нет<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Нет=10608
Button/Tooltip/CommanderPrestigeAbathurBiomass,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Боевые единицы могут дополнительно вмещать 25 ед. биомассы. Вероятность боевых единиц оставить биомассу после смерти повышена на 50%.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Венцы эволюции недоступны.=10609
Button/Tooltip/CommanderPrestigeAbathurDeepTunnel,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Дальность атаки, скорость передвижения и продолжительность жизни саранчидов повышены на 50%. Для разработки способности «Глубинный тоннель» больше не требуется улей, ее могут использовать тараканы и разорители, а для ее применения не требуется обзор.	<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Затраты веспена на порождение боевых единиц увеличены на 25%.=10610
Button/Tooltip/CommanderPrestigeAbathurUltimateEvo,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Число венцов эволюции больше не ограничено тремя.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Для создания венца эволюции требуется 200 ед. биомассы. Биомасса менее эффективна.=10611
Button/Tooltip/CommanderPrestigeAlarakDeathFleet,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Флот смерти может существовать неограниченное время и не требует времени на восстановление. Материнский корабль производит дезинтеграторы.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Дезинтеграторы не призываются материнским кораблем. На создание и содержание материнского корабля и дезинтеграторов расходуются ресурсы и припасы. «Массовая телепортация» материнского корабля восстанавливается 60 сек. и не телепортирует боевые единицы союзников.=10612
Button/Tooltip/CommanderPrestigeAlarakEmpowerMe,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Время восстановления способности «Усиливайте меня!» уменьшено на 50%.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Нельзя вызвать Флот смерти.=10613
Button/Tooltip/CommanderPrestigeAlarakMech,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Гибель приверженца повышает урон и скорость атаки одной из ближайших обычных механических боевых единиц Аларака.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Урон от «Смертельного рывка» и «Волны разрушения» уменьшен на 50%.=10614
Button/Tooltip/CommanderPrestigeArtanisCombatAbilities,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Эффективность активных способностей всех боевых единиц повышается на 100%.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Боевые единицы становятся на 30% дороже.=10615
Button/Tooltip/CommanderPrestigeArtanisOrbitalStrike,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>«Орбитальные удары» призывают неистового фанатика, выпускающего волны наносящей урон энергии. Время существования фанатика – 15 секунд. Для «Перегрузки щита» можно выбирать цели, ее время восстановления сокращено на 50%, а стоимость уменьшена до 25 ед. энергии.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>«Орбитальный удар» стоит 50 ед. энергии. «Спасительный щит» становится недоступен.=10616
Button/Tooltip/CommanderPrestigeArtanisPowerField,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>«Активировать энергетическое поле» телепортирует ваши боевые единицы, находящиеся в действующем энергетическом поле, на новое место при использовании и не требует времени на восстановление.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Активация энергетического поля требует 25 ед. энергии.=10617
Button/Tooltip/CommanderPrestigeDehakaClone,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Дехака создает своего клона.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Если Дехаку или его клона убьют, погибнут оба.=10618
Button/Tooltip/CommanderPrestigeDehakaDevour,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Положительные эффекты «Пожирания» применяются ко всем дружественным боевым единицам рядом с Дехакой.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Базовый запас брони Дехаки равен 0, способность «Чудовищное дыхание» недоступна, максимальный уровень уменьшен на 4.=10619
Button/Tooltip/CommanderPrestigeDehakaPackLeaders,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Вожаки стаи и их зерги наносят на 50% больше урона, а их максимальный запас здоровья повышен на 100%. Способности вожака стаи восстанавливаются на 33% быстрее. Вожаки стаи могут поглощать эссенцию для Дехаки.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Пока активен вожак стаи, Дехака покидает поле боя. Одновременно может быть активен только один вожак стаи.=10620
Button/Tooltip/CommanderPrestigeFenixAvenger,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Эффективность «Протокола отмщения» повышена на 100%. После гибели ИИ-героев возвращается 75% их базовой стоимости.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>ИИ-герои не получают бонусов к здоровью или щитам, а дальность действия их атак сокращается.=10621
Button/Tooltip/CommanderPrestigeFenixDataWeb,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Эффективность «Тактической сети» повышается на 200%. Все затраты на боевые единицы уменьшены на 50%.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Урон и запас здоровья всех обычных боевых единиц понижены на 50%.=10622
Button/Tooltip/CommanderPrestigeFenixSuitSwap,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Урон Феникса во всех боевых конфигурациях увеличен на 100%, а все его способности восстанавливаются на 50% быстрее. Здоровье, щиты и энергия восстанавливаются на 100% быстрее, когда костюм находится в хранилище.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Время восстановления вызова оболочек Феникса увеличено на 700%. Каждая оболочка может существовать не более 20 сек.=10623
Button/Tooltip/CommanderPrestigeHornerBombingPlatforms,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Больше нет максимума взлетных площадок.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Для строительства взлетных площадок требуется на 100% больше ресурсов.=10624
Button/Tooltip/CommanderPrestigeHornerMagMines,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>«Магнитные мины» приводятся в боевую готовность и срабатывают на 80% быстрее. Эффекты, срабатывающие при гибели боевых единиц Миры, становятся на 100% мощнее.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Боевые единицы Хорнера стоят на 30% дороже.=10625
Button/Tooltip/CommanderPrestigeHornerStarport,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Боевые единицы Хорнера требуют на 20% меньше веспена, а их заряды восстанавливаются на 50% быстрее.	<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Максимальное количество галеонов сокращено до 2.=10626
Button/Tooltip/CommanderPrestigeKaraxArmy,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Стоимость боевых единиц уменьшена на 40%.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Фотонные пушки и кайдариновые монолиты недоступны.=10627
Button/Tooltip/CommanderPrestigeKaraxStructures,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Эффективность «Луча воссоздания» повышена на 100%. Целями луча может стать вдвое больше строений. «Барьер единства» можно наложить на строения; способность восстанавливается на 75% быстрее. «Темпоральное ускорение», «Темпоральная волна» и «Темпоральное поле» могут влиять на защитные строения и уменьшать интервалы между их атаками.	<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Целью «Луча воссоздания» могут быть только строения. «Барьер единства» больше не влияет на боевые единицы.=10628
Button/Tooltip/CommanderPrestigeKaraxTopBar,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Затраты энергии на «Орбитальный удар» и «Солнечное копье» снижены на 40%. «Солнечное копье» и «Луч воздаяния» восстанавливаются на 50% быстрее.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>«Темпоральное ускорение», «Темпоральная волна» и «Темпоральное поле» недоступны.=10629
Button/Tooltip/CommanderPrestigeKerriganAbilities,<s val="Coop_Prestige_Advantage">Преимущества</s><n/>Керриган расходует ярость при использовании «Удара в прыжке» или «Псионного сдвига», нанося ближайшим противникам 50 ед. урона и оглушая их на 3 сек.<n/><n/><s val="Coop_Prestige_Disadvantage">Недостатки</s><n/>Панцирь Керриган создает на 50% меньше щитов. Урон от способностей Керриган уменьшен на 50%.=10630
