AUTHENTICATION_BETA_REGION,Bêta=0
Button/Tooltip/DarkShrine,Bâtiment technologique des templiers noirs.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Templier noir au portail<n/>- Fusion en archonte à partir de templiers noirs /// Dark Templar tech structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Dark Templar at the Gateway<n/>- Archon Merge from Dark Templar=10923
Button/Tooltip/DarkTemplar,Guerrier-assassin. Son camouflage le rend invisible pour les ennemis sans capacité de détection. Peut se transformer en archonte.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c> /// Deadly warrior-assassin. Cloak renders the unit invisible to enemies without detection. Can transform into an Archon.<n/><n/><c val="ffff8a">Can attack ground units.</c>=10924
Button/Tooltip/DarkTemplarShakurasACGluescreenDummy,Guerrier-assassin. Son camouflage le rend invisible pour les ennemis sans capacité de détection.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c>=10925
Button/Tooltip/Debris2x2NonConjoined,Une barrière qui peut être détruite pour donner accès à de nouvelles zones.=10926
Button/Tooltip/DestructibleBullhornLights,Projecteur à forte intensité. Généralement utilisé dans les installations militaires et pénitentiaires du Dominion. /// High-intensity searchlight. Commonly used in Dominion military and penal facilities.=10927
Button/Tooltip/DestructibleDebris4x4,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10928
Button/Tooltip/DestructibleDebris6x6,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10929
Button/Tooltip/DestructibleDebrisRampDiagonalHugeBLUR,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10930
Button/Tooltip/DestructibleDebrisRampDiagonalHugeULBR,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10931
Button/Tooltip/DestructibleGarage,Garage du coin. /// Local garage.=10932
Button/Tooltip/DestructibleGarageLarge,Garage du coin. /// Local garage.=10933
Button/Tooltip/DestructibleRampDiagonalHugeBLUR,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10934
Button/Tooltip/DestructibleRampDiagonalHugeULBR,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10935
Button/Tooltip/DestructibleRampHorizontalHuge,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10936
Button/Tooltip/DestructibleRampVerticalHuge,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10937
Button/Tooltip/DestructibleRock2x4Horizontal,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10938
Button/Tooltip/DestructibleRock2x4Vertical,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10939
Button/Tooltip/DestructibleRock2x6Horizontal,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10940
Button/Tooltip/DestructibleRock2x6Vertical,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10941
Button/Tooltip/DestructibleRock4x4,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10942
Button/Tooltip/DestructibleRock6x6,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// A barrier that can be destroyed to allow access to new areas.=10943
Button/Tooltip/DestructibleSearchlight,Projecteur à forte intensité. Généralement utilisé dans les installations militaires et pénitentiaires du Dominion. /// High-intensity search light. Commonly used in Dominion military and penal facilities.=10944
Button/Tooltip/DestructibleSpacePlatformBarrier,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10945
Button/Tooltip/DestructibleSpacePlatformSign,Une barrière qui peut être détruite pour donner accès à de nouvelles zones. /// Barrier that can be destroyed to allow access to new areas.=10946
Button/Tooltip/DestructibleStreetlight,=10947
Button/Tooltip/DestructibleTrafficSignal,=10948
Button/Tooltip/Detector,Cette unité peut détecter les unités camouflées, enfouies et hallucinatoires. /// This unit can detect cloaked, burrowed, and hallucinated units.=10949
Button/Tooltip/DevastationTurretACGluescreenDummy,Bâtiment de défense terrestre. Inflige des dégâts supplémentaires aux unités blindées. Ses attaques ralentissent les ennemis.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>=10950
Button/Tooltip/DevourerACGluescreenDummy,Puissante unité volante antiaérienne. Peut utiliser Acide corrosif.<n/><n/><c val="ffff8a">Peut attaquer les unités aériennes.</c>=10951
Button/Tooltip/Disguise,Copie la couleur et la race de la première unité ennemie rencontrée par le changelin. /// Matches the color and race of the first enemy unit the Changeling comes in contact with.=10952
Button/Tooltip/DisruptorACGluescreenDummy,Unité robotique de disruption. Peut utiliser Nova purificatrice pour infliger d’importants dégâts de zone.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c>=10953
Button/Tooltip/DragoonACGluescreenDummy,Marcheur d’assaut à distance. Bénéficie de points de vie et de dégâts augmentés.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres et aériennes.</c>=10954
Button/Tooltip/Drone,Unité ouvrière de base. Peut collecter du minerai et du gaz vespène. Peut se transformer en bâtiment.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c> /// Basic worker unit. Can harvest minerals and vespene gas. Can mutate into structures.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>=10955
Button/Tooltip/DroneBurrowed,Unité ouvrière de base. Peut collecter du minerai et du gaz vespène. Peut se transformer en bâtiment.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c> /// Basic worker unit. Can harvest minerals and vespene gas. Can mutate into structures.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>=10956
Button/Tooltip/EMP,Crée une impulsion électromagnétique qui inflige 100 points de dégâts aux boucliers et à l’énergie de toutes les unités dans la zone ciblée. Les unités camouflées touchées par l’IEM sont visibles pendant un court instant. /// Creates an electromagnetic pulse that does 100 damage to shields and energy of all units in the targeted area. Cloaked units hit by EMP are revealed for a short time.=10957
Button/Tooltip/Egg,Les unités zergs se transforment dans ces cocons. /// Zerg units morph in the safety of these cocoons.=10958
Button/Tooltip/EliteMarineACGluescreenDummy,Infanterie polyvalente d’élite.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>=10959
Button/Tooltip/EngineeringBay,Permet des améliorations pour l’infanterie et les bâtiments terrans.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Tourelle lance-missiles construite par un VCS<n/>- Tour de détection construite par un VCS<n/>- Forteresse planétaire à partir du Centre de commandement /// Contains upgrades for Terran infantry and structures. <n/><n/><c val="ffff8a">Enables:</c><n/>- Missile Turrets from SCVs<n/>- Sensor Towers from SCVs<n/>- Planetary Fortresses from Command Centers=10960
Button/Tooltip/EvolutionChamber,Permet des améliorations pour les unités terrestres zergs.=10961
Button/Tooltip/EvolveAnabolicSynthesis2,Augmente la vitesse de déplacement des <c val="ffff8a">ultralisks</c>.=10962
Button/Tooltip/EvolveCentrificalHooks,Augmente la vitesse de déplacement des <c val="ffff8a">chancres</c>.=10963
Button/Tooltip/EvolveChitinousPlating,Donne +2 points d’armure aux <c val="ffff8a">ultralisks</c>.=10964
Button/Tooltip/EvolveGlialRegeneration,Augmente la vitesse de déplacement des <c val="ffff8a">cafards</c>.=10965
Button/Tooltip/EvolveInfestorEnergyUpgrade,Augmente l’énergie de départ des <c val="ffff8a">infestateurs</c> de 25 points.=10966
Button/Tooltip/EvolveOrganicCarapace,Augmente le taux de régénération de vie des <c val="ffff8a">cafards</c> enfouis.=10967
Button/Tooltip/EvolvePeristalsis,Permet aux <c val="ffff8a">infestateurs</c> de se déplacer plus vite en étant enfouis.=10968
Button/Tooltip/EvolveTunnelingClaws,Permet aux <c val="ffff8a">cafards</c> enfouis de se déplacer. Augmente le taux de régénération de vie des <c val="ffff8a">cafards</c> enfouis.=10969
Button/Tooltip/EvolveVentralSacks,Permet aux <c val="ffff8a">dominants</c> de transporter des unités.=10970
Button/Tooltip/Explode,Le chancre explose sur place, ce qui endommage les unités et bâtiments ennemis à proximité. /// The Baneling detonates where it is standing, damaging nearby enemy units and structures.=10971
Button/Tooltip/Extractor,Se transforme sur un geyser de vespène pour permettre la collecte du gaz. /// Mutated over a Vespene Geyser to allow harvesting of vespene gas.=10972
Button/Tooltip/ExtractorRich,À faire muter au-dessus d’un geyser de vespène pour permettre la collecte du gaz.=10973
Button/Tooltip/Factory,Site de production de véhicules.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Tourmenteur<n/>- Mine veuve=10974
Button/Tooltip/FactoryFlying,L’usine doit atterrir pour démarrer la production d’unités. /// Factory must land to start unit production.=10975
Button/Tooltip/Feedback,Draine toute l’énergie de la cible. Inflige 1 point de dégâts par point d’énergie perdu. /// Drains all energy from the target. Deals 1 damage per point of energy.=10976
Button/Tooltip/FighterMode,Fait passer le Viking en mode Chasseur. Dans cette configuration, les Vikings peuvent voler mais ne peuvent attaquer que des cibles aériennes. /// Transforms the Viking to Fighter Mode. In this mode Vikings fly, but they can only attack air targets.=10977
Button/Tooltip/FireRoachACGluescreenDummy,Unité d’assaut, qui dispose d’une attaque à effet de zone et régénère rapidement ses points de vie quand elle est enfouie.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c>=10978
Button/Tooltip/FirebatACGluescreenDummy,Unité d’assaut spécialisée anti-infanterie.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>=10979
Button/Tooltip/FleetBeacon,Permet des améliorations pour le Phénix et le porte-nefs.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Tempête à la porte spatiale<n/>- Porte-nefs à la porte spatiale<n/>- Vaisseau mère à partir du noyau de vaisseau mère=10980
Button/Tooltip/ForceField,Barrière qui entrave le déplacement des unités terrestres. Dure <d time="15"/>. Toute unité lourde qui le traverse brise le champ de force. /// Barrier that lasts <d time="15"/> and impedes movement of ground units. Massive units will shatter Force Fields on contact.=10981
Button/Tooltip/Forge,Permet des améliorations d’arme et d’armure pour les unités terrestres protoss, ainsi que des améliorations de bouclier pour tous les bâtiments et unités protoss.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Canon à photons avec une sonde /// Contains weapon and armor upgrades for Protoss ground units and shield upgrades for all Protoss units and structures.<n/><n/><c val="ffff8a">Enables:</c><n/>- Photon Cannons from Probes=10982
Button/Tooltip/Frenzied,Immunisé contre les effets de ralentissement, d’étourdissement et de contrôle mental. /// Immune to snare, stun, and mind control effects.=10983
Button/Tooltip/Frenzy,Permet à une unité biologique de faire 25% de dégâts en plus. Une unité avec Frénésie est immunisée contre le ralentissement, l’étourdissement ne peut pas être contrôlée mentalement. Dure <d time="30"/>. /// Makes a single biological unit do 25% more damage.  Frenzied unit is immune to slow, stuns and mind control for <d time="30"/>.=10984
Button/Tooltip/FungalGrowth,Immobilise les unités ciblées et inflige <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> points de dégâts en <d time="4"/>. Révèle les unités camouflées et enfouies. /// Immobilizes target units and causes <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/>. Reveals cloaked and burrowed units.=10985
Button/Tooltip/FusionCore,Permet des améliorations pour le cuirassé.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Cuirassé au spatioport=10986
Button/Tooltip/Gateway,Transfère des unités terrestres protoss.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Zélote /// Warps in Protoss ground units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Zealots=10987
Button/Tooltip/Gather,Ordonne à l’unité de récolter des ressources sur un gisement de minerai ou un geyser de gaz vespène ciblé.=10988
Button/Tooltip/GatherMULE,Ordonne au MULE de récolter le minerai d’un gisement sélectionné.=10989
Button/Tooltip/GatherProt,Ordonne aux sondes de récolter des ressources sur un gisement de minerai ou un geyser de gaz vespène ciblé. /// Orders Probe to gather resources from a selected Mineral Field or Vespene Geyser.=10990
Button/Tooltip/GatherTerr,Ordonne aux VCS de récolter des ressources sur un gisement de minerai ou un geyser de gaz vespène ciblé. /// Orders SCV to gather resources from a selected Mineral Field or Vespene Geyser.=10991
Button/Tooltip/GatherZerg,Ordonne aux ouvriers de récolter des ressources sur un gisement de minerai ou un geyser de gaz vespène ciblé. /// Orders Drone to gather resources from a selected Mineral Field or Vespene Geyser.=10992
Button/Tooltip/GenerateCreep,Le dominant se met à sécréter du mucus. Ne fonctionne que lorsque le dominant est immobile. Le mucus nourrit les bâtiments zergs proches.<n/><n/><c val="#ColorAttackInfo">Bonus : les Zergs se déplacent plus vite sur le mucus.</c> /// Makes the Overlord start to generate creep. Creep will only be generated when the Overlord isn't moving. Creep feeds nearby Zerg structures.<n/><n/><c val="#ColorAttackInfo">Bonus: Zerg move faster on creep.</c>=10993
Button/Tooltip/Ghost,Tireur embusqué. Peut utiliser Tir de précision et Balles IEM, et être amélioré pour utiliser Camouflage. Peut ordonner le lancement d’une bombe nucléaire tactique par l’Académie fantôme.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c> /// Sniper. Can use Snipe, EMP Round, and be upgraded to use Cloak. Can call down Tactical Nukes built at the Ghost Academy.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>=10994
Button/Tooltip/GhostAcademy,Permet des améliorations pour les fantômes. Permet de construire des bombes nucléaires utilisables par les fantômes.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Fantôme à la caserne /// Contains upgrades for Ghosts. Can build Nukes for Ghosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Ghosts at the Barracks=10995
Button/Tooltip/GhostAlternate,Tireur embusqué. Peut utiliser Tir de précision et Balles IEM, et être amélioré pour utiliser Camouflage. Peut ordonner le lancement d’une bombe nucléaire tactique par l’Académie fantôme.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>=10996
Button/Tooltip/GhostHoldFire,Ordonne aux unités sélectionnées de ranger leurs armes et d’éviter de combattre l’ennemi jusqu’à nouvel ordre. Les unités qui ont cessé le feu fuiront si elles sont attaquées. /// Orders selected units to holster their weapons and avoid engaging enemies, unless given a direct command. Units holding fire will flee if attacked.=10997
Button/Tooltip/GhostMengskACGluescreenDummy,Spécialiste de la Garde impériale. Peut utiliser Immolation pyrocinétique et Déflagration d’IEM. Peut ordonner le lancement de missiles tactiques construits par l’Académie impériale.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>=10998
Button/Tooltip/GlobeStatue,Statue de Korhal, capitale du Dominion. /// Statue of Korhal, the Dominion capitol.=10999
Button/Tooltip/GoliathACGluescreenDummy,Unité de soutien à forte puissance de feu.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>=11000
Button/Tooltip/GravitonBeam,Fait flotter l’unité ciblée dans les airs et l’empêche d’agir. L’effet dure <d time="10"/>.<n/><n/><c val="#ColorAttackInfo">Les unités lourdes sont immunisées.</c><n/><c val="ffff8a">Capacité canalisée.</c> /// Makes the target unit float in the air, disabling its abilities. Effect lasts up to <d time="10"/>.<n/><n/><c val="#ColorAttackInfo">Massive units are immune.</c><n/><c val="ffff8a">Channeled ability</c>=11001
Button/Tooltip/GravitonCatapult,Permet au porte-nefs de lancer ses intercepteurs plus vite. /// Makes the Carrier launch Interceptors more quickly.=11002
Button/Tooltip/GreaterSpire,Permet des améliorations pour les unités aériennes zergs.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Seigneur-vermine à partir d’un corrupteur /// Contains upgrades for Zerg air units.<n/><n/><c val="ffff8a">Enables:</c><n/>- Brood Lords from Corruptors=11003
Button/Tooltip/GuardianACGluescreenDummy,Unité volante anti-terrestre à longue portée.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c> /// Long-range anti-ground flyer. <n/><n/><c val="ffff8a">Can attack ground units.</c>=11004
Button/Tooltip/GuardianShield,Crée une aura de portée 4 qui réduit les dégâts à distance subis par les unités alliées de 2. Dure <d time="15"/>. /// Creates a range 4 aura that reduces incoming ranged damage to friendly units by 2. Lasts <d time="15"/>.=11005
Button/Tooltip/HHBattlecruiserACGluescreenDummy,Puissant vaisseau de guerre. Peut utiliser Saut tactique.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>=11006
Button/Tooltip/HHBomberPlatformACGluescreenDummy,Plate-forme de frappe chirurgicale. Permet au bombardier de lancer une frappe aérienne sur l’ennemi ou l’endroit ciblé.=11007
Button/Tooltip/HHHellionTankACGluescreenDummy,Unité de combat à courte portée. Inflige des dégâts dans un petit cône devant elle. Peut se transformer en unité de reconnaissance rapide.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>=11008
Button/Tooltip/HHMercStarportACGluescreenDummy,Site de production de Mira Han. Forteresse volante qui peut être améliorée davantage avec des drones d’assaut.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres et aériennes.</c>=11009
Button/Tooltip/HHMissileTurretACGluescreenDummy,Bâtiment défensif antiaérien.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités aériennes.</c><n/><c val="FFE303">Détecteur</c>=11010
Button/Tooltip/HHRavenACGluescreenDummy,Unité de soutien aérien. Peut utiliser Analyse des points faibles et dispose d’un radar de détection.<n/><n/><c val="FFE303">Détecteur</c>=11011
Button/Tooltip/HHReaperACGluescreenDummy,Troupe d’incursion. Capable de lancer des grenades qui repoussent l’ennemi et de franchir les falaises.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>=11012
Button/Tooltip/HHVikingACGluescreenDummy,Solide unité de soutien. Peut passer en mode Assaut pour attaquer les unités terrestres.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités aériennes.</c>=11013
Button/Tooltip/HHWidowMineACGluescreenDummy,Mine robotique. Lance des projectiles sur les unités ennemies proches en étant enfouie. Ses attaques infligent des dégâts sur une petite zone autour de la cible.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>=11014
Button/Tooltip/HHWraithACGluescreenDummy,Unité volante à grande mobilité. Excelle dans les frappes chirurgicales.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c>=11015
Button/Tooltip/Hallucination,Crée des hallucinations qui ne peuvent pas utiliser de capacités ni infliger de dégâts et meurent plus facilement. Elles durent <d ref="Behavior,HallucinationTimedLife,Duration"/> secondes. Les détecteurs ennemis dévoilent les hallucinations. /// Creates hallucinations that cannot use active abilities, cannot deal damage, and die more easily. Hallucinations last <d ref="Behavior,HallucinationTimedLife,Duration"/> seconds. Enemy detectors reveal hallucinations.=11016
Button/Tooltip/Halt,Interrompt la construction de ce bâtiment. La construction inachevée sera conservée. /// Halts construction of this structure. The partial construction will remain.=11017
Button/Tooltip/HardenedShield,Réduit les dégâts subis à un maximum de 10 points tant que les boucliers de l’immortel sont actifs. /// Reduces incoming damage to a maximum of 10 while the Immortal still has shields.=11018
Button/Tooltip/Hatchery,Bâtiment principal. Engendre toutes les unités zergs et reçoit les ressources collectées. Génère du mucus, qui est utilisé pour nourrir les bâtiments zergs proches. Peut muter en terrier.<n/><n/><c val="#ColorAttackInfo">Bonus : les Zergs se déplacent plus vite sur le mucus.</c> /// Primary structure. Used to spawn all Zerg units and receive gathered resources. Grows creep used to feed nearby Zerg structures. Can mutate into a Lair.<n/><n/><c val="#ColorAttackInfo">Bonus: Zerg move faster on creep.</c>=11019
Button/Tooltip/Heal,Soigne une cible biologique alliée.<n/><n/><c val="f078ff">Rend <d ref="Effect,MedivacHeal,RechargeVitalRate[0]"/> points de vie par point d’énergie.</c>=11020
Button/Tooltip/HeavySiegeTankACGluescreenDummy,Char lourd amélioré. Peut passer en mode Siège pour servir d’artillerie de soutien à longue portée. Peut être amélioré pour utiliser Mines araignées.<n/><n/><c val="FFFF8A">Peut attaquer les unités terrestres.</c>=11021
Button/Tooltip/HellbatACGluescreenDummy,Unité de combat à courte portée. Inflige des dégâts dans un petit cône devant elle. Peut se transformer en unité de reconnaissance rapide.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>=11022
Button/Tooltip/HellbatRangerACGluescreenDummy,Unité de combat rapproché d’élite. Inflige des dégâts dans un petit cône devant elle. Peut se transformer en unité de reconnaissance rapide.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>=11023
Button/Tooltip/Hellion,Éclaireur rapide. Dispose d’une attaque de flammes qui endommage toutes les unités adverses dans la ligne de feu. Peut se transformer en unité de combat à courte portée.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres.</c>=11024
Button/Tooltip/HerculesACGluescreenDummy,Énorme vaisseau de transport. Peut utiliser Saut tactique.=11025
Button/Tooltip/Herd,Cette unité se joint souvent aux autres unités pour les suivre. /// This unit will often group with and follow other units=11026
Button/Tooltip/HighTemplar,Puissant maître psionique. Peut utiliser Répercussion et être amélioré pour utiliser Tempête psionique. Peut se transformer en archonte. /// Potent psionic master. Can use Feedback and be upgraded to use Psionic Storm. Can transform into an Archon.=11027
Button/Tooltip/HighTemplarACGluescreenDummy,Puissant maître psionique. Peut utiliser Répercussion et Tempête psionique. Peut fusionner en archonte.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c>=11028
Button/Tooltip/HighTemplarHallucination,Ces copies hallucinatoires fonctionnent comme l’unité originale, mais ne peuvent pas utiliser de capacités ou infliger de dégâts, et meurent plus facilement. Les hallucinations durent <d time="60"/> avant de disparaître. /// These hallucinated copies function like the original unit, but they cannot use active abilities, cannot deal damage, and die more easily. Hallucinations last <d time="60"/> before they disappear.=11029
Button/Tooltip/HighTemplarTaldarimACGluescreenDummy,Puissant maître psionique. Peut utiliser Orbe psionique, Éruption mentale et Sacrifice.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c>=11030
Button/Tooltip/Hive,Version évoluée du terrier, qui permet de nouvelles améliorations et la production de bâtiments supplémentaires. Engendre également toutes les unités zergs et reçoit les ressources collectées.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Vipère à partir d’une larve=11031
Button/Tooltip/HoldFire,Ordonne aux unités sélectionnées de tenir la position et d’ignorer les ennemis à portée. Elles ne pourchasseront pas les ennemis et ne se déplaceront pas pour engager le combat. /// Orders selected units to stay where they are and ignore enemies that are within range. Units will neither chase down enemies nor move to engage.=11032
Button/Tooltip/HunterSeekerMissile,Déploie un missile à tête chercheuse, qui s’active après <d time="5"/> et poursuit l’unité ciblée, infligeant <d ref="Effect,SeekerMissileDamage,Amount"/> points de dégâts de zone lors du contact. /// Deploys a Seeker Missile which activates after <d time="5"/> and pursues the target unit, dealing <d ref="Effect,SeekerMissileDamage,Amount"/> splash damage upon contact.=11033
Button/Tooltip/Hydralisk,Unité d’attaque à distance. Peut se transformer en rôdeur.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres et aériennes.</c>=11034
Button/Tooltip/HydraliskACGluescreenDummy,Unité d’assaut à distance.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres et aériennes.</c>=11035
Button/Tooltip/HydraliskDen,Permet une amélioration pour les hydralisks. Peut être transformée en terrier de rôdeurs.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Hydralisk à partir d’une larve /// Contains an upgrade for Hydralisks. Can mutate into a Lurker Den.<n/><n/><c val="ffff8a">Enables:</c><n/>- Hydralisks from Larvae=11036
Button/Tooltip/HydraliskLurkerACGluescreenDummy,Unité d’attaque à distance. Peut se transformer en rôdeur.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres et aériennes.</c>=11037
Button/Tooltip/Immortal,Marcheur d’assaut. Peut utiliser Barrière pour absorber des dégâts.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c> /// Assault strider. Can use Barrier to absorb damage.<n/><n/><c val="ffff8a">Can attack ground units.</c>=11038
Button/Tooltip/ImmortalACGluescreenDummy,Marcheur d’assaut. Peut utiliser Barrière pour absorber des dégâts.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c>=11039
Button/Tooltip/ImmortalFenixACGluescreenDummy,Marcheur d’assaut. Peut utiliser Barrière pour absorber des dégâts.<n/><n/><c val="FFFF8A">Peut attaquer les unités terrestres.</c>=11040
Button/Tooltip/ImmortalHallucination,Cette copie hallucinatoire fonctionne comme l’unité originale, mais ne peut pas utiliser de capacités ou infliger de dégâts, et meurt plus facilement. Les hallucinations durent <d time="60"/> avant de disparaître. /// This hallucinated copy functions like the original unit, but it cannot use active abilities, cannot deal damage, and dies more easily. Hallucinations last <d time="60"/> before they disappear.=11041
Button/Tooltip/ImmortalKaraxACGluescreenDummy,Marcheur d’assaut. Peut utiliser Barrière pour absorber des dégâts. Peut être amélioré pour utiliser Canon d’ombre.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c>=11042
Button/Tooltip/ImmortalTaldarimACGluescreenDummy,Marcheur d’assaut. Les attaques infligent des dégâts de zone autour de l’unité ennemie ciblée.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres.</c>=11043
Button/Tooltip/InfestationPit,Permet des améliorations pour les infestateurs et les essaimeurs.<n/><n/><c val="ffff8a">Débloque :</c><n/>- Infestateur à partir d’une larve<n/>- Essaimeur à partir d’une larve /// Contains upgrades for Infestors and Swarm Hosts.<n/><n/><c val="ffff8a">Enables:</c><n/>- Infestors from Larvae<n/>- Swarm Hosts from Larvae=11044
Button/Tooltip/InfestedTerrans,Crée un Terran contaminé. Les Terrans contaminés survivent <d ref="Behavior,InfestedTerranTimedLife,Duration"/> secondes. /// Spawn an Infested Terran. Infested Terrans last <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.=11045
Button/Tooltip/InfestedTerransEgg,Un Terran contaminé en éclot après une courte période. /// Hatches into an Infested Terran after a short period.=11046
Button/Tooltip/Infestor,Spécialiste en contamination. Capable d’utiliser les capacités Croissance fongique, Parasite neural et Terran contaminé.=11047
Button/Tooltip/InfestorTerran,Le Terran contaminé inflige des dégâts modérés et survit <d ref="Behavior,InfestedTerranTimedLife,Duration"/> secondes.<n/><n/><c val="FFFF8A">Peut attaquer les unités terrestres et aériennes.</c> /// An Infested Terran does moderate damage and lasts for <d ref="Behavior,InfestedTerranTimedLife,Duration"/> seconds.<n/><n/><c val="FFFF8A">Can attack ground and air units.</c>=11048
Button/Tooltip/InhibitorZone,Déforme l’espace-temps dans la zone. Réduit de <d ref="1-Behavior,InhibitorZoneTemporalField,Modification.MoveSpeedMultiplier*100"/>% la vitesse de déplacement des unités aériennes, des unités terrestres et des bâtiments qui s’y trouvent.=11049
Button/Tooltip/Interceptor,Fabrique des intercepteurs qui attaqueront automatiquement les cibles du porte-nefs. Les porte-nefs ne peuvent pas attaquer sans intercepteur.<n/><n/><c val="#ColorAttackInfo">Peut attaquer les unités terrestres et aériennes.</c> /// Builds Interceptors that automatically attack the Carrier's target. Carriers may not attack without Interceptors.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>=11050
