AUTHENTICATION_BETA_REGION,Beta /// Beta=0
Reward/Name/Combat_Teammatery_Heal,Combat_Teammatery_Heal /// Combat_Teammatery_Heal=12881
Reward/Name/Combat_Teammatery_Repair,Combat_Teammatery_Repair /// Combat_Teammatery_Repair=12882
Reward/Name/Combat_TownHallDestroyer,Combat_TownHallDestroyer /// Combat_TownHallDestroyer=12883
Reward/Name/CommandCenterSkinOff,Predeterminado /// Default=12884
Reward/Name/CommanderAbathurCommanderAbathur,Comandante Abathur - Comandante Abathur /// Commander Abathur Commander Abathur=12885
Reward/Name/CommanderAbathurCommanderAbathur_Portrait,Abathur /// Abathur=12886
Reward/Name/CommanderAbathurDamage,Comandante Abathur - Daño /// Commander Abathur Damage=12887
Reward/Name/CommanderAbathurHeal,Comandante Abathur - Sanar /// Commander Abathur Heal=12888
Reward/Name/CommanderAbathurMorph,Comandante Abathur - Transformar /// Commander Abathur Morph=12889
Reward/Name/CommanderAbathurToxicNest,Comandante Abathur - Nido tóxico /// Commander Abathur Toxic Nest=12890
Reward/Name/CommanderAlarakCommanderAlarak,Comandante Alarak - Comandante Alarak /// Commander Alarak Commander Alarak=12891
Reward/Name/CommanderAlarakCommanderAlarak_Portrait,Alarak /// Alarak=12892
Reward/Name/CommanderAlarakDeathFleet,Comandante Alarak - Flota de la Muerte /// Commander Alarak Death Fleet=12893
Reward/Name/CommanderAlarakEmpowered,Comandante Alarak - Fortalecido /// Commander Alarak Empowered=12894
Reward/Name/CommanderAlarakOvercharge,Comandante Alarak - Sobrecarga /// Commander Alarak Overcharge=12895
Reward/Name/CommanderAlarakSupplicants,Comandante Alarak - Adoradores /// Commander Alarak Supplicants=12896
Reward/Name/CommanderArtanis,Comandante Artanis /// Commander Artanis=12897
Reward/Name/CommanderArtanisArtanisWMD,Comandante Artanis - Artanis nuclear /// Commander Artanis Artanis WMD=12898
Reward/Name/CommanderArtanisCommanderArtanis,Comandante Artanis - Comandante Artanis /// Commander Artanis Commander Artanis=12899
Reward/Name/CommanderArtanisCommanderArtanis_Portrait,Artanis /// Artanis=12900
Reward/Name/CommanderArtanisFingerOfPain,Comandante Artanis - Dedo del dolor /// Commander Artanis Finger Of Pain=12901
Reward/Name/CommanderArtanisForAiur,Comandante Artanis - Por Aiur /// Commander Artanis For Aiur=12902
Reward/Name/CommanderArtanisSolalright,Comandante Artanis - Nadie se atreva a tocar a mi aliado /// Commander Artanis Solalright=12903
Reward/Name/CommanderCommanderXPBonus100,Comandante - Comandante - PE adicionales 100 /// Commander Commander XPBonus100=12904
Reward/Name/CommanderCommanderXPBonus25,Comandante - Comandante - PE adicionales 25 /// Commander Commander XPBonus25=12905
Reward/Name/CommanderCommanderXPBonus50,Comandante - Comandante - PE adicionales 50 /// Commander Commander XPBonus50=12906
Reward/Name/CommanderDehakaCommanderDehaka_Portrait,Dehaka /// Dehaka=12907
Reward/Name/CommanderFenixCommanderFenix_Portrait,Fénix /// Fenix=12908
Reward/Name/CommanderGalaxyCommander,Comandante - Comandante galáctico /// Commander Galaxy Commander=12909
Reward/Name/CommanderHornerCommanderHorner_Portrait,Han y Horner /// Han and Horner=12910
Reward/Name/CommanderKarax,Comandante Karax /// Commander Karax=12911
Reward/Name/CommanderKaraxCommanderKarax,Comandante Karax - Comandante Karax /// Commander Karax Commander Karax=12912
Reward/Name/CommanderKaraxCommanderKarax_Portrait,Karax /// Karax=12913
Reward/Name/CommanderKaraxPurifierBeam,Comandante Karax - Rayo purificador /// Commander Karax Purifier Beam=12914
Reward/Name/CommanderKaraxSolarLance,Comandante Karax - Heliolanza /// Commander Karax Solar Lance=12915
Reward/Name/CommanderKaraxSuperChrono,Comandante Karax - Supercrono /// Commander Karax Super Chrono=12916
Reward/Name/CommanderKaraxWarpinPhotonCannons,Comandante Karax - Transposicionar Cañones de fotones /// Commander Karax Warpin Photon Cannons=12917
Reward/Name/CommanderKerrigan,Comandante Kerrigan /// Commander Kerrigan=12918
Reward/Name/CommanderKerriganCommanderKerrigan,Comandante Kerrigan - Comandante Kerrigan /// Commander Kerrigan Commander Kerrigan=12919
Reward/Name/CommanderKerriganCommanderKerrigan_Portrait,Kerrigan /// Kerrigan=12920
Reward/Name/CommanderKerriganIntheNameofLove,Comandante Kerrigan - En nombre del amor /// Commander Kerrigan Inthe Nameof Love=12921
Reward/Name/CommanderKerriganMakeItRain,Comandante Kerrigan - Que lluevan recursos en el campo /// Commander Kerrigan Make It Rain=12922
Reward/Name/CommanderKerriganOuch,Comandante Kerrigan - ¡Ay! /// Commander Kerrigan Ouch=12923
Reward/Name/CommanderKerriganWalkingDead,Comandante Kerrigan - Muertos psiónicos /// Commander Kerrigan Walking Dead=12924
Reward/Name/CommanderMasterCommander,Comandante - Comandante maestro /// Commander Master Commander=12925
Reward/Name/CommanderMasteryLevel10,Maestría de comandante - Nivel 10 /// Commander Mastery Level10=12926
Reward/Name/CommanderMasteryLevel20,Maestría de comandante - Nivel 20 /// Commander Mastery Level20=12927
Reward/Name/CommanderMasteryLevel30,Maestría de comandante - Nivel 30 /// Commander Mastery Level30=12928
Reward/Name/CommanderMasteryLevel40,Maestría de comandante - Nivel 40 /// Commander Mastery Level40=12929
Reward/Name/CommanderMasteryLevel50,Maestría de comandante - Nivel 50 /// Commander Mastery Level50=12930
Reward/Name/CommanderMasteryLevel60,Maestría de comandante - Nivel 60 /// Commander Mastery Level60=12931
Reward/Name/CommanderMasteryLevel70,Maestría de comandante - Nivel 70 /// Commander Mastery Level70=12932
Reward/Name/CommanderMasteryLevel80,Maestría de comandante - Nivel 80 /// Commander Mastery Level80=12933
Reward/Name/CommanderMasteryLevel90,Maestría de comandante - Nivel 90 /// Commander Mastery Level90=12934
Reward/Name/CommanderMengskCommanderMengsk_Portrait,Mengsk=12935
Reward/Name/CommanderMutatorBounty10,Comandante - Mutador - Recompensa 10 /// Commander Mutator Bounty10=12936
Reward/Name/CommanderMutatorBounty100,Comandante - Mutador - Recompensa 100 /// Commander Mutator Bounty100=12937
Reward/Name/CommanderMutatorBounty15,Comandante - Mutador - Recompensa 15 /// Commander Mutator Bounty15=12938
Reward/Name/CommanderMutatorBounty150,Comandante - Mutador - Recompensa 150 /// Commander Mutator Bounty150=12939
Reward/Name/CommanderMutatorBounty20,Comandante - Mutador - Recompensa 20 /// Commander Mutator Bounty20=12940
Reward/Name/CommanderMutatorBounty200,Comandante - Mutador - Recompensa 200 /// Commander Mutator Bounty200=12941
Reward/Name/CommanderMutatorBounty25,Comandante - Mutador - Recompensa 25 /// Commander Mutator Bounty25=12942
Reward/Name/CommanderMutatorBounty3,Comandante - Mutador - Recompensa 3 /// Commander Mutator Bounty3=12943
Reward/Name/CommanderMutatorBounty30,Comandante - Mutador - Recompensa 30 /// Commander Mutator Bounty30=12944
Reward/Name/CommanderMutatorBounty40,Comandante - Mutador - Recompensa 40 /// Commander Mutator Bounty40=12945
Reward/Name/CommanderMutatorBounty5,Comandante - Mutador - Recompensa 5 /// Commander Mutator Bounty5=12946
Reward/Name/CommanderMutatorBounty50,Comandante - Mutador - Recompensa 50 /// Commander Mutator Bounty50=12947
Reward/Name/CommanderMutatorBounty60,Comandante - Mutador - Recompensa 60 /// Commander Mutator Bounty60=12948
Reward/Name/CommanderMutatorBounty75,Comandante - Mutador - Recompensa 75 /// Commander Mutator Bounty75=12949
Reward/Name/CommanderMutatorBrutal10,Comandante - Mutador - Brutal 10 /// Commander Mutator Brutal10=12950
Reward/Name/CommanderMutatorBrutal100,Comandante - Mutador - Brutal 100 /// Commander Mutator Brutal100=12951
Reward/Name/CommanderMutatorBrutal150,Comandante - Mutador - Brutal 150 /// Commander Mutator Brutal150=12952
Reward/Name/CommanderMutatorBrutal25,Comandante - Mutador - Brutal 25 /// Commander Mutator Brutal25=12953
Reward/Name/CommanderMutatorBrutal50,Comandante - Mutador - Brutal 50 /// Commander Mutator Brutal50=12954
Reward/Name/CommanderMutatorBrutal75,Comandante - Mutador - Brutal 75 /// Commander Mutator Brutal75=12955
Reward/Name/CommanderMutatorCasual10,Comandante - Mutador - Casual 10 /// Commander Mutator Casual10=12956
Reward/Name/CommanderMutatorCasual100,Comandante - Mutador - Casual 100 /// Commander Mutator Casual100=12957
Reward/Name/CommanderMutatorCasual150,Comandante - Mutador - Casual 150 /// Commander Mutator Casual150=12958
Reward/Name/CommanderMutatorCasual25,Comandante - Mutador - Casual 25 /// Commander Mutator Casual25=12959
Reward/Name/CommanderMutatorCasual50,Comandante - Mutador - Casual 50 /// Commander Mutator Casual50=12960
Reward/Name/CommanderMutatorCasual75,Comandante - Mutador - Casual 75 /// Commander Mutator Casual75=12961
Reward/Name/CommanderMutatorHard10,Comandante - Mutador - Difícil 10 /// Commander Mutator Hard10=12962
Reward/Name/CommanderMutatorHard100,Comandante - Mutador - Difícil 100 /// Commander Mutator Hard100=12963
Reward/Name/CommanderMutatorHard150,Comandante - Mutador - Difícil 150 /// Commander Mutator Hard150=12964
Reward/Name/CommanderMutatorHard25,Comandante - Mutador - Difícil 25 /// Commander Mutator Hard25=12965
Reward/Name/CommanderMutatorHard50,Comandante - Mutador - Difícil 50 /// Commander Mutator Hard50=12966
Reward/Name/CommanderMutatorHard75,Comandante - Mutador - Difícil 75 /// Commander Mutator Hard75=12967
Reward/Name/CommanderMutatorNormal10,Comandante - Mutador - Normal 10 /// Commander Mutator Normal10=12968
Reward/Name/CommanderMutatorNormal100,Comandante - Mutador - Normal 100 /// Commander Mutator Normal100=12969
Reward/Name/CommanderMutatorNormal150,Comandante - Mutador - Normal 150 /// Commander Mutator Normal150=12970
Reward/Name/CommanderMutatorNormal25,Comandante - Mutador - Normal 25 /// Commander Mutator Normal25=12971
Reward/Name/CommanderMutatorNormal50,Comandante - Mutador - Normal 50 /// Commander Mutator Normal50=12972
Reward/Name/CommanderMutatorNormal75,Comandante - Mutador - Normal 75 /// Commander Mutator Normal75=12973
Reward/Name/CommanderNovaAssault,Comandante Nova - Asalto /// Commander Nova Assault=12974
Reward/Name/CommanderNovaCommanderNova,Comandante Nova - Comandante Nova /// Commander Nova Commander Nova=12975
Reward/Name/CommanderNovaCommanderNova_Portrait,Nova /// Nova=12976
Reward/Name/CommanderNovaDefensiveMatrix,Comandante Nova - Matriz defensiva /// Commander Nova Defensive Matrix=12977
Reward/Name/CommanderNovaGriffin,Comandante Nova - Grifonte /// Commander Nova Griffin=12978
Reward/Name/CommanderNovaStealth,Comandante Nova - Sigilo /// Commander Nova Stealth=12979
Reward/Name/CommanderOperationCommander,Comandante - Comandante de operaciones /// Commander Operation Commander=12980
Reward/Name/CommanderRaynor,Comandante Raynor /// Commander Raynor=12981
Reward/Name/CommanderRaynorBigBrother,Comandante Raynor - Gran hermano /// Commander Raynor Big Brother=12982
Reward/Name/CommanderRaynorCommanderRaynor,Comandante Raynor - Comandante Raynor /// Commander Raynor Commander Raynor=12983
Reward/Name/CommanderRaynorCommanderRaynor_Portrait,Raynor /// Raynor=12984
Reward/Name/CommanderRaynorHyperionAlert,Comandante Raynor - Alerta, Hiperión /// Commander Raynor Hyperion Alert=12985
Reward/Name/CommanderRaynorMedic,Comandante Raynor - Médico /// Commander Raynor Medic=12986
Reward/Name/CommanderRaynorTheThunder,Comandante Raynor - El trueno /// Commander Raynor The Thunder=12987
Reward/Name/CommanderRecruitXPBonus100,Comandante - Recluta - PE adicionales 100 /// Commander Recruit XPBonus100=12988
Reward/Name/CommanderRecruitXPBonus25,Comandante - Recluta - PE adicionales 25 /// Commander Recruit XPBonus25=12989
Reward/Name/CommanderRecruitXPBonus50,Comandante - Recluta - PE adicionales 50 /// Commander Recruit XPBonus50=12990
Reward/Name/CommanderSoldierXPBonus100,Comandante - Soldado - PE adicionales 100 /// Commander Soldier XPBonus100=12991
Reward/Name/CommanderSoldierXPBonus25,Comandante - Soldado - PE adicionales 25 /// Commander Soldier XPBonus25=12992
Reward/Name/CommanderSoldierXPBonus50,Comandante - Soldado - PE adicionales 50 /// Commander Soldier XPBonus50=12993
Reward/Name/CommanderStetmannCommanderStetmann_Portrait,Stetmann /// Stetmann=12994
Reward/Name/CommanderStukovAleksander,Comandante Stukov - Aleksander /// Commander Stukov Aleksander=12995
Reward/Name/CommanderStukovApocolisk,Comandante Stukov - Apocalisco /// Commander Stukov Apocolisk=12996
Reward/Name/CommanderStukovBroodlings,Comandante Stukov - Ácaros /// Commander Stukov Broodlings=12997
Reward/Name/CommanderStukovCommanderStukov,Comandante Stukov - Comandante Stukov /// Commander Stukov Commander Stukov=12998
Reward/Name/CommanderStukovCommanderStukov_Portrait,Stukov /// Stukov=12999
Reward/Name/CommanderStukovInfestedMarines,Comandante Stukov - Marines infestados /// Commander Stukov Infested Marines=13000
Reward/Name/CommanderSwann,Comandante Swann /// Commander Swann=13001
Reward/Name/CommanderSwannBeenDrilling,Comandante Swann - ¡A taladrar se ha dicho! /// Commander Swann Been Drilling=13002
Reward/Name/CommanderSwannCombatReady,Comandante Swann - El combate es lo mío /// Commander Swann Combat Ready=13003
Reward/Name/CommanderSwannCommanderSwann,Comandante Swann - Comandante Swann /// Commander Swann Commander Swann=13004
Reward/Name/CommanderSwannCommanderSwann_Portrait,Swann /// Swann=13005
Reward/Name/CommanderSwannDeathSurprise,Comandante Swann - Sorpresa fúnebre /// Commander Swann Death Surprise=13006
Reward/Name/CommanderSwannDrillDeep,Comandante Swann - Taladro profundo /// Commander Swann Drill Deep=13007
Reward/Name/CommanderTychusCommanderTychus,Comandante Tychus - Comandante Tychus /// Commander Tychus Commander Tychus=13008
Reward/Name/CommanderTychusCommanderTychus_Portrait,Tychus /// Tychus=13009
Reward/Name/CommanderTychusHeal,Comandante Tychus - Sanar /// Commander Tychus Heal=13010
Reward/Name/CommanderTychusOdinNuke,Comandante Tychus - Odín - Misil nuclear /// Commander Tychus Odin Nuke=13011
Reward/Name/CommanderTychusUltimate,Comandante Tychus - Definitivo /// Commander Tychus Ultimate=13012
Reward/Name/CommanderTychusUltimateTime,Comandante Tychus - Definitivo - Tiempo /// Commander Tychus Ultimate Time=13013
Reward/Name/CommanderVeteranXPBonus100,Comandante - Veterano - PE adicionales 100=13014
Reward/Name/CommanderVeteranXPBonus25,Comandante - Veterano - PE adicionales 25=13015
Reward/Name/CommanderVeteranXPBonus50,Comandante - Veterano - PE adicionales 50=13016
Reward/Name/CommanderVorazun,Comandante Vorazún /// Commander Vorazun=13017
Reward/Name/CommanderVorazun1Shot15Kills,Comandante Vorazún - 1 disparo, 15 muertes /// Commander Vorazun1 Shot15 Kills=13018
Reward/Name/CommanderVorazunCommanderVorazun,Comandante Vorazún - Comandante Vorazún /// Commander Vorazun Commander Vorazun=13019
Reward/Name/CommanderVorazunCommanderVorazun_Portrait,Vorazún /// Vorazun=13020
Reward/Name/CommanderVorazunMyTurn,Comandante Vorazún - Me toca a mí /// Commander Vorazun My Turn=13021
Reward/Name/CommanderVorazunShadowGuard,Comandante Vorazún - Guardia sombría /// Commander Vorazun Shadow Guard=13022
Reward/Name/CommanderVorazunYourTurn,Comandante Vorazún - Te toca a ti /// Commander Vorazun Your Turn=13023
Reward/Name/CommanderZagara,Comandante Zagara /// Commander Zagara=13024
Reward/Name/CommanderZagaraBang,Comandante Zagara - ¡Bum! /// Commander Zagara Bang=13025
Reward/Name/CommanderZagaraCommanderZagara,Comandante Zagara - Comandante Zagara /// Commander Zagara Commander Zagara=13026
Reward/Name/CommanderZagaraCommanderZagara_Portrait,Zagara /// Zagara=13027
Reward/Name/CommanderZagaraFrenzy4Everyone,Comandante Zagara - Frenesí para todos /// Commander Zagara Frenzy4 Everyone=13028
Reward/Name/CommanderZagaraQueenofDestruction,Comandante Zagara - Reina de la destrucción /// Commander Zagara Queenof Destruction=13029
Reward/Name/CommanderZagaraRoachRampage,Comandante Zagara - La era de las cucarachas /// Commander Zagara Roach Rampage=13030
Reward/Name/CommanderZeratulCommanderZeratul_Portrait,Zeratul /// Zeratul=13031
Reward/Name/Complete_Hard_Portrait_Narud,Narud /// Narud=13032
Reward/Name/Complete_Hard_Portrait_Zurvan,Zurvan /// Zurvan=13033
Reward/Name/ConsoleProtoss_Alliance,Alianza=13034
Reward/Name/ConsoleProtoss_Classic,Protoss clásica=13035
Reward/Name/ConsoleProtoss_Forged,Forjado /// Forged=13036
Reward/Name/ConsoleProtoss_Horde,Horda=13037
Reward/Name/ConsoleProtoss_Scourge,La Plaga /// Scourge=13038
Reward/Name/ConsoleProtoss_Sentinels,Centinelas=13039
Reward/Name/ConsoleProtoss_XelNaga,Celebración galáctica /// Galactic Celebration=13040
Reward/Name/ConsoleSkinDefault,ConsoleSkinDefault /// ConsoleSkinDefault=13041
Reward/Name/ConsoleSkinProtossDefault,ConsoleSkinProtossDefault /// ConsoleSkinProtossDefault=13042
Reward/Name/ConsoleSkinTerranDefault,ConsoleSkinTerranDefault /// ConsoleSkinTerranDefault=13043
Reward/Name/ConsoleSkinZergDefault,ConsoleSkinZergDefault /// ConsoleSkinZergDefault=13044
Reward/Name/ConsoleTerran_Alliance,Alianza=13045
Reward/Name/ConsoleTerran_Classic,Terran clásica=13046
Reward/Name/ConsoleTerran_CovertOps,Fuerza Especial /// Special Force=13047
Reward/Name/ConsoleTerran_Horde,Horda=13048
Reward/Name/ConsoleTerran_Scourge,La Plaga /// Scourge=13049
Reward/Name/ConsoleTerran_Sentinels,Centinelas=13050
Reward/Name/ConsoleTerran_XelNaga,Celebración galáctica /// Galactic Celebration=13051
Reward/Name/ConsoleZerg_Alliance,Alianza=13052
Reward/Name/ConsoleZerg_Classic,Zerg clásica=13053
Reward/Name/ConsoleZerg_Horde,Horda=13054
Reward/Name/ConsoleZerg_Mecha,Réplica /// Simulant=13055
Reward/Name/ConsoleZerg_Scourge,La Plaga /// Scourge=13056
Reward/Name/ConsoleZerg_Sentinels,Centinelas=13057
Reward/Name/ConsoleZerg_XelNaga,Celebración galáctica /// Galactic Celebration=13058
Reward/Name/CoopAbathurLevel10,Cooperativo - Abathur - Nivel 10 /// Coop Abathur Level10=13059
Reward/Name/CoopAbathurLevel15,Cooperativo - Abathur - Nivel 15 /// Coop Abathur Level15=13060
Reward/Name/CoopAbathurLevel5,Cooperativo - Abathur - Nivel 5 /// Coop Abathur Level5=13061
Reward/Name/CoopAlarakLevel10,Cooperativo - Alarak - Nivel 10 /// Coop Alarak Level10=13062
Reward/Name/CoopAlarakLevel15,Cooperativo - Alarak - Nivel 15 /// Coop Alarak Level15=13063
Reward/Name/CoopAlarakLevel5,Cooperativo - Alarak - Nivel 5 /// Coop Alarak Level5=13064
Reward/Name/CoopArtanisLevel10,Cooperativo - Artanis - Nivel 10 /// Coop Artanis Level10=13065
Reward/Name/CoopArtanisLevel15,Cooperativo - Artanis - Nivel 15 /// Coop Artanis Level15=13066
Reward/Name/CoopArtanisLevel5,Cooperativo - Artanis - Nivel 5 /// Coop Artanis Level5=13067
Reward/Name/CoopCommanderDifficultyBrutal10,Cooperativo - Comandante - Dificultad - Brutal 10 /// Coop Commander Difficulty Brutal10=13068
Reward/Name/CoopCommanderDifficultyBrutal100,Cooperativo - Comandante - Dificultad - Brutal 100 /// Coop Commander Difficulty Brutal100=13069
Reward/Name/CoopCommanderDifficultyBrutal150,Cooperativo - Comandante - Dificultad - Brutal 150 /// Coop Commander Difficulty Brutal150=13070
Reward/Name/CoopCommanderDifficultyBrutal25,Cooperativo - Comandante - Dificultad - Brutal 25 /// Coop Commander Difficulty Brutal25=13071
Reward/Name/CoopCommanderDifficultyBrutal300,Cooperativo - Comandante - Dificultad - Brutal 300 /// Coop Commander Difficulty Brutal300=13072
Reward/Name/CoopCommanderDifficultyBrutal50,Cooperativo - Comandante - Dificultad - Brutal 50 /// Coop Commander Difficulty Brutal50=13073
Reward/Name/CoopCommanderDifficultyBrutal500,Cooperativo - Comandante - Dificultad - Brutal 500 /// Coop Commander Difficulty Brutal500=13074
Reward/Name/CoopCommanderDifficultyBrutal75,Cooperativo - Comandante - Dificultad - Brutal 75 /// Coop Commander Difficulty Brutal75=13075
Reward/Name/CoopCommanderDifficultyCasual10,Cooperativo - Comandante - Dificultad - Brutal 10 /// Coop Commander Difficulty Casual10=13076
Reward/Name/CoopCommanderDifficultyCasual100,Cooperativo - Comandante - Dificultad - Brutal 100 /// Coop Commander Difficulty Casual100=13077
Reward/Name/CoopCommanderDifficultyCasual150,Cooperativo - Comandante - Dificultad - Brutal 150 /// Coop Commander Difficulty Casual150=13078
Reward/Name/CoopCommanderDifficultyCasual25,Cooperativo - Comandante - Dificultad - Casual 25 /// Coop Commander Difficulty Casual25=13079
Reward/Name/CoopCommanderDifficultyCasual300,Cooperativo - Comandante - Dificultad - Casual 300 /// Coop Commander Difficulty Casual300=13080
Reward/Name/CoopCommanderDifficultyCasual50,Cooperativo - Comandante - Dificultad - Casual 50 /// Coop Commander Difficulty Casual50=13081
Reward/Name/CoopCommanderDifficultyCasual500,Cooperativo - Comandante - Dificultad - Casual 500 /// Coop Commander Difficulty Casual500=13082
Reward/Name/CoopCommanderDifficultyCasual75,Cooperativo - Comandante - Dificultad - Casual 75 /// Coop Commander Difficulty Casual75=13083
Reward/Name/CoopCommanderDifficultyHard10,Cooperativo - Comandante - Dificultad - Difícil 10 /// Coop Commander Difficulty Hard10=13084
Reward/Name/CoopCommanderDifficultyHard100,Cooperativo - Comandante - Dificultad - Difícil 100 /// Coop Commander Difficulty Hard100=13085
Reward/Name/CoopCommanderDifficultyHard150,Cooperativo - Comandante - Dificultad - Difícil 150 /// Coop Commander Difficulty Hard150=13086
Reward/Name/CoopCommanderDifficultyHard25,Cooperativo - Comandante - Dificultad - Difícil 25 /// Coop Commander Difficulty Hard25=13087
Reward/Name/CoopCommanderDifficultyHard300,Cooperativo - Comandante - Dificultad - Difícil 300 /// Coop Commander Difficulty Hard300=13088
Reward/Name/CoopCommanderDifficultyHard50,Cooperativo - Comandante - Dificultad - Difícil 50 /// Coop Commander Difficulty Hard50=13089
Reward/Name/CoopCommanderDifficultyHard500,Cooperativo - Comandante - Dificultad - Difícil 500 /// Coop Commander Difficulty Hard500=13090
Reward/Name/CoopCommanderDifficultyHard75,Cooperativo - Comandante - Dificultad - Difícil 75 /// Coop Commander Difficulty Hard75=13091
Reward/Name/CoopCommanderDifficultyNormal10,Cooperativo - Comandante - Dificultad - Normal 10 /// Coop Commander Difficulty Normal10=13092
Reward/Name/CoopCommanderDifficultyNormal100,Cooperativo - Comandante - Dificultad - Normal 100 /// Coop Commander Difficulty Normal100=13093
Reward/Name/CoopCommanderDifficultyNormal150,Cooperativo - Comandante - Dificultad - Normal 150 /// Coop Commander Difficulty Normal150=13094
Reward/Name/CoopCommanderDifficultyNormal25,Cooperativo - Comandante - Dificultad - Normal 25 /// Coop Commander Difficulty Normal25=13095
Reward/Name/CoopCommanderDifficultyNormal300,Cooperativo - Comandante - Dificultad - Normal 300 /// Coop Commander Difficulty Normal300=13096
Reward/Name/CoopCommanderDifficultyNormal50,Cooperativo - Comandante - Dificultad - Normal 50 /// Coop Commander Difficulty Normal50=13097
Reward/Name/CoopCommanderDifficultyNormal500,Cooperativo - Comandante - Dificultad - Normal 500 /// Coop Commander Difficulty Normal500=13098
Reward/Name/CoopCommanderDifficultyNormal75,Cooperativo - Comandante - Dificultad - Normal 75 /// Coop Commander Difficulty Normal75=13099
Reward/Name/CoopCommanderLevelUp10_Portrait,Artanis /// Artanis=13100
Reward/Name/CoopCommanderLevelUp5_Portrait,Zagara /// Zagara=13101
Reward/Name/CoopCommanderLevelUp_Portrait,Vorazún /// Vorazun=13102
Reward/Name/CoopDehakaLevel10,Cooperativo - Dehaka - Nivel 10 /// Coop Dehaka Level10=13103
Reward/Name/CoopDehakaLevel15,Cooperativo - Dehaka - Nivel 15 /// Coop Dehaka Level15=13104
Reward/Name/CoopDehakaLevel5,Cooperativo - Dehaka - Nivel 5 /// Coop Dehaka Level5=13105
Reward/Name/CoopFenixLevel10,Cooperativo - Fénix - Nivel 10 /// Coop Fenix Level10=13106
Reward/Name/CoopFenixLevel15,Cooperativo - Fénix - Nivel 15 /// Coop Fenix Level15=13107
Reward/Name/CoopFenixLevel5,Cooperativo - Fénix - Nivel 5 /// Coop Fenix Level5=13108
Reward/Name/CoopHornerLevel10,Cooperativo - Horner nivel 10 /// Coop Horner Level10=13109
Reward/Name/CoopHornerLevel15,Cooperativo - Horner nivel 15 /// Coop Horner Level15=13110
Reward/Name/CoopHornerLevel5,Cooperativo - Horner nivel 5 /// Coop Horner Level5=13111
Reward/Name/CoopKaraxLevel10,Cooperativo - Karax - Nivel 10 /// Coop Karax Level10=13112
Reward/Name/CoopKaraxLevel15,Cooperativo - Karax - Nivel 15 /// Coop Karax Level15=13113
Reward/Name/CoopKaraxLevel5,Cooperativo - Karax - Nivel 5 /// Coop Karax Level5=13114
Reward/Name/CoopKerriganLevel10,Cooperativo - Kerrigan - Nivel 10 /// Coop Kerrigan Level10=13115
Reward/Name/CoopKerriganLevel15,Cooperativo - Kerrigan - Nivel 15 /// Coop Kerrigan Level15=13116
Reward/Name/CoopKerriganLevel5,Cooperativo - Kerrigan - Nivel 5 /// Coop Kerrigan Level5=13117
Reward/Name/CoopNovaLevel10,Cooperativo - Nova - Nivel 10 /// Coop Nova Level10=13118
Reward/Name/CoopNovaLevel15,Cooperativo - Nova - Nivel 15 /// Coop Nova Level15=13119
Reward/Name/CoopNovaLevel5,Cooperativo - Nova - Nivel 5 /// Coop Nova Level5=13120
Reward/Name/CoopPlayDifficultyBrutal,Juego cooperativo - Dificultad - Brutal /// Coop Play Difficulty Brutal=13121
Reward/Name/CoopPlayDifficultyCasual,Juego cooperativo - Dificultad - Casual /// Coop Play Difficulty Casual=13122
Reward/Name/CoopPlayDifficultyHard,Juego cooperativo - Dificultad - Difícil /// Coop Play Difficulty Hard=13123
Reward/Name/CoopPlayDifficultyNormal,Juego cooperativo - Dificultad - Normal /// Coop Play Difficulty Normal=13124
Reward/Name/CoopRaynorLevel10,Cooperativo - Raynor - Nivel 10 /// Coop Raynor Level10=13125
Reward/Name/CoopRaynorLevel15,Cooperativo - Raynor - Nivel 15 /// Coop Raynor Level15=13126
Reward/Name/CoopRaynorLevel5,Cooperativo - Raynor - Nivel 5 /// Coop Raynor Level5=13127
Reward/Name/CoopStukovLevel10,Cooperativo - Stukov - Nivel 10 /// Coop Stukov Level10=13128
Reward/Name/CoopStukovLevel15,Cooperativo - Stukov - Nivel 15 /// Coop Stukov Level15=13129
Reward/Name/CoopStukovLevel5,Cooperativo - Stukov - Nivel 5 /// Coop Stukov Level5=13130
Reward/Name/CoopSwannLevel10,Cooperativo - Swann - Nivel 10 /// Coop Swann Level10=13131
Reward/Name/CoopSwannLevel15,Cooperativo - Swann - Nivel 15 /// Coop Swann Level15=13132
Reward/Name/CoopSwannLevel5,Cooperativo - Swann - Nivel 5 /// Coop Swann Level5=13133
Reward/Name/CoopTychusLevel10,Cooperativo - Tychus - Nivel 10 /// Coop Tychus Level10=13134
Reward/Name/CoopTychusLevel15,Cooperativo - Tychus - Nivel 15 /// Coop Tychus Level15=13135
Reward/Name/CoopTychusLevel5,Cooperativo - Tychus - Nivel 5 /// Coop Tychus Level5=13136
Reward/Name/CoopVorazunLevel10,Cooperativo - Vorazún - Nivel 10 /// Coop Vorazun Level10=13137
Reward/Name/CoopVorazunLevel15,Cooperativo - Vorazún - Nivel 15 /// Coop Vorazun Level15=13138
Reward/Name/CoopVorazunLevel5,Cooperativo - Vorazún - Nivel 5 /// Coop Vorazun Level5=13139
Reward/Name/CoopZagaraLevel10,Cooperativo - Zagara - Nivel 10 /// Coop Zagara Level10=13140
Reward/Name/CoopZagaraLevel15,Cooperativo - Zagara - Nivel 15 /// Coop Zagara Level15=13141
