AUTHENTICATION_BETA_REGION,内测或公测 /// Beta=0
Reward/Name/Portrait_BackToSchool_Terran,极客雷诺 /// Geek Raynor=14504
Reward/Name/Portrait_BackToSchool_Zerg,啦啦队长凯瑞甘 /// Cheerleader Kerrigan=14505
Reward/Name/Portrait_BaseTradeTV,BaseTradeTV /// BaseTradeTV=14506
Reward/Name/Portrait_BaseTradeTV_Maynarde,BaseTradeTV Maynarde /// BaseTradeTV Maynarde=14507
Reward/Name/Portrait_BaseTradeTV_Rifkin,BaseTradeTV Rifkin /// BaseTradeTV Rifkin=14508
Reward/Name/Portrait_BaseTradeTV_Wardi,BaseTradeTV Wardi /// BaseTradeTV Wardi=14509
Reward/Name/Portrait_BaseTradeTV_Zombiegrub,BaseTradeTV ZombieGrub /// BaseTradeTV ZombieGrub=14510
Reward/Name/Portrait_BlizzCon2019_Battlecruiser,经典战列巡航舰 /// Classic Battlecruiser=14511
Reward/Name/Portrait_BlizzCon2019_Carrier,经典航母 /// Classic Carrier=14512
Reward/Name/Portrait_BlizzCon2019_Ultralisk,经典雷兽 /// Classic Ultralisk=14513
Reward/Name/Portrait_BlizzCon_2010_MurlocMarine,鱼人陆战队员 /// Murloc Marine=14514
Reward/Name/Portrait_BlizzCon_2011,熊猫泰伦陆战队员 /// PanTerran Marine=14515
Reward/Name/Portrait_BlizzCon_2013_TearinStitches,缝合怪陆战队员 /// Tearin' Stitches=14516
Reward/Name/Portrait_BlizzCon_2014_Artanis,大主教阿塔尼斯 /// Hierarch Artanis=14517
Reward/Name/Portrait_BlizzCon_2014_Vorazun,族长沃拉尊 /// Matriarch Vorazun=14518
Reward/Name/Portrait_BlizzCon_2015_SpearofAdun,亚顿之矛 /// Spear of Adun=14519
Reward/Name/Portrait_BlizzCon_2015_XelNaga,萨尔纳加 /// Xel'Naga=14520
Reward/Name/Portrait_BlizzCon_2016_DVa,D.Va /// D.Va=14521
Reward/Name/Portrait_BlizzCon_2018_Chimera,奇美拉陆战队员=14522
Reward/Name/Portrait_BlizzCon_2018_HeroesAlarak,阿拉纳克 /// Alarak=14523
Reward/Name/Portrait_BlizzCon_2018_TwitchDrop,詹姆斯“天狼星”赛克斯 /// James "Sirius" Sykes=14524
Reward/Name/Portrait_BlizzCon_2021_blackthorne,黑色荆棘=14525
Reward/Name/Portrait_BlizzCon_2021_diablo,暗黑破坏神=14526
Reward/Name/Portrait_BlizzCon_2021_jakebadlands,杰克·荒地=14527
Reward/Name/Portrait_BlizzCon_2021_lostvikings,失落的维京人=14528
Reward/Name/Portrait_BlizzCon_2021_nova,诺娃=14529
Reward/Name/Portrait_BlizzCon_2021_qhira2,琪拉=14530
Reward/Name/Portrait_BlizzCon_2021_thrall,萨尔=14531
Reward/Name/Portrait_CE_D3_TyraelMarine,泰瑞尔陆战队员 /// Tyrael Marine=14532
Reward/Name/Portrait_CE_D3_WitchDoctorZergling,巫医跳虫 /// Witch Doctor Zergling=14533
Reward/Name/Portrait_CE_D3_WizardTemplar,魔法师圣堂武士 /// Wizard Templar=14534
Reward/Name/Portrait_CE_DiabloMarine,暗黑破坏神陆战队员 /// Diablo Marine=14535
Reward/Name/Portrait_CE_GoblinMarine,地精陆战队员 /// Goblin Marine=14536
Reward/Name/Portrait_CE_MOP_InfestedOrc,异化兽人 /// Infested Orc=14537
Reward/Name/Portrait_CE_MOP_NightElfTemplar,暗夜圣堂 /// Night Elf Templar=14538
Reward/Name/Portrait_CE_MurlocMarine,鱼人陆战队员 /// Murloc Marine=14539
Reward/Name/Portrait_CE_Narud,纳鲁德 /// Narud=14540
Reward/Name/Portrait_CE_NightElfBanshee,暗影精灵女妖 /// Night Elf Banshee=14541
Reward/Name/Portrait_CE_PurifierZealot,净化者狂热者 /// Purifier Zealot=14542
Reward/Name/Portrait_CE_RaynorMarine,雷诺陆战队员 /// Raynor Marine=14543
Reward/Name/Portrait_CE_TaurenMarine,牛头人陆战队员 /// Tauren Marine=14544
Reward/Name/Portrait_CE_VoidThrasher,虚空撕裂者 /// Void Thrasher=14545
Reward/Name/Portrait_CE_WorgenMarine,狼人陆战队员 /// Worgen Marine=14546
Reward/Name/Portrait_CN_Dragon,祥龙 /// Dragon=14547
Reward/Name/Portrait_CN_Lion,雄狮陆战队员 /// Lion =14548
Reward/Name/Portrait_CN_OperaMask,脸谱陆战队员 /// Opera Mask=14549
Reward/Name/Portrait_CarbotExecutor,爆笑星际执行官 /// Carbot Executor=14550
Reward/Name/Portrait_CarbotGhost,爆笑星际幽灵 /// Carbot Ghost=14551
Reward/Name/Portrait_CarbotHighTemplar,爆笑星际高阶圣堂武士 /// Carbot High Templar=14552
Reward/Name/Portrait_CarbotHydralisk,爆笑星际刺蛇 /// Carbot Hydralisk=14553
Reward/Name/Portrait_CarbotInfestor,爆笑星际感染者 /// Carbot Infestor=14554
Reward/Name/Portrait_CarbotMarauder,爆笑星际劫掠者 /// Carbot Marauder=14555
Reward/Name/Portrait_CarbotOverlord,爆笑星际王虫 /// Carbot Overlord=14556
Reward/Name/Portrait_CarbotPylon,爆笑星际水晶塔 /// Carbot Pylon=14557
Reward/Name/Portrait_CarbotReaper,爆笑星际收割者 /// Carbot Reaper=14558
Reward/Name/Portrait_CasterInvitational2018_Alex007,Alex007 /// Alex007=14559
Reward/Name/Portrait_CasterInvitational2018_EleMenTfiNi,EleMenTfiNi /// EleMenTfiNi=14560
Reward/Name/Portrait_CasterInvitational2018_Emil,Emil /// Emil=14561
Reward/Name/Portrait_CasterInvitational2018_FearDragon,feardragon /// feardragon=14562
Reward/Name/Portrait_CasterInvitational2018_FunKa,FunKa /// FunKa=14563
Reward/Name/Portrait_CasterInvitational2018_Harstem,Harstem /// Harstem=14564
Reward/Name/Portrait_CasterInvitational2018_Indy,Indy /// Indy=14565
Reward/Name/Portrait_CasterInvitational2018_JimRising,JimRising /// JimRising=14566
Reward/Name/Portrait_CasterInvitational2018_Lowko,Lowko /// Lowko=14567
Reward/Name/Portrait_CasterInvitational2018_Maynarde,Maynarde /// Maynarde=14568
Reward/Name/Portrait_CasterInvitational2018_Nathanias,Nathanias /// Nathanias=14569
Reward/Name/Portrait_CasterInvitational2018_PiG,PiG /// PiG=14570
Reward/Name/Portrait_CasterInvitational2018_RotterdaM,RotterdaM /// RotterdaM=14571
Reward/Name/Portrait_CasterInvitational2018_ToD,ToD /// ToD=14572
Reward/Name/Portrait_CasterInvitational2018_Wardi,Wardi /// Wardi=14573
Reward/Name/Portrait_CasterInvitational2018_YoGo,YoGo /// YoGo=14574
Reward/Name/Portrait_CasterInvitational2018_ZombieGrub,ZombieGrub /// ZombieGrub=14575
Reward/Name/Portrait_CasterInvitational2018_iNcontroL,iNcontroL /// iNcontroL=14576
Reward/Name/Portrait_CommunityContributor2015_Portrait1,社区指挥官 /// Community Commander=14577
Reward/Name/Portrait_D3ROS_CE_CrusaderProtoss,圣教军狂热者 /// Crusader Zealot=14578
Reward/Name/Portrait_D3ROS_CE_CrusaderTerran,圣教军陆战队员 /// Crusader Marine=14579
Reward/Name/Portrait_D3ROS_CE_CrusaderZerg,圣教军女王 /// Crusader of Blades=14580
Reward/Name/Portrait_Default_00,卡琴斯基 /// Kachinsky=14581
Reward/Name/Portrait_Default_01,凯德 /// Cade=14582
Reward/Name/Portrait_Default_02,撒切尔 /// Thatcher=14583
Reward/Name/Portrait_Default_03,豪尔 /// Hall=14584
Reward/Name/Portrait_EarlyAdopter_Portrait1,净化者先驱 /// Early Adopter Purifier=14585
Reward/Name/Portrait_EarlyAdopter_Portrait2,圣堂武士先驱 /// Early Adopter Templar=14586
Reward/Name/Portrait_EarlyAdopter_Portrait3,奈拉齐姆先驱 /// Early Adopter Nerazim=14587
Reward/Name/Portrait_EarlyAdopter_Portrait4,塔达林先驱 /// Early Adopter Tal'darim=14588
Reward/Name/Portrait_EggHunt2017_Protoss,星灵找蛋 /// Egg Hunt Protoss=14589
Reward/Name/Portrait_EggHunt2017_Terran,人类找蛋 /// Egg Hunt Terran=14590
Reward/Name/Portrait_EggHunt2017_Zerg,异虫找蛋 /// Egg Hunt Zerg=14591
Reward/Name/Portrait_Guest_00,食腐鸟 /// Carrion Bird=14592
Reward/Name/Portrait_Guest_01,异犬 /// Lyote=14593
Reward/Name/Portrait_Guest_02,多功能机器人 /// Utility Bot=14594
Reward/Name/Portrait_HOTS_CE_BansheeQueen,女妖之王 /// Banshee Queen=14595
Reward/Name/Portrait_HOTS_CE_InfestedPanTerran,感染熊猫 /// Infested PanTerran=14596
Reward/Name/Portrait_HOTS_CE_OverlordOfTerror,恐惧王虫 /// Overlord of Terror=14597
Reward/Name/Portrait_HomeStoryCupXX,HomeStory Cup XX /// HomeStory Cup XX=14598
Reward/Name/Portrait_HomeStoryCupXX_Take,HomeStory Cup XX: TaKe /// HomeStory Cup XX: TaKe=14599
Reward/Name/Portrait_IEMKatowice2019,2019卡托维兹奖杯=14600
Reward/Name/Portrait_IEM_2021_reynor,2021 IEM冠军Reynor =14601
Reward/Name/Portrait_KR_Promo_00,雷诺陆战队员 /// Raynor Marine=14602
Reward/Name/Portrait_KR_Promo_01,暗影精灵女妖 /// Night Elf Banshee=14603
Reward/Name/Portrait_KR_Promo_02,牛头人陆战队员 /// Tauren Marine=14604
Reward/Name/Portrait_KR_Promo_03,暗黑破坏神陆战队员 /// Diablo Marine=14605
Reward/Name/Portrait_KR_Promo_04,地精陆战队员 /// Goblin Marine=14606
Reward/Name/Portrait_KR_Promo_05,狼人陆战队员 /// Worgen Marine=14607
Reward/Name/Portrait_Ladder,梯子 /// Ladder=14608
Reward/Name/Portrait_MatchUp,旗鼓相当 /// Match Up=14609
Reward/Name/Portrait_NationWars_Australia,Nation Wars澳大利亚 /// Nation Wars Australia=14610
Reward/Name/Portrait_NationWars_Austria,Nation Wars奥地利 /// Nation Wars Austria=14611
Reward/Name/Portrait_NationWars_Belgium,Nation Wars比利时 /// Nation Wars Belgium=14612
Reward/Name/Portrait_NationWars_Bolivia,Nation Wars玻利维亚 /// Nation Wars Bolivia=14613
Reward/Name/Portrait_NationWars_Brazil,Nation Wars巴西 /// Nation Wars Brazil=14614
Reward/Name/Portrait_NationWars_Bulgaria,Nation Wars保加利亚 /// Nation Wars Bulgaria=14615
Reward/Name/Portrait_NationWars_Canada,Nation Wars加拿大 /// Nation Wars Canada=14616
Reward/Name/Portrait_NationWars_Chile,Nation Wars智利 /// Nation Wars Chile=14617
Reward/Name/Portrait_NationWars_China,Nation Wars中国 /// Nation Wars China=14618
Reward/Name/Portrait_NationWars_ChineseTaipei,Nation Wars中国台北 /// Nation Wars Chinese Taipei=14619
Reward/Name/Portrait_NationWars_Croatia,Nation Wars克罗地亚 /// Nation Wars Croatia=14620
Reward/Name/Portrait_NationWars_CzechRepublic,Nation Wars捷克共和国 /// Nation Wars Czech Republic=14621
Reward/Name/Portrait_NationWars_Denmark,Nation Wars丹麦 /// Nation Wars Denmark=14622
Reward/Name/Portrait_NationWars_Finland,Nation Wars芬兰 /// Nation Wars Finland=14623
Reward/Name/Portrait_NationWars_France,Nation Wars法国 /// Nation Wars France=14624
Reward/Name/Portrait_NationWars_Germany,Nation Wars德国 /// Nation Wars Germany=14625
Reward/Name/Portrait_NationWars_Hungary,Nation Wars匈牙利 /// Nation Wars Hungary=14626
Reward/Name/Portrait_NationWars_Italy,Nation Wars意大利 /// Nation Wars Italy=14627
Reward/Name/Portrait_NationWars_Mexico,Nation Wars墨西哥 /// Nation Wars Mexico=14628
Reward/Name/Portrait_NationWars_NW6,Nation Wars VI /// Nation Wars VI=14629
Reward/Name/Portrait_NationWars_NW6_Brazil,Nation Wars巴西 /// Nation Wars Brazil=14630
Reward/Name/Portrait_NationWars_NW6_Canada,Nation Wars加拿大 /// Nation Wars Canada=14631
Reward/Name/Portrait_NationWars_NW6_China,Nation Wars中国 /// Nation Wars China=14632
Reward/Name/Portrait_NationWars_NW6_ChineseTaipei,Nation Wars中国台北 /// Nation Wars Chinese Taipei=14633
Reward/Name/Portrait_NationWars_NW6_Croatia,Nation Wars克罗地亚 /// Nation Wars Croatia=14634
Reward/Name/Portrait_NationWars_NW6_Finland,Nation Wars芬兰 /// Nation Wars Finland=14635
Reward/Name/Portrait_NationWars_NW6_France,Nation Wars法国 /// Nation Wars France=14636
Reward/Name/Portrait_NationWars_NW6_Germany,Nation Wars德国 /// Nation Wars Germany=14637
Reward/Name/Portrait_NationWars_NW6_Italy,Nation Wars意大利 /// Nation Wars Italy=14638
Reward/Name/Portrait_NationWars_NW6_Mexico,Nation Wars墨西哥 /// Nation Wars Mexico=14639
Reward/Name/Portrait_NationWars_NW6_Netherlands,Nation Wars荷兰 /// Nation Wars Netherlands=14640
Reward/Name/Portrait_NationWars_NW6_Poland,Nation Wars波兰 /// Nation Wars Poland=14641
Reward/Name/Portrait_NationWars_NW6_Russia,Nation Wars俄罗斯 /// Nation Wars Russia=14642
Reward/Name/Portrait_NationWars_NW6_SouthKorea,Nation Wars韩国 /// Nation Wars South Korea=14643
Reward/Name/Portrait_NationWars_NW6_Ukraine,Nation Wars乌克兰 /// Nation Wars Ukraine=14644
Reward/Name/Portrait_NationWars_NW6_UnitedStates,Nation Wars美国 /// Nation Wars United States=14645
Reward/Name/Portrait_NationWars_Netherlands,Nation Wars荷兰 /// Nation Wars Netherlands=14646
Reward/Name/Portrait_NationWars_Norway,Nation Wars挪威 /// Nation Wars Norway=14647
Reward/Name/Portrait_NationWars_Peru,Nation Wars秘鲁 /// Nation Wars Peru=14648
Reward/Name/Portrait_NationWars_Poland,Nation Wars波兰 /// Nation Wars Poland=14649
Reward/Name/Portrait_NationWars_Russia,Nation Wars俄罗斯 /// Nation Wars Russia=14650
Reward/Name/Portrait_NationWars_SouthKorea,Nation Wars韩国 /// Nation Wars South Korea=14651
Reward/Name/Portrait_NationWars_Spain,Nation Wars西班牙 /// Nation Wars Spain=14652
Reward/Name/Portrait_NationWars_Sweden,Nation Wars瑞典 /// Nation Wars Sweden=14653
Reward/Name/Portrait_NationWars_Switzerland,Nation Wars瑞士 /// Nation Wars Switzerland=14654
Reward/Name/Portrait_NationWars_Ukraine,Nation Wars乌克兰 /// Nation Wars Ukraine=14655
Reward/Name/Portrait_NationWars_UnitedKingdom,Nation Wars英国 /// Nation Wars United Kingdom=14656
Reward/Name/Portrait_NationWars_UnitedStates,Nation Wars美国 /// Nation Wars United States=14657
Reward/Name/Portrait_NationWars_Vietnam,Nation Wars越南 /// Nation Wars Vietnam=14658
Reward/Name/Portrait_NovaPack1,人类保卫者 /// Defenders of Man=14659
Reward/Name/Portrait_Nova_CovertOperative,隐秘行动 /// Covert Operative=14660
Reward/Name/Portrait_Overwatch_Bastion,堡垒 /// Bastion=14661
Reward/Name/Portrait_Overwatch_Pharah,法老之鹰 /// Pharah=14662
Reward/Name/Portrait_Overwatch_Reaper,死神 /// Reaper=14663
Reward/Name/Portrait_Overwatch_Soldier76,士兵：76 /// Soldier: 76=14664
Reward/Name/Portrait_Overwatch_Tracer,猎空 /// Tracer=14665
Reward/Name/Portrait_Overwatch_Winston,温斯顿 /// Winston=14666
Reward/Name/Portrait_PhaseSmithCommander,相位技师指挥官 /// Phase-Smith Commander=14667
Reward/Name/Portrait_PremiumArcade_ARKStar,ARK星际探索者 /// ARK Star Explorator=14668
Reward/Name/Portrait_PremiumArcade_DirectStrike,直接打击 诺娃 /// Direct Strike Nova=14669
Reward/Name/Portrait_RockTheCabinet_Portrait1,星际派对 /// Star Party=14670
Reward/Name/Portrait_RockTheCabinet_Portrait2,圣堂电视 /// Templar TV=14671
Reward/Name/Portrait_RockTheCabinet_Portrait3,终极首领战 /// Ultimate Boss Battles=14672
Reward/Name/Portrait_S116FR,2016 春季冠军赛 /// 2016 Spring Championship=14673
Reward/Name/Portrait_S116KR,2016 韩国冠军赛 /// 2016 KR Championship=14674
Reward/Name/Portrait_S116Katowice,2016 冬季冠军赛 /// 2016 Winter Championship=14675
Reward/Name/Portrait_SC2_Spawning,战友免费 /// Spawning Pool Party=14676
Reward/Name/Portrait_SCretAdmirer,星际爱好者 /// SCret Admirer=14677
Reward/Name/Portrait_SixPoolsSixYears,六周年 /// 6th Anniversary=14678
Reward/Name/Portrait_StarCraft_20thAnniversary,《星际争霸》二十年 /// 20 Years of StarCraft=14679
Reward/Name/Portrait_StarCraft_Remastered_Protoss,重制版星灵 /// Remastered Protoss=14680
Reward/Name/Portrait_StarCraft_Remastered_Terran,重制版人类 /// Remastered Terran=14681
Reward/Name/Portrait_StarCraft_Remastered_Zerg,重制版异虫 /// Remastered Zerg=14682
Reward/Name/Portrait_TeSPACollegiate,Tespa校园系列赛 /// Tespa Collegiate Series=14683
Reward/Name/Portrait_TeSPA_Protoss,Tespa泽拉图 /// Tespa Zeratul=14684
Reward/Name/Portrait_TeSPA_Terran,Tespa雷诺 /// Tespa Raynor=14685
Reward/Name/Portrait_TeSPA_Zerg,Tespa凯瑞甘 /// Tespa Kerrigan=14686
Reward/Name/Portrait_TotalBiscuitTribute_Axiom,TotalBiscuit: Axiom /// TotalBiscuit: Axiom=14687
Reward/Name/Portrait_TotalBiscuitTribute_Legend,TotalBiscuit: 传奇 /// TotalBiscuit: Legend=14688
Reward/Name/Portrait_TotalBiscuitTribute_TopHat,TotalBiscuit: Cynical Brit=14689
Reward/Name/Portrait_Twitch20th,Bob Toss /// Bob Toss=14690
Reward/Name/Portrait_TwitchPrime2019_Abathur,"Live Now"阿巴瑟=14691
Reward/Name/Portrait_TwitchPrime2019_Swann,"Live Now"斯旺=14692
Reward/Name/Portrait_TwitchPrime2019_Vorazun,"Live Now"沃拉尊=14693
Reward/Name/Portrait_WCSSubscriber_Protoss,星灵高手奖杯 /// Protoss Gosu Trophy=14694
Reward/Name/Portrait_WCSSubscriber_Terran,人类高手奖杯 /// Terran Gosu Trophy=14695
Reward/Name/Portrait_WCSSubscriber_Zerg,异虫高手奖杯 /// Zerg Gosu Trophy=14696
Reward/Name/Portrait_WCS_2016_Summer,2016 夏季冠军赛 /// 2016 Summer Championship=14697
Reward/Name/Portrait_WCS_Korea_2016_Season2_Finals,2016 韩国第2赛季冠军赛 /// 2016 KR S2 Championship=14698
Reward/Name/Portrait_WarChest1_Phase2_00,指挥官纳德丽 /// Commander Naderi=14699
Reward/Name/Portrait_WarChest1_Phase2_01,刺蛇 /// Hydralisk=14700
Reward/Name/Portrait_WarChest1_Phase2_02,尼雅德拉 /// Niadra=14701
Reward/Name/Portrait_WarChest1_Phase2_03,艾尔姆斯 /// Elms=14702
Reward/Name/Portrait_WarChest1_Phase2_04,指挥官纳德丽 /// Commander Naderi=14703
Reward/Name/Portrait_WarChest1_Phase2_05,上将尤尔兰 /// Admiral Urun=14704
Reward/Name/Portrait_WarChest1_Phase2_06,狂热者 /// Zealot=14705
Reward/Name/Portrait_WarChest1_Phase2_07,艾尔姆斯 /// Elms=14706
Reward/Name/Portrait_WarChest1_Winner_Dark,WCS Dark /// WCS Dark=14707
Reward/Name/Portrait_WarChest1_Winner_Elazer,WCS Elazer /// WCS Elazer=14708
Reward/Name/Portrait_WarChest1_Winner_Gumiho,WCS GuMiho /// WCS GuMiho=14709
Reward/Name/Portrait_WarChest1_Winner_Hero,WCS herO /// WCS herO=14710
Reward/Name/Portrait_WarChest1_Winner_Innovation,WCS INnoVation /// WCS INnoVation=14711
Reward/Name/Portrait_WarChest1_Winner_Kelazhur,WCS Kelazhur /// WCS Kelazhur=14712
Reward/Name/Portrait_WarChest1_Winner_Neeb1,WCS Neeb /// WCS Neeb=14713
Reward/Name/Portrait_WarChest1_Winner_Neeb2,WCS Neeb /// WCS Neeb=14714
Reward/Name/Portrait_WarChest1_Winner_Neeb3,WCS Neeb /// WCS Neeb=14715
Reward/Name/Portrait_WarChest1_Winner_Nerchio,WCS Nerchio /// WCS Nerchio=14716
Reward/Name/Portrait_WarChest1_Winner_Rogue,WCS Rogue /// WCS Rogue=14717
Reward/Name/Portrait_WarChest1_Winner_Serral,WCS Serral /// WCS Serral=14718
Reward/Name/Portrait_WarChest1_Winner_Snute,WCS Snute /// WCS Snute=14719
Reward/Name/Portrait_WarChest1_Winner_Soo,WCS soO /// WCS soO=14720
Reward/Name/Portrait_WarChest1_Winner_Special,WCS SpeCial /// WCS SpeCial=14721
Reward/Name/Portrait_WarChest1_Winner_Stats,WCS Stats /// WCS Stats=14722
Reward/Name/Portrait_WarChest1_Winner_True,WCS TRUE /// WCS TRUE=14723
Reward/Name/Portrait_WarChest1_Winner_Ty,WCS TY /// WCS TY=14724
Reward/Name/Portrait_WarChest2_Phase3_00,艾尔姆斯 /// Elms=14725
Reward/Name/Portrait_WarChest2_Phase3_01,瓦伦里安 /// Valerian=14726
Reward/Name/Portrait_WarChest2_Phase3_02,阿塔尼斯 /// Artanis=14727
Reward/Name/Portrait_WarChest2_Phase3_03,执政官 /// Archon=14728
Reward/Name/Portrait_WarChest2_Phase3_04,尤尔兰 /// Urun=14729
Reward/Name/Portrait_WarChest2_Phase3_05,尼雅德拉 /// Niadra=14730
Reward/Name/Portrait_WarChest2_Phase3_06,蟑螂 /// Roach=14731
Reward/Name/Portrait_WarChest2_Phase3_07,跳虫 /// Zergling=14732
Reward/Name/Portrait_WarChest3_Champion,2018WCS冠军Serral /// 2018 WCS Champion Serral=14733
Reward/Name/Portrait_WarChest3_Comics_00,艾尔姆斯 /// Elms=14734
Reward/Name/Portrait_WarChest3_Comics_01,艾尔姆斯 /// Elms=14735
Reward/Name/Portrait_WarChest3_Comics_02,被感染的盖瑞 /// Infested Gary=14736
Reward/Name/Portrait_WarChest3_Comics_03,被感染的盖瑞 /// Infested Gary=14737
Reward/Name/Portrait_WarChest3_Comics_04,詹姆斯“天狼星”赛克斯 /// James "Sirius" Sykes=14738
Reward/Name/Portrait_WarChest3_Comics_05,雷格尔 /// Reigel=14739
Reward/Name/Portrait_WarChest3_Comics_06,佣兵 /// Merc=14740
Reward/Name/Portrait_WarChest3_Comics_07,孔特拉斯 /// Contreras=14741
Reward/Name/Portrait_WarChest3_Trophy,2018世界锦标赛 /// 2018 World Championship=14742
Reward/Name/Portrait_WarChest3_Winner_Classic,WCS Classic /// WCS Classic=14743
Reward/Name/Portrait_WarChest3_Winner_Dark,WCS Dark /// WCS Dark=14744
Reward/Name/Portrait_WarChest3_Winner_Has,WCS Has /// WCS Has=14745
Reward/Name/Portrait_WarChest3_Winner_Heromarine,WCS HeRoMaRinE /// WCS HeRoMaRinE=14746
Reward/Name/Portrait_WarChest3_Winner_Lambo,WCS Lambo /// WCS Lambo=14747
Reward/Name/Portrait_WarChest3_Winner_Maru,WCS Maru /// WCS Maru=14748
Reward/Name/Portrait_WarChest3_Winner_Neeb,WCS Neeb /// WCS Neeb=14749
Reward/Name/Portrait_WarChest3_Winner_Nerchio,WCS Nerchio /// WCS Nerchio=14750
Reward/Name/Portrait_WarChest3_Winner_Rogue,WCS Rogue /// WCS Rogue=14751
Reward/Name/Portrait_WarChest3_Winner_Serral,WCS Serral /// WCS Serral=14752
Reward/Name/Portrait_WarChest3_Winner_Showtime,WCS ShoWTimE /// WCS ShoWTimE=14753
Reward/Name/Portrait_WarChest3_Winner_Sos,WCS sOs /// WCS sOs=14754
Reward/Name/Portrait_WarChest3_Winner_Special,WCS SpeCial /// WCS SpeCial=14755
Reward/Name/Portrait_WarChest3_Winner_Stats,WCS Stats /// WCS Stats=14756
Reward/Name/Portrait_WarChest3_Winner_Ty,WCS TY /// WCS TY=14757
Reward/Name/Portrait_WarChest3_Winner_Zest,WCS Zest /// WCS Zest=14758
Reward/Name/Portrait_WarChest4_Adjutant,特战队副官 /// Special Forces Adjutant=14759
Reward/Name/Portrait_WarChest4_BroodLord,仿生机械巢虫领主 /// Simulant Brood Lord=14760
Reward/Name/Portrait_WarChest4_Comics_00,雷格尔 /// Reigel=14761
Reward/Name/Portrait_WarChest4_Comics_01,幽灵 /// Ghost=14762
Reward/Name/Portrait_WarChest4_Comics_02,勇=14763
Reward/Name/Portrait_WarChest4_Comics_03,收割者 /// Reaper=14764
Reward/Name/Portrait_WarChest4_Comics_04,尤尔兰 /// Urun=14765
Reward/Name/Portrait_WarChest4_Comics_05,尼雅德拉 /// Niadra=14766
Reward/Name/Portrait_WarChest4_Comics_06,陆战队员 /// Marine=14767
Reward/Name/Portrait_WarChest4_Comics_07,诺娃全息图=14768
Reward/Name/Portrait_WarChest4_Executor,锻造执行官 /// Forged Executor=14769
Reward/Name/Portrait_WarChest4_Overmind,仿生机械副官 /// Simulant Adjutant=14770
Reward/Name/Portrait_WarChest4_SiegeTank,特战队攻城坦克 /// Special Forces Siege Tank=14771
Reward/Name/Portrait_WarChest4_Tempest,锻造风暴战舰 /// Forged Tempest=14772
Reward/Name/Portrait_WarChest5_AdeptColor,彩色伊罕利使徒 /// Ihan-rii Adept Color=14773
Reward/Name/Portrait_WarChest5_AdeptInk,墨色伊罕利使徒 /// Ihan-rii Adept Ink=14774
Reward/Name/Portrait_WarChest5_ClassicHydralisk,经典刺蛇 /// Classic Hydralisk=14775
Reward/Name/Portrait_WarChest5_ClassicMarine,经典陆战队员 /// Classic Marine=14776
Reward/Name/Portrait_WarChest5_ClassicZealot,经典狂热者 /// Classic Zealot=14777
Reward/Name/Portrait_WarChest5_Comics_00,艾贡·斯台特曼 /// Egon Stetmann=14778
Reward/Name/Portrait_WarChest5_Comics_01,机械跳虫 /// Mecha Zergling=14779
Reward/Name/Portrait_WarChest5_Comics_02,幽灵 /// Ghost=14780
Reward/Name/Portrait_WarChest5_Comics_03,地嗪幽灵 /// Terrazine Ghost=14781
Reward/Name/Portrait_WarChest5_Comics_04,盖瑞 /// Gary=14782
Reward/Name/Portrait_WarChest5_Comics_05,华莱士少尉 /// Ensign Wallace=14783
Reward/Name/Portrait_WarChest5_Comics_06,涅米队长 /// Captain Niemi=14784
Reward/Name/Portrait_WarChest5_Comics_07,晋升者玛莱恩 /// Ascendant Malain=14785
Reward/Name/Portrait_WarChest5_GhostColor,彩色泰拉多尔幽灵兵 /// Tyrador Ghost Color=14786
Reward/Name/Portrait_WarChest5_GhostInk,墨色泰拉多尔幽灵兵 /// Tyrador Ghost Ink=14787
Reward/Name/Portrait_WarChest5_HydraliskColor,彩色塞伯鲁斯刺蛇 /// Cerberus Hydralisk Color=14788
Reward/Name/Portrait_WarChest5_HydraliskInk,墨色塞伯鲁斯刺蛇 /// Cerberus Hydralisk Ink=14789
Reward/Name/Portrait_WarChest6_ClassicAdjutant,经典副官=14790
Reward/Name/Portrait_WarChest6_ClassicAldaris,经典阿达瑞斯=14791
Reward/Name/Portrait_WarChest6_ClassicOvermind,经典主宰=14792
Reward/Name/Portrait_WarChest6_IhanriiExecutor,伊罕利执行官=14793
Reward/Name/Portrait_WarChest6_IhanriiSentry,伊罕利机械哨兵=14794
Reward/Name/Portrait_WarChest6_RCZHiveNode,塞伯鲁斯主巢节点=14795
Reward/Name/Portrait_WarChest6_RCZLurker,塞伯鲁斯潜伏者=14796
Reward/Name/Portrait_WarChest6_SilverAdjutant,泰拉多尔副官=14797
Reward/Name/Portrait_WarChest6_SilverThor,泰拉多尔雷神=14798
Reward/Name/Portrait_WarChest_Portrait00,墨色阿拉纳克 /// Alarak Ink=14799
Reward/Name/Portrait_WarChest_Portrait01,墨色塔萨达尔 /// Tassadar Ink=14800
Reward/Name/Portrait_WarChest_Portrait02,墨色陆战队员 /// Marine Ink=14801
Reward/Name/Portrait_WarChest_Portrait03,墨色诺娃 /// Nova Ink=14802
Reward/Name/Portrait_WarChest_Portrait04,墨色爆蚊 /// Scourge Ink=14803
Reward/Name/Portrait_WarChest_Portrait05,墨色扎加拉 /// Zagara Ink=14804
Reward/Name/Portrait_WarChest_Portrait06,彩色阿拉纳克 /// Alarak Color=14805
