AUTHENTICATION_BETA_REGION,Beta /// Beta=0
Alert/Text/WarpTrainComplete,Transdobra concluída. /// Warp complete.=9371
Alert/Text/WarpTrainComplete_Prot,Transdobra concluída. /// Warp complete.=9372
Alert/Text/WarpTrainComplete_Terr,Transdobra concluída. /// Warp complete.=9373
Alert/Text/WarpTrainComplete_Zerg,Transdobra concluída. /// Warp complete.=9374
Alert/Text/YamatoSpecializeComplete,Especialização concluída. /// Specialization complete.=9375
Attribute/Name/SkinSet,Conjunto de visuais=9376
Behavior/Name/250mmStrikeCannons,Canhões de assalto de 250 mm /// 250mm Strike Cannons=9377
Behavior/Name/AIDangerBuff,IABônus de perigo /// AIDanger Buff=9378
Behavior/Name/AccelerationZoneFlyingTemporalField,Zona Aceleradora=9379
Behavior/Name/AccelerationZoneTemporalField,Zona Aceleradora=9380
Behavior/Name/AttackReveal,Revelar ataque /// Attack Reveal=9381
Behavior/Name/BansheeCloak,Camuflar /// Cloak=9382
Behavior/Name/Charging,Carga /// Charging=9383
Behavior/Name/CloakFieldEffect,Campo de camuflagem /// Cloaking Field=9384
Behavior/Name/Contaminated,Contaminada /// Contaminated=9385
Behavior/Name/Corruption,Corrupção /// Corruption=9386
Behavior/Name/EMPDecloak,Descamuflar PEM /// EMP Decloak=9387
Behavior/Name/Ethereal,Deslocamento fásico /// Phase Shift=9388
Behavior/Name/FungalGrowth,Crescimento fúngico /// Fungal Growth=9389
Behavior/Name/GhostCloak,Camuflar /// Cloak=9390
Behavior/Name/GhostHoldFire,Cessar fogo /// Hold Fire=9391
Behavior/Name/GhostHoldFireB,Cessar fogo /// Hold Fire=9392
Behavior/Name/GravitonBeam,Feixe Graviton /// Graviton Beam=9393
Behavior/Name/GuardianShield,Escudo guardião /// Guardian Shield=9394
Behavior/Name/InhibitorZoneFlyingTemporalField,Zona Inibidora=9395
Behavior/Name/InhibitorZoneTemporalField,Zona Inibidora /// Inhibitor Zone=9396
Behavior/Name/Leech,Drenagem /// Leech=9397
Behavior/Name/LeechDisableAbilities,Drenagem /// Leech=9398
Behavior/Name/LoadOutSpray@Tracker,Rastreadora=9399
Behavior/Name/NeuralParasite,Parasita neural /// Neural Parasite=9400
Behavior/Name/NeuralParasiteWait,Parasita neural /// Neural Parasite=9401
Behavior/Name/PowerUserWarpable,Transdobrando /// Warping in=9402
Behavior/Name/PsiStorm,Tempestade psiônica /// Psionic Storm=9403
Behavior/Name/QueenSpawnLarvaTimer,Gerando Larva /// Spawn Larvae=9404
Behavior/Name/Salvage,Recuperar /// Salvage=9405
Behavior/Name/SeekerMissileTimeout,Interrupção de míssil teleguiado /// Seeker Missile timeout=9406
Behavior/Name/SheepBusy,Carneiro ocupado /// Sheep busy=9407
Behavior/Name/Slow,Devagar /// Slow=9408
Behavior/Name/Stimpack,Injeções de esteroides /// Stimpack=9409
Behavior/Name/StimpackMarauder,Injeções de esteroides /// Stimpack=9410
Behavior/Name/SupplyDrop,Entrega de suprimentos /// Supply drop=9411
Behavior/Name/TemporalRiftUnit,Fenda temporal /// Temporal Rift=9412
Behavior/Name/TimeScaleConversionBehavior,Comportamento de Conversão de Escala de tempo /// Time Scale Conversion Behavior=9413
Behavior/Name/TimeWarpProduction,Reforço temporal /// Chrono Boost=9414
Behavior/Name/VortexBehavior,Vórtice /// Vortex=9415
Behavior/Name/WarpInVulnerability,Vulnerabilidade de Transdobra /// Warp in Vulnerability=9416
Behavior/Tooltip/250mmStrikeCannons,O alvo está atualmente atordoado e não pode usar nenhuma habilidade. /// Target is currently stunned and unable to use any abilities.=9417
Behavior/Tooltip/AccelerationZoneFlyingTemporalField,A velocidade de movimento desta unidade aumentou em <d ref="(Behavior,AccelerationZoneTemporalField,Modification.MoveSpeedMultiplier-1)*100"/>%.=9418
Behavior/Tooltip/AccelerationZoneTemporalField,A velocidade de movimento desta unidade aumentou em <d ref="(Behavior,AccelerationZoneTemporalField,Modification.MoveSpeedMultiplier-1)*100"/>%.=9419
Behavior/Tooltip/BansheeCloak,Esta unidade está camuflada e só será revelada por detectores ou efeitos. /// This unit is cloaked and will only be revealed by detectors or effects.=9420
Behavior/Tooltip/Charging,Este Fanáticus está investindo, permitindo que ele diminua rapidamente a distância entre ele e seu alvo. /// This Zealot is charging, allowing it to quickly close the distance with its target.=9421
Behavior/Tooltip/CloakFieldEffect,Esta unidade está camuflada, a menos que seja revelada por detectores ou efeitos. /// This unit is cloaked unless revealed by detectors or effects.=9422
Behavior/Tooltip/Contaminated,Esta estrutura está impossibilitada de treinar novas unidades ou pesquisar aprimoramentos. /// This structure is unable to train new units or research upgrades.=9423
Behavior/Tooltip/Corruption,Esta unidade leva 20% de danos extras. /// This unit takes 20% extra damage.=9424
Behavior/Tooltip/EMPDecloak,O alvo foi recentemente atingido por uma bala de PEM, impedindo-o de se camuflar por um curto período. /// Target was recently hit by an EMP Round, making it unable to cloak for a short duration.=9425
Behavior/Tooltip/Ethereal,O alvo é imune a todos os danos e efeitos, mas não pode atacar nem usar habilidades. /// Target is immune to all damage and effects but is unable to attack or use abilities.=9426
Behavior/Tooltip/FungalGrowth,O alvo é afetado por Crescimento fúngico. O alvo é detectado e não pode se mover. /// Target is affected by Fungal Growth. Target is detected and cannot move.=9427
Behavior/Tooltip/GhostCloak,Esta unidade está camuflada e só será revelada por detectores ou efeitos. /// This unit is cloaked and will only be revealed by detectors or effects.=9428
Behavior/Tooltip/GravitonBeam,O alvo está sendo erguido no ar e agora está vulnerável a ataques aéreos. Esta unidade não pode atacar ou usar habilidades até o término do Feixe Graviton. /// Target is being lifted in the air and is now vulnerable to air attacks. This unit cannot attack or use abilities until the Graviton Beam ends.=9429
Behavior/Tooltip/GuardianShield,Danos de ataques de longa distância recebidos diminui em 2. /// Incoming ranged damage reduced by 2.=9430
Behavior/Tooltip/InhibitorZoneFlyingTemporalField,A velocidade de movimento desta unidade foi reduzida em <d ref="1-Behavior,InhibitorZoneTemporalField,Modification.MoveSpeedMultiplier*100"/>%.=9431
Behavior/Tooltip/InhibitorZoneTemporalField,A velocidade de movimento desta unidade foi reduzida em <d ref="1-Behavior,InhibitorZoneTemporalField,Modification.MoveSpeedMultiplier*100"/>%. /// This unit's movement speed is reduced by <d ref="1-Behavior,InhibitorZoneTemporalField,Modification.MoveSpeedMultiplier*100"/>%.=9432
Behavior/Tooltip/Leech,Energia sendo drenada por Infestador /// Energy being drained by an Infestor=9433
Behavior/Tooltip/LeechDisableAbilities,Não pode lançar habilidades especiais. /// Cannot cast spells.=9434
Behavior/Tooltip/NeuralParasite,Esta unidade está sendo controlada por um Infestador. /// This unit is being controlled by an Infestor.=9435
Behavior/Tooltip/NeuralParasiteWait,Esta unidade está sendo controlada por um Infestador. /// This unit is being controlled by an Infestor.=9436
Behavior/Tooltip/PowerUserWarpable,A unidade está sendo materializada por um Portal de dobra. /// Unit is being materialized by a Warp Gate.=9437
Behavior/Tooltip/PsiStorm,O alvo está sob o efeito da Tempestade psiônica e receberá muito mais pontos de dano enquanto estiver nessa área do efeito. /// Target is under the effects of Psionic Storm and will take massive damage while in this area of effect.=9438
Behavior/Tooltip/QueenSpawnLarvaTimer,Esta estrutura está gerando Larvas adicionais. /// This structure is spawning additional Larvae.=9439
Behavior/Tooltip/Slow,A velocidade de movimento do alvo é reduzida por um curto período. /// Target's movement speed is reduced for a short period of time.=9440
Behavior/Tooltip/Stimpack,Esta unidade se move e ataca mais rápido quando está sob o efeito das Injeções de esteroides. /// This unit moves and attacks more quickly while under the effects of Stimpack.=9441
Behavior/Tooltip/StimpackMarauder,Esta unidade se move e ataca mais rápido quando está sob o efeito das Injeções de esteroides. /// This unit moves and attacks more quickly while under the effects of Stimpack.=9442
Behavior/Tooltip/SupplyDrop,Este Depósito de suprimentos está fornecendo um adicional de 8 suprimentos. /// This Supply Depot is providing an additional 8 supply.=9443
Behavior/Tooltip/TemporalRiftUnit,A velocidade de movimento, de ataque e tempo de utilização de habilidade do alvo são reduzidos em dois terços. /// Target's movement speed, attack speed, and ability usage times are slowed by two-thirds.=9444
Behavior/Tooltip/TimeWarpProduction,Esta estrutura está em estado acelerado. /// This structure is in an accelerated state.=9445
Behavior/Tooltip/VortexBehavior,Unidades capturadas dentro do Vórtice ficam atordoadas até o término do Vórtice. /// Units caught within the Vortex are stunned until the Vortex ends.=9446
Behavior/Tooltip/WarpInVulnerability,Sofre o dobro em danos durante a transdobra /// Takes double damage while warping in=9447
Bundle/Description/WarChestSeason6ProtossSkinsBundle,=9448
Bundle/Description/WarChestSeason6TerranSkinsBundle,=9449
Bundle/Description/WarChestSeason6ZergSkinsBundle,=9450
Bundle/Name/WarChestSeason6ProtossSkinsBundle,Pacote de Estruturas Protoss Ihan-rii=9451
Bundle/Name/WarChestSeason6TerranSkinsBundle,Pacote de Estruturas dos Terranos de Tyrador=9452
Bundle/Name/WarChestSeason6ZergSkinsBundle,Pacote de Estruturas dos Zergs Cerberus=9453
Button/Name/250mmStrikeCannons,Canhões de assalto de 250 mm /// 250mm Strike Cannons=9454
Button/Name/AWrp,Arconte Combinar /// Archon Merge=9455
Button/Name/AnionPulseCrystals,Pesquisar Cristais de Pulso Aniônico /// Research Anion Pulse-Crystals=9456
Button/Name/Archon,Transdobrar Arconte /// Warp In Archon=9457
Button/Name/ArchonHallucination,Invocar alucinação de Arconte /// Summon Archon Hallucination=9458
Button/Name/ArchonWarpTarget,Arconte Combinar /// Archon Merge=9459
Button/Name/Armory,Construir Arsenal /// Build Armory=9460
Button/Name/AssaultMode,Modo Assalto /// Assault Mode=9461
Button/Name/Assimilator,Transdobrar Assimilador /// Warp In Assimilator=9462
Button/Name/Attack,Atacar /// Attack=9463
Button/Name/AttackBarrage,Atacar o Chão /// Attack Ground=9464
Button/Name/AttackBuilding,Atacar /// Attack=9465
Button/Name/AttackRedirect,Atacar /// Attack=9466
Button/Name/AttackTowards,Atacar adiante /// Attack Towards=9467
Button/Name/AttackWarpPrism,Atacar /// Attack=9468
Button/Name/AutoTurret,Construir Torre de artilharia automatizada /// Build Auto-Turret=9469
Button/Name/Baneling,Transmutar em Tatu-bomba /// Morph to Baneling=9470
Button/Name/BanelingFromZerglingBurrowed,Transmutar em Tatu-bomba /// Morph to Baneling=9471
Button/Name/BanelingNest,Mutação em Ninho de Tatu-bomba /// Mutate into Baneling Nest=9472
Button/Name/Banshee,Construir Vudu /// Build Banshee=9473
Button/Name/Barracks,Construir Quartel /// Build Barracks=9474
Button/Name/Battlecruiser,Construir Cruzador de batalha /// Build Battlecruiser=9475
Button/Name/Blink,Translação /// Blink=9476
Button/Name/BroodLord,Transmutar em Lorde das Castas /// Morph to Brood Lord=9477
Button/Name/BuildCreepTumor,Gerar Tumor gosmento /// Spawn Creep Tumor=9478
Button/Name/BuildCreepTumorPropagate,Gerar Tumor gosmento /// Spawn Creep Tumor=9479
Button/Name/BuildTechLabBarracks,Construir Laboratório técnico /// Build Tech Lab=9480
Button/Name/BuildTechLabFactory,Construir Laboratório técnico /// Build Tech Lab=9481
Button/Name/BuildTechLabStarport,Construir Laboratório técnico /// Build Tech Lab=9482
Button/Name/Bunker,Construir Casamata /// Build Bunker=9483
Button/Name/BunkerLoad,Carregar /// Load=9484
Button/Name/BunkerUnloadAll,Descarregar todos /// Unload All=9485
Button/Name/BurrowDown,Entocar /// Burrow=9486
Button/Name/BurrowMove,Entocar /// Burrow=9487
Button/Name/BurrowUp,Desentocar /// Unburrow=9488
Button/Name/CalldownMULE,Chamada: MULE /// Calldown: MULE=9489
Button/Name/CancelCocoon,Cancelar /// Cancel=9490
Button/Name/CancelCocoonMorph,Cancelar /// Cancel=9491
Button/Name/CancelMutateMorph,Cancelar /// Cancel=9492
Button/Name/CancelSlot,Cancelar /// Cancel=9493
Button/Name/CancelUpgradeMorph,Cancelar /// Cancel=9494
Button/Name/Carrier,Transdobrar Transportadora /// Warp In Carrier=9495
Button/Name/Charge,Carga /// Charge=9496
Button/Name/CliffWalk,Travessia de penhasco /// Cliff Walk=9497
Button/Name/CloakOff,Descamuflar /// Decloak=9498
Button/Name/CloakOnBanshee,Camuflar /// Cloak=9499
Button/Name/CloakOnGhost,Camuflar /// Cloak=9500
Button/Name/CloakingField,Campo de invisibilidade /// Cloaking Field=9501
Button/Name/Colossus,Transdobrar Colosso /// Warp In Colossus=9502
Button/Name/ColossusHallucination,Invocar alucinação de Colosso /// Summon Colossus Hallucination=9503
Button/Name/CommandCenter,Construir Central de comando /// Build Command Center=9504
Button/Name/CommandCenterLoad,Carregar /// Load=9505
Button/Name/CommandCenterUnloadAll,Descarregar todos /// Unload All=9506
Button/Name/CommanderAbathurBaseTrait,Coletor de Biomassa /// Biomass Harvester=9507
Button/Name/CommanderAbathurBiomassLifesteal,Drenagem Biótica /// Biotic Leech=9508
Button/Name/CommanderAbathurBiomassRefund,Recuperação de Biomassa /// Biomass Recovery=9509
Button/Name/CommanderAbathurBrutaliskLeviathanSymbiote,Simbionte /// Symbiote=9510
Button/Name/CommanderAbathurImprovedMend,Restaurar Aprimorado /// Improved Mend=9511
Button/Name/CommanderAbathurLevel1,Coletor de Biomassa /// Biomass Harvester=9512
Button/Name/CommanderAbathurRoachEvolutionVile,Evolução da Barata: Vil /// Roach Evolution: Vile=9513
Button/Name/CommanderAbathurSpawnLocustsOnKill,Injeção de Gafanhoto /// Locust Injection=9514
Button/Name/CommanderAbathurToxicBonusBiomass,Ninhos Virulentos /// Virulent Nests=9515
Button/Name/CommanderAbathurUnitEvolutionMorphTimesReduced,Potencial Mutagênico /// Mutagenic Potential=9516
Button/Name/CommanderAbathurUnlockBrutaliskLeviathan,Evolução Suprema /// Ultimate Evolution=9517
Button/Name/CommanderAbathurUnlockEvolutionChamberUpgrades,Aprimoramentos da Câmara Evolutiva /// Evolution Chamber Upgrade Cache=9518
Button/Name/CommanderAbathurUnlockGreaterSpireUpgrades,Depósito de Aprimoramentos do Pináculo /// Spire Upgrade Cache=9519
Button/Name/CommanderAbathurUnlockInfestationPitUpgrades,Depósito de Aprimoramento do Fosso de Infestação /// Infestation Pit Upgrade Cache=9520
Button/Name/CommanderAbathurUnlockRoachWarrenUpgrades,Depósito Aprimoramento Toca de Barata /// Roach Warren Upgrade Cache=9521
Button/Name/CommanderAbathurUnlockViper,Nova Unidade: Víbora /// New Unit: Viper=9522
Button/Name/CommanderAlarakEmpowerMeSlaves,Deem-me poder /// Empower Me=9523
Button/Name/CommanderAlarakEmpoweredAOEAttacks,Sobrecarregado /// Overpowered=9524
Button/Name/CommanderAlarakForgeAlarakUpgrades,Depósito de Aprimoramentos de Alarak /// Alarak Upgrade Cache=9525
Button/Name/CommanderAlarakHavocUpgradesPack,Depósito de Aprimoramentos de Devastador /// Havoc Upgrade Cache=9526
Button/Name/CommanderAlarakImprovedDeadlyCharge,Táticas Agressivas /// Aggressive Tactics=9527
Button/Name/CommanderAlarakImprovedDeathFleet,Céus em Chamas /// Burning Skies=9528
Button/Name/CommanderAlarakImprovedStructureOvercharge,Amplificação de Sobrecarga /// Overcharge Amplification=9529
Button/Name/CommanderAlarakLightningStrikes,Surto de Raios /// Lightning Surge=9530
Button/Name/CommanderAlarakRoboticsBayUpgradesPack,Aprimoramentos do Polo Robótico /// Robotics Bay Upgrade Cache=9531
Button/Name/CommanderAlarakStrongestSurvive,Absorção Anímica /// Soul Absorption=9532
Button/Name/CommanderAlarakSupplicantSacrificeCDR,Fúria do Senhor Supremo /// Wrath of the Highlord=9533
Button/Name/CommanderAlarakTemplarArchivesUpgradesPack,Depósito de Aprimoramentos do Ascendente /// Ascendant Upgrade Cache=9534
Button/Name/CommanderAlarakTwilightCouncilUpgradesPack,Depósito de Aprimoramentos do Concílio da Morte /// Death Council Upgrade Cache=9535
Button/Name/CommanderAlarakUnlockAscendant,Nova unidade: Ascendente /// New Unit: Ascendant=9536
Button/Name/CommanderAlarakUnlockDeathFleet,Convocar Frota da Morte /// Summon Death Fleet=9537
Button/Name/CommanderArtanisFleetBeaconUpgradesPack,Aprimoramentos do Laboratório Avançado /// Fleet Beacon Upgrade Cache=9538
Button/Name/CommanderArtanisHighArchon,Arconte Supremo /// High Archon=9539
Button/Name/CommanderArtanisImprovedSolarBombardment,Lança de Adun: Invectiva Solar /// Spear of Adun: Solar Onslaught=9540
Button/Name/CommanderArtanisReaverUpgradesPack,Pacote de Aprimoramentos do Aniquiloide /// Reaver Upgrades Pack=9541
Button/Name/CommanderArtanisRoboticsBayUpgradesPack,Aprimoramentos do Polo Robótico /// Robotics Bay Upgrade Cache=9542
Button/Name/CommanderArtanisSpearofAdunGuardianShell,Lança de Adun: Carapaça Protetora /// Spear of Adun: Guardian Shell=9543
Button/Name/CommanderArtanisSpearofAdunMatrixOverload,Lança de Adun: Sobrecarga de Matriz /// Spear of Adun: Matrix Overload=9544
Button/Name/CommanderArtanisSpearofAdunShieldOvercharge,Lança de Adun: Sobrecarga de Escudos /// Spear of Adun: Shield Overcharge=9545
Button/Name/CommanderArtanisSpearofAdunSolarBombardment,Lança de Adun: Bombardeio Solar /// Spear of Adun: Solar Bombardment=9546
Button/Name/CommanderArtanisSpearofAdunWarpHarmonization,Lança de Adun: Harmonização de Dobra /// Spear of Adun: Warp Harmonization=9547
Button/Name/CommanderArtanisStartingMaxSupply,Glória dos Daelaam /// Glory of the Daelaam=9548
Button/Name/CommanderArtanisSwiftRetribution,Retaliação Imediata /// Swift Retribution=9549
Button/Name/CommanderArtanisTemplarArchivesUpgradesPack,Aprimoramentos dos Arquivos Templares /// Templar Archives Upgrade Cache=9550
Button/Name/CommanderArtanisTwilightCouncilUpgradesPack,Aprimoramentos do Concílio do Crepúsculo /// Twilight Council Upgrade Cache=9551
Button/Name/CommanderArtanisUnlockReaver,Nova unidade: Aniquiloide /// New Unit: Reaver=9552
Button/Name/CommanderArtanisUnlockTempest,Nova unidade: Tempesto /// New Unit: Tempest=9553
Button/Name/CommanderArtanisWarpgateCharges,Portal de Dobra Superior /// Superior Warp Gates=9554
Button/Name/CommanderDehakaBaseTrait,Coletor de Essência /// Essence Gatherer=9555
Button/Name/CommanderDehakaLevel02,Novas unidades: Ravassauro e Incendiário Primevo /// New Units: Ravasaur & Primal Igniter=9556
Button/Name/CommanderDehakaLevel03,Depósito de Aprimoramentos do Ravassauro /// Ravasaur Upgrade Cache=9557
Button/Name/CommanderDehakaLevel04,Túnel Profundo /// Deep Tunnel=9558
Button/Name/CommanderDehakaLevel05,Instinto Primevo /// Primal Insight=9559
Button/Name/CommanderDehakaLevel06,Novas unidades: Mutalisca Primeva e Guardião Primevo /// New Units: Primal Mutalisk & Primal Guardian=9560
Button/Name/CommanderDehakaLevel07,Depósito de Aprimoramentos de Mutalisca Primeva e Guardião Primevo /// Primal Mutalisk & Primal Guardian Upgrade Cache=9561
Button/Name/CommanderDehakaLevel08,Novas unidades: Hospedeiro de Rastejantes e Empalador Primevo /// New Units: Creeper Host & Primal Impaler=9562
Button/Name/CommanderDehakaLevel09,Depósito de Aprimoramentos de Incendiário Primevo e Empalador Primevo /// Primal Igniter & Primal Impaler Upgrade Cache=9563
Button/Name/CommanderDehakaLevel10,Líderes da Matilha Evoluídos /// Evolved Pack Leaders=9564
Button/Name/CommanderDehakaLevel11,Nova unidade: Tiranozoide /// New Unit: Tyrannozor=9565
Button/Name/CommanderDehakaLevel12,Instinto de Sobrevivência /// Survival Instinct=9566
Button/Name/CommanderDehakaLevel13,Depósito de Aprimoramentos de Zerg Primevo de Elite /// Elite Primal Zerg Upgrade Cache=9567
Button/Name/CommanderDehakaLevel14,Astúcia de Zerus /// Zerus Cunning=9568
Button/Name/CommanderDehakaLevel15,Mutação Genética /// Gene Mutation=9569
Button/Name/CommanderFenixBaseTrait,Lançamento Variável /// Variable Deployment=9570
Button/Name/CommanderFenixChampionTransferBuff,Protocolo de Vingança /// Avenging Protocol=9571
Button/Name/CommanderFenixDisruptorSentryResearchPack,Depósito de Aprimoramentos de Especialista /// Specialist Upgrade Cache=9572
Button/Name/CommanderFenixNetworkedSuperiority,Rede de Dados Táticos /// Tactical Data Web=9573
Button/Name/CommanderFenixNoTechNoGas,Eficiência Operacional /// Operational Efficiency=9574
Button/Name/CommanderFenixOfflineSuitRegen,Recarga Rápida /// Rapid Recharge=9575
Button/Name/CommanderFenixPurifierConclaveResearchPack1,Depósito de Pesquisa de Campeão Tropa de Choque /// Shock Troop Champion Research Cache=9576
Button/Name/CommanderFenixPurifierConclaveResearchPack2,Depósito de Aprimoramentos de Campeão de Assalto /// Assault Champion Upgrade Cache=9577
Button/Name/CommanderFenixPurifierConclaveResearchPack3,Depósito de Aprimoramentos de Campeão de Cerco /// Siege Champion Upgrade Cache=9578
Button/Name/CommanderFenixSuitUpgrades,Depósito de Aprimoramentos do Fenix /// Fenix Upgrade Cache=9579
Button/Name/CommanderFenixUnlockArbiterSuit,Desbloquear: Traje da Mediadora Cybros /// Unlock: Cybros Arbiter Suit=9580
Button/Name/CommanderFenixUnlockDisruptor,Nova unidade: Disruptor /// New Unit: Disruptor=9581
Button/Name/CommanderFenixUnlockPurifierAI1,I.A. Campeã: Taldarin e Mojo /// Champion AI: Taldarin & Mojo=9582
Button/Name/CommanderFenixUnlockPurifierAI2,I.A. Campeã: Armipotente e Clolárion /// Champion AI: Warbringer & Clolarion=9583
Button/Name/CommanderFenixUnlockPurifierConclave,Desbloquear: Conclave dos Purificadores /// Unlock: Purifier Conclave=9584
Button/Name/CommanderHornerLevel01,Os Horner /// The Horners=9585
Button/Name/CommanderHornerLevel02,Nova Unidade: Caça de Ataque /// New Unit: Strike Fighter=9586
Button/Name/CommanderHornerLevel03,Depósito de Aprimoramentos do Galeão de Ataque e do Corvo Theia /// Assault Galleon & Theia Raven Upgrade Cache=9587
Button/Name/CommanderHornerLevel04,Depósito de Aprimoramentos de Mercenários /// Merc Upgrade Cache=9588
Button/Name/CommanderHornerLevel05,Convocar a Frota /// Call in the Fleet=9589
Button/Name/CommanderHornerLevel06,Impaciência /// Impatience=9590
Button/Name/CommanderHornerLevel07,Depósito de Aprimoramentos de Estaleiro Sideral da Supremacia /// Dominion Starport Upgrade Cache=9591
Button/Name/CommanderHornerLevel08,Suprimentos Dele e Dela /// His and Hers Supply=9592
Button/Name/CommanderHornerLevel09,Depósito de Aprimoramentos de Endiabrado e Morcego Infernal         /// Hellion & Hellbat Upgrade Cache        =9593
Button/Name/CommanderHornerLevel10,Realocação da Estação Espacial /// Space Station Reallocation=9594
Button/Name/CommanderHornerLevel11,Treinamento de Resistência /// Endurance Training=9595
Button/Name/CommanderHornerLevel12,Armamento Avançado /// Advanced Weaponry=9596
Button/Name/CommanderHornerLevel13,Depósito de Aprimoramentos do Núcleo de Fusão /// Fusion Core Upgrade Cache=9597
Button/Name/CommanderHornerLevel14,Divirta-se /// Have a Blast=9598
Button/Name/CommanderHornerLevel15,Cara-Metade /// Significant Others=9599
Button/Name/CommanderKaraxFleetBeaconUpgradesPack,Pacote de Aprimoramentos do Laboratório Avançado /// Fleet Beacon Upgrade Cache=9600
Button/Name/CommanderKaraxForgeUpgradesPack,Aprimoramentos da Usina /// Forge Upgrade Cache=9601
Button/Name/CommanderKaraxInstantStructureWarp,Engenhosidade Khalai /// Khalai Ingenuity=9602
Button/Name/CommanderKaraxMassChronoUpgrade,Lança de Adun: Sobrecarga Temporal /// Spear of Adun: Chrono Overload=9603
Button/Name/CommanderKaraxOrbitalAssault,Maquinista Mestre=9604
Button/Name/CommanderKaraxPurifierBeamUpgrade,Lança de Adun: Protocolo Purificador /// Spear of Adun: Purifier Protocol=9605
Button/Name/CommanderKaraxRoboticsBayUpgradesPack,Aprimoramentos do Polo Robótico /// Robotics Bay Upgrade Cache=9606
Button/Name/CommanderKaraxSolarForgeUpgradesPack1,Aprimoramentos da Usina Solar 1 /// Solar Forge Upgrade Cache 1=9607
Button/Name/CommanderKaraxSolarForgeUpgradesPack2,Aprimoramentos da Usina Solar 2 /// Solar Forge Upgrade Cache 2=9608
Button/Name/CommanderKaraxTwilightCouncilUpgradesPack,Aprimoramentos do Concílio do Crepúsculo /// Twilight Council Upgrade Cache=9609
Button/Name/CommanderKaraxUnitSpawnBarrier,Barreira de Unidade /// Unity Barrier=9610
Button/Name/CommanderKaraxUnlockKhaydarinMonolith,Nova Unidade: Monólito Khaydarin /// New Unit: Khaydarin Monolith=9611
Button/Name/CommanderKaraxUnlockPurifierBeam,Lança de Adun: Feixe Purificador /// Spear of Adun: Purifier Beam=9612
Button/Name/CommanderKaraxUnlockRepairBeam,Lança de Adun: Feixe Reconstrutor /// Spear of Adun: Reconstruction Beam=9613
Button/Name/CommanderKaraxUnlockSOAChronoPassive,Lança de Adun: Campo Temporal /// Spear of Adun: Chrono Field=9614
Button/Name/CommanderKaraxUnlockSOAPassiveOrbitalStrike,Lança de Adun: Ataque Orbital Passivo /// Spear of Adun: Passive Orbital Strike=9615
Button/Name/CommanderKerriganCrushingGripWave,Onda Imobilizadora /// Immobilization Wave=9616
Button/Name/CommanderKerriganGreaterNydusWorm,Verme Ômega /// Omega Worm=9617
Button/Name/CommanderKerriganHydraliskandLurkerUpgradesPack,Depósito de Aprimoramentos de Hidralisca e Furtivo /// Hydralisk & Lurker Upgrade Cache=9618
Button/Name/CommanderKerriganImprovedLeapingStrike,Brutalidade /// Ruthlessness=9619
Button/Name/CommanderKerriganKerriganEnergyRegeneration,Rainha das Lâminas /// Queen of Blades=9620
Button/Name/CommanderKerriganKerriganUpgradesPack,Aprimoramentos da Kerrigan /// Kerrigan Upgrade Cache=9621
Button/Name/CommanderKerriganKerrigansFury,Fúria /// Fury=9622
Button/Name/CommanderKerriganMalignantCreep,Gosma Maligna /// Malignant Creep=9623
Button/Name/CommanderKerriganMutatingCarapace,Carapaça em Mutação /// Mutating Carapace=9624
Button/Name/CommanderKerriganSpireUpgradesPack,Aprimoramentos do Pináculo /// Spire Upgrade Cache=9625
Button/Name/CommanderKerriganUltraliskEvolutionTorrasque,Evolução do Mammuthus: Torrasque /// Ultralisk Evolution: Torrasque=9626
Button/Name/CommanderKerriganUltraliskUpgradesPack,Aprimoramentos do Mammuthus /// Ultralisk Upgrade Cache=9627
Button/Name/CommanderKerriganUnlockLurker,Nova unidade: Furtivo /// New Unit: Lurker=9628
Button/Name/CommanderKerriganZerglingEvolutionRaptor,Evolução do Zergnídeo: Raptor /// Zergling Evolution: Raptor=9629
Button/Name/CommanderKerriganZerglingUpgradesPack,Aprimoramentos do Fosso de Desova /// Spawning Pool Upgrade Cache=9630
Button/Name/CommanderMengskLevel01,Lei e Ordem=9631
Button/Name/CommanderMengskLevel02,Arsenal Expandido=9632
Button/Name/CommanderMengskLevel03,Nova unidade: Munição Racha-terra=9633
Button/Name/CommanderMengskLevel04,Ataque Contaminado=9634
Button/Name/CommanderMengskLevel05,Autoridade Inquestionável=9635
Button/Name/CommanderMengskLevel06,Depósito de Aprimoramentos do Polo de Engenharia=9636
Button/Name/CommanderMengskLevel07,Lobos de Guerra=9637
Button/Name/CommanderMengskLevel08,Depósito de Aprimoramentos Básico da Guarda Real=9638
Button/Name/CommanderMengskLevel09,Nova unidade: Martelo Negro=9639
Button/Name/CommanderMengskLevel10,Aniquilação Nuclear=9640
Button/Name/CommanderMengskLevel11,Carga Psicoativa=9641
Button/Name/CommanderMengskLevel12,Nova unidade: Orgulho de Augustogrado=9642
Button/Name/CommanderMengskLevel13,Aniquilação Total=9643
Button/Name/CommanderMengskLevel14,Depósito de Aprimoramentos Avançado da Guarda Real=9644
Button/Name/CommanderMengskLevel15,Promoção Concedida=9645
Button/Name/CommanderNovaAutoRefineries,Refinarias Automatizadas /// Automated Refineries=9646
Button/Name/CommanderNovaBansheeLiberatorStarportTechLabUpgradesPack,Aprimoramentos do Estaleiro Sideral /// Starport Upgrade Cache=9647
