Actor/Name/IndicatorMissilePhaseChange,Indicator Missile Phase Change=0
Model/Variation/Decal_19,Double Arrow=6790
Model/Variation/Decal_20,Curved Arrow (Left)=6791
Model/Variation/Decal_21,Curved Arrow (Right)=6792
Model/Variation/Decal_22,Dashed Line (Straight)=6793
Model/Variation/Decal_23,Caution Symbol=6794
Model/Variation/Decal_24,Restricted=6795
Model/Variation/Decal_25,Caution=6796
Model/Variation/Decal_26,Operations=6797
Model/Variation/Decal_27,Caution (Faded)=6798
Model/Variation/Decal_28,Do Not Enter=6799
Model/Variation/Decal_29,No Parking=6800
Mover/EditorPrefix/SiphonTentacle,Infestor -=6801
Mover/Name/ATALaserBatteryLMWeapon,ATALaser Battery LMWeapon=6802
Mover/Name/ATSLaserBatteryLMWeapon,ATSLaser Battery LMWeapon=6803
Mover/Name/AcidSalivaWeapon,Acid Saliva Weapon=6804
Mover/Name/AcidSpinesWeapon,Acid Spines Weapon=6805
Mover/Name/AcidSporesWeapon,Acid Spores Weapon=6806
Mover/Name/AutoTurretReleaseWeapon,Release Auto Turret Weapon=6807
Mover/Name/BacklashRocketsLMWeapon,Backlash Rockets LMWeapon=6808
Mover/Name/BansheeLMWeapon,Banshee LM Weapon=6809
Mover/Name/BattlecruiserALMWeapon,Battlecruiser ALM Weapon=6810
Mover/Name/BattlecruiserGLMWeapon,Battlecruiser GLM Weapon=6811
Mover/Name/BroodLordBWeapon,Brood Lord BWeapon=6812
Mover/Name/BroodLordWeaponLeft,Brood Lord Weapon Left=6813
Mover/Name/BroodLordWeaponRight,Brood Lord Weapon Right=6814
Mover/Name/Burrowed,Burrowed=6815
Mover/Name/CliffJumper,Cliff Jumper=6816
Mover/Name/Colossus,Colossus=6817
Mover/Name/Construction,Construction=6818
Mover/Name/Contaminate,Contaminate=6819
Mover/Name/Corruption,Corruption=6820
Mover/Name/Creep,Creep=6821
Mover/Name/D8Charge,D8 Charge=6822
Mover/Name/EMP2Weapon,EMP2 Weapon=6823
Mover/Name/Fly,Fly=6824
Mover/Name/Frenzy,Frenzy=6825
Mover/Name/FungalGrowthWeapon,FungalGrowthWeapon=6826
Mover/Name/GlaiveWurmBounceMissile,Glaive Wurm Bounce Missile=6827
Mover/Name/GlaiveWurmMissile,Glaive Wurm Missile=6828
Mover/Name/HunterSeekerMissile,Seeker Missile=6829
Mover/Name/HydraliskAirWeapon,Hydralisk Air Weapon=6830
Mover/Name/HydraliskGroundWeapon,Hydralisk Ground Weapon=6831
Mover/Name/InfestedTerransLayEggWeapon,Infested Terrans Lay Egg Weapon=6832
Mover/Name/InfestedTerransWeapon,Infested Terrans Weapon=6833
Mover/Name/InfestorNeuralParasite,Infestor Neural Parasite=6834
Mover/Name/InfestorSwarm,Infestor Infested Terrans=6835
Mover/Name/InterceptorWeapon,Interceptor Weapon=6836
Mover/Name/IonCannonsWeapon,Ion Cannons Weapon=6837
Mover/Name/IonCannonsWeaponLeft,Ion Cannons Weapon Left=6838
Mover/Name/IonCannonsWeaponRight,Ion Cannons Weapon Right=6839
Mover/Name/LarvaReleaseMissile,Larva Release Missile=6840
Mover/Name/LongboltMissileWeapon,Longbolt Missile Weapon=6841
Mover/Name/MarauderWeapon,Marauder Weapon=6842
Mover/Name/MissileTurretWeapon,Missile Turret Weapon=6843
Mover/Name/MothershipBeamWeapon,Mothership Beam Weapon=6844
Mover/Name/NeedleSpinesWeapon,Needle Spines Weapon=6845
Mover/Name/NoxiousTurret,Noxious Turret=6846
Mover/Name/PhoenixAirWeapon,Phoenix Air Weapon=6847
Mover/Name/PhoenixAirWeaponLeft,Phoenix Air Weapon Left=6848
Mover/Name/PhoenixAirWeaponRight,Phoenix Air Weapon Right=6849
Mover/Name/PhotonCannonWeapon,Photon Cannon Weapon=6850
Mover/Name/PunisherGrenadesWeapon,Punisher Grenades Weapon=6851
Mover/Name/ReaperJumpDown,Reaper Jump Down=6852
Mover/Name/ReaperJumpUp,Reaper Jump Up=6853
Mover/Name/RoachWeapon,Roach Weapon=6854
Mover/Name/SiphonTentacle,Siphon Tentacle=6855
Mover/Name/SpineCrawlerTentacleExtendLong,Spine Crawler Tentacle Extend Long=6856
Mover/Name/SpineCrawlerTentacleExtendShort,Spine Crawler Tentacle Extend Short=6857
Mover/Name/SpineCrawlerTentacleRetractLong,Spine Crawler Tentacle Retract Long=6858
Mover/Name/SpineCrawlerTentacleRetractShort,Spine Crawler Tentacle Retract Short=6859
Mover/Name/StalkerWeapon,Stalker Weapon=6860
Mover/Name/ThorAA,Thor AA=6861
Mover/Name/UnitKnockbackMover2,Unit Knockback Mover2=6862
Mover/Name/UnitKnockbackMover3,Unit Knockback Mover3=6863
Mover/Name/UnitKnockbackMover4,Unit Knockback Mover4=6864
Mover/Name/UnitKnockbackMover5,Unit Knockback Mover5=6865
Mover/Name/UnitKnockbackMover6,Unit Knockback Mover6=6866
Mover/Name/UnitKnockbackMover7,Unit Knockback Mover7=6867
Mover/Name/VikingFighterMissile,Viking Fighter Missile=6868
Mover/Name/YamatoWeapon,Yamato Weapon=6869
Requirement/Name/ArmBroodlingEscort,Arm Broodling Escort=6870
Requirement/Name/ArmInterceptor,Arm Interceptor=6871
Requirement/Name/GhostHoldingFire,Ghost Holding Fire=6872
Requirement/Name/GhostNotHoldingFire,Ghost Not Holding Fire=6873
Requirement/Name/HatcherySpawnLarva,Hatchery Spawn Larva=6874
Requirement/Name/HatcherySpawnMutantLarva,Hatchery Spawn Mutant Larva=6875
Requirement/Name/HaveArmory,Have Armory=6876
Requirement/Name/HaveArmoryAndAttachedTechLab,Have Armory And Attached Tech Lab=6877
Requirement/Name/HaveAttachedBarrTechLabAndShadowOps,Have Attached Barr Tech Lab And Shadow Ops=6878
Requirement/Name/HaveAttachedNuclearReactor,Have Attached Nuclear Reactor=6879
Requirement/Name/HaveAttachedStarportTechLabAndFusionCore,Have Attached Starport Tech Lab And Fusion Core=6880
Requirement/Name/HaveAttachedTechLab,Have Attached Tech Lab=6881
Requirement/Name/HaveBanelingNest,Have Baneling Nest=6882
Requirement/Name/HaveBanelingNest2,Have Baneling Nest2=6883
Requirement/Name/HaveBarracks,Have Barracks=6884
Requirement/Name/HaveCentrificalHooks,Have Centrifugal Hooks=6885
Requirement/Name/HaveCommandCenter,Have Command Center=6886
Requirement/Name/HaveCyberneticsCore,Have Cybernetics Core=6887
Requirement/Name/HaveDarkShrine,Have Dark Shrine=6888
Requirement/Name/HaveEngineeringBay,Have Engineering Bay=6889
Requirement/Name/HaveEvolutionChamber,Have Evolution Chamber=6890
Requirement/Name/HaveFactory,Have Factory=6891
Requirement/Name/HaveFactoryOrStarport,Have Factory Or Starport=6892
Requirement/Name/HaveFleetBeacon,Have Fleet Beacon=6893
Requirement/Name/HaveForge,Have Forge=6894
Requirement/Name/HaveGateway,Have Gateway=6895
Requirement/Name/HaveGreaterSpire,Have Greater Spire=6896
Requirement/Name/HaveHatchery,Have Hatchery=6897
Requirement/Name/HaveHive,Have Hive=6898
Requirement/Name/HaveHydraliskDen,Have Hydralisk Den=6899
Requirement/Name/HaveInfestationPit,Have Infestation Pit=6900
Requirement/Name/HaveLair,Have Lair=6901
Requirement/Name/HaveLurkerDen,Have Lurker Den=6902
Requirement/Name/HaveMetabolicBoost,Have Metabolic Boost=6903
Requirement/Name/HaveNexus,Have Nexus=6904
Requirement/Name/HaveNuke,Have Nuke=6905
Requirement/Name/HaveNydusNetwork,Have Nydus Network=6906
Requirement/Name/HaveOrganicCarapace,Have Tunneling Claws=6907
Requirement/Name/HavePlanetaryFortress,Have Planetary Fortress=6908
Requirement/Name/HaveRewardThorSkin,HaveRewardThorSkin=6909
Requirement/Name/HaveRoboticsBay,Have Robotics Bay=6910
Requirement/Name/HaveRoboticsFa,Have Robotics Fa=6911
Requirement/Name/HaveShadowOps,Have Shadow Ops=6912
Requirement/Name/HaveSpawningPool,Have Spawning Pool=6913
Requirement/Name/HaveSpire,Have Spire=6914
Requirement/Name/HaveStargate,Have Stargate=6915
Requirement/Name/HaveStarport,Have Starport=6916
Requirement/Name/HaveTemplarArchives,Have Templar Archives=6917
Requirement/Name/HaveTwilightCouncil,Have Twilight Council=6918
Requirement/Name/HaveUltraliskCavern,Have Ultralisk Cavern=6919
Requirement/Name/HaveWeaponRefit,Have Weapon Refit=6920
Requirement/Name/JumboBunkerNotResearched,Jumbo Bunker Not Researched=6921
Requirement/Name/LearnAdrenalGlands,Learn Adrenal Glands=6922
Requirement/Name/LearnAnabolicSynthesis,Learn Anabolic Synthesis=6923
Requirement/Name/LearnBattlecruiserEnergyUpgrade,Learn Battlecruiser Energy Upgrade=6924
Requirement/Name/LearnBattlecruiserSpecializations,Learn Battlefield Conversion=6925
Requirement/Name/LearnBlink,Learn Blink=6926
Requirement/Name/LearnBurrow,Learn Burrow=6927
Requirement/Name/LearnCaduceusReactor,Learn Caduceus Reactor=6928
Requirement/Name/LearnCentrificalHooks,Learn Centrifugal Hooks=6929
Requirement/Name/LearnCharge,Learn Charge=6930
Requirement/Name/LearnChitinousPlating,Learn Chitinous Plating=6931
Requirement/Name/LearnCloakingField,Learn Cloaking Field=6932
Requirement/Name/LearnColossusReactor,Learn Colossus Reactor=6933
Requirement/Name/LearnDurableMaterials,Learn Durable Materials=6934
Requirement/Name/LearnExtendedThermalLance,Learn Extended Thermal Lance=6935
Requirement/Name/LearnGhostEnergyUpgrade,Learn Ghost Energy Upgrade=6936
Requirement/Name/LearnGlialReconstitution,Learn Glial Reconstitution=6937
Requirement/Name/LearnGraviticBooster,Learn Gravitic Booster=6938
Requirement/Name/LearnGraviticDrive,Learn Gravitic Drive=6939
Requirement/Name/LearnHallucination,Learn Hallucination=6940
Requirement/Name/LearnHighCapacityBarrels,Learn Infernal Pre-igniter=6941
Requirement/Name/LearnHighTemplarEnergyUpgrade,Learn High Templar Energy Upgrade=6942
Requirement/Name/LearnHunterSeekerMissiles,Learn Seeker Missiles=6943
Requirement/Name/LearnIncreasedRange,Learn Increased Range=6944
Requirement/Name/LearnInfestorBurrow,Learn Infestor Burrow=6945
Requirement/Name/LearnInfestorEnergyUpgrade,Learn Infestor Energy Upgrade=6946
Requirement/Name/LearnInterceptorLaunchSpeedUpgrade,Learn Interceptor Launch Speed Upgrade=6947
Requirement/Name/LearnMedivacEnergyUpgrade,Learn Medivac Energy Upgrade=6948
Requirement/Name/LearnMetabolicBoost,Learn Metabolic Boost=6949
Requirement/Name/LearnMuscularAugments,Learn Muscular Augments=6950
Requirement/Name/LearnNeosteelFrame,Learn Neosteel Frame=6951
Requirement/Name/LearnNeuralParasite,Learn Neural Parasite=6952
Requirement/Name/LearnObverseIncubation,Learn Obverse Incubation=6953
Requirement/Name/LearnOrganicCarapace,Learn Organic Carapace=6954
Requirement/Name/LearnPersonnelCloaking,Learn Personnel Cloaking=6955
Requirement/Name/LearnPneumatizedCarapace,Learn Pneumatized Carapace=6956
Requirement/Name/LearnProtossAirArmor1,Learn Protoss Air Armor1=6957
Requirement/Name/LearnProtossAirArmor2,Learn Protoss Air Armor2=6958
Requirement/Name/LearnProtossAirArmor3,Learn Protoss Air Armor3=6959
Requirement/Name/LearnProtossAirWeapon1,Learn Protoss Air Weapon1=6960
Requirement/Name/LearnProtossAirWeapon2,Learn Protoss Air Weapon2=6961
Requirement/Name/LearnProtossAirWeapon3,Learn Protoss Air Weapon3=6962
Requirement/Name/LearnProtossGroundArmor1,Learn Protoss Ground Armor1=6963
Requirement/Name/LearnProtossGroundArmor2,Learn Protoss Ground Armor2=6964
Requirement/Name/LearnProtossGroundArmor3,Learn Protoss Ground Armor3=6965
Requirement/Name/LearnProtossGroundWeapon1,Learn Protoss Ground Weapon1=6966
Requirement/Name/LearnProtossGroundWeapon2,Learn Protoss Ground Weapon2=6967
Requirement/Name/LearnProtossGroundWeapon3,Learn Protoss Ground Weapon3=6968
Requirement/Name/LearnProtossShield1,Learn Protoss Shield1=6969
Requirement/Name/LearnProtossShield2,Learn Protoss Shield2=6970
Requirement/Name/LearnProtossShield3,Learn Protoss Shield3=6971
Requirement/Name/LearnPsiStorm,Learn Psi Storm=6972
Requirement/Name/LearnPunisherGrenades,Learn Concussive Shells=6973
Requirement/Name/LearnRavenEnergyUpgrade,Learn Raven Energy Upgrade=6974
Requirement/Name/LearnReaperSpeed,Learn Reaper Speed=6975
Requirement/Name/LearnShieldWall,Learn Shield Wall=6976
Requirement/Name/LearnSiegeTech,Learn Siege Tech=6977
Requirement/Name/LearnStimpack,Learn Stimpack=6978
Requirement/Name/LearnStrikeCannons,Learn Strike Cannons=6979
Requirement/Name/LearnTerranBuildingArmor,Learn Terran Building Armor=6980
Requirement/Name/LearnTerranDefenseRangeBonus,Learn Terran Defense Range Bonus=6981
Requirement/Name/LearnTerranInfantryArmor1,Learn Terran Infantry Armor1=6982
Requirement/Name/LearnTerranInfantryArmor2,Learn Terran Infantry Armor2=6983
Requirement/Name/LearnTerranInfantryArmor3,Learn Terran Infantry Armor3=6984
Requirement/Name/LearnTerranInfantryWeapon1,Learn Terran Infantry Weapon1=6985
Requirement/Name/LearnTerranInfantryWeapon2,Learn Terran Infantry Weapon2=6986
Requirement/Name/LearnTerranInfantryWeapon3,Learn Terran Infantry Weapon3=6987
Requirement/Name/LearnTerranShipArmor1,Learn Terran Ship Armor1=6988
Requirement/Name/LearnTerranShipArmor2,Learn Terran Ship Armor2=6989
Requirement/Name/LearnTerranShipArmor3,Learn Terran Ship Armor3=6990
Requirement/Name/LearnTerranShipWeapon1,Learn Terran Ship Weapon1=6991
Requirement/Name/LearnTerranShipWeapon2,Learn Terran Ship Weapon2=6992
Requirement/Name/LearnTerranShipWeapon3,Learn Terran Ship Weapon3=6993
Requirement/Name/LearnTerranVehicleArmor1,Learn Terran Vehicle Armor1=6994
Requirement/Name/LearnTerranVehicleArmor2,Learn Terran Vehicle Armor2=6995
Requirement/Name/LearnTerranVehicleArmor3,Learn Terran Vehicle Armor3=6996
Requirement/Name/LearnTerranVehicleWeapon1,Learn Terran Vehicle Weapon1=6997
Requirement/Name/LearnTerranVehicleWeapon2,Learn Terran Vehicle Weapon2=6998
Requirement/Name/LearnTerranVehicleWeapon3,Learn Terran Vehicle Weapon3=6999
Requirement/Name/LearnTunnelingClaws,Learn Tunneling Claws=7000
Requirement/Name/LearnVentralSacs,Learn Ventral Sacs=7001
Requirement/Name/LearnVikingMissileUpgrade,Learn Viking Missile Upgrade=7002
Requirement/Name/LearnVoidRaySpeedUpgrade,Learn Void Ray Speed Upgrade=7003
Requirement/Name/LearnWarpGate,Learn Warp Gate=7004
Requirement/Name/LearnZergFlyerArmor1,Learn Zerg Flyer Armor1=7005
Requirement/Name/LearnZergFlyerArmor2,Learn Zerg Flyer Armor2=7006
Requirement/Name/LearnZergFlyerArmor3,Learn Zerg Flyer Armor3=7007
Requirement/Name/LearnZergFlyerAttack1,Learn Zerg Flyer Attack1=7008
Requirement/Name/LearnZergFlyerAttack2,Learn Zerg Flyer Attack2=7009
Requirement/Name/LearnZergFlyerAttack3,Learn Zerg Flyer Attack3=7010
Requirement/Name/LearnZergGroundArmor1,Learn Zerg Ground Armor1=7011
Requirement/Name/LearnZergGroundArmor2,Learn Zerg Ground Armor2=7012
Requirement/Name/LearnZergGroundArmor3,Learn Zerg Ground Armor3=7013
Requirement/Name/LearnZergMeleeWeapon1,Learn Zerg Melee Weapon1=7014
Requirement/Name/LearnZergMeleeWeapon2,Learn Zerg Melee Weapon2=7015
Requirement/Name/LearnZergMeleeWeapon3,Learn Zerg Melee Weapon3=7016
Requirement/Name/LearnZergMissileWeapon1,Learn Zerg Missile Weapon1=7017
Requirement/Name/LearnZergMissileWeapon2,Learn Zerg Missile Weapon2=7018
Requirement/Name/LearnZergMissileWeapon3,Learn Zerg Missile Weapon3=7019
Requirement/Name/MothershipRequirements,Mothership Requirements=7020
Requirement/Name/NotOnCreep,Not On Creep=7021
Requirement/Name/NotUnderConstruction,Not Under Construction=7022
Requirement/Name/OnCreep,On Creep=7023
Requirement/Name/PlayerHasTunnelingClaws,Player Has Tunneling Claws=7024
Requirement/Name/ShowIfHaveBarrAddOnParent,Show If Have Barr Add On Parent=7025
Requirement/Name/ShowIfHaveFactAddOnParent,Show If Have Fact Add On Parent=7026
Requirement/Name/ShowIfHaveNoAddOnParent,Show If Have No Add On Parent=7027
Requirement/Name/ShowIfHaveStarportAddOnParent,Show If Have Starport Add On Parent=7028
Requirement/Name/TrainNuke,Train Nuke=7029
Requirement/Name/UseBattlecruiserSpecializations,Use Battlecruiser Specializations=7030
Requirement/Name/UseBlink,Use Blink=7031
Requirement/Name/UseBurrow,Use Burrow=7032
Requirement/Name/UseCharge,Use Charge=7033
Requirement/Name/UseCloakingField,Use Cloaking Field=7034
Requirement/Name/UseFighterMode,Use Fighter Mode=7035
Requirement/Name/UseGravitonCatapult,Use Graviton Catapult=7036
Requirement/Name/UseHallucination,Use Hallucination=7037
Requirement/Name/UseHighCapacityBarrels,Use High Capacity Barrels=7038
Requirement/Name/UseHunterSeekerMissiles,Use Seeker Missiles=7039
Requirement/Name/UseNeuralParasite,Use Neural Parasite=7040
Requirement/Name/UseObverseIncubation,Use Obverse Incubation=7041
Requirement/Name/UseOverlordTransport,Use Overlord Transport=7042
Requirement/Name/UseOverseerMorph,Use Overseer Morph=7043
Requirement/Name/UsePersonalCloaking,Use Personal Cloaking=7044
Requirement/Name/UsePsiStorm,Use Psi Storm=7045
Requirement/Name/UsePunisherGrenades,Use Concussive Shells=7046
Requirement/Name/UseReaperSpeed,Use Reaper Speed=7047
Requirement/Name/UseShieldWall,Use Shield Wall=7048
Requirement/Name/UseSiegeMode,Use Siege Mode=7049
Requirement/Name/UseStimpack,Use Stimpack=7050
Requirement/Name/UseStrikeCannons,Use Strike Cannons=7051
Requirement/Name/UseSwarmInfestation,Use Swarm Infestation=7052
Requirement/Name/UseWarpGate,Use Warp Gate=7053
RequirementNode/Name/0,0=7054
RequirementNode/Name/1,1=7055
RequirementNode/Name/2,2=7056
RequirementNode/Name/20,20=7057
RequirementNode/Name/3,3=7058
RequirementNode/Name/4,4=7059
RequirementNode/Name/8,8=7060
RequirementNode/Name/9,9=7061
RequirementNode/Name/AllowUnitColossus,AllowUnit(Colossus)=7062
RequirementNode/Name/AllowUnitImmortal,AllowUnit(Immortal)=7063
RequirementNode/Name/AllowUnitMarine,AllowUnit(Marine)=7064
RequirementNode/Name/AllowUnitObserver,AllowUnit(Observer)=7065
RequirementNode/Name/AllowUnitPhoenix,AllowUnit(Phoenix)=7066
RequirementNode/Name/And3124702931CountUnitSpawningPoolCompleteOnlyTechTreeCheatCountUpgradeObverseIncubationCompleteOnlyTechTreeCheat,CountUnit(SpawningPool,CompleteOnly)[TechTreeCheat] && {Spawning Pool}CountUpgrade(ObverseIncubation,CompleteOnly)[TechTreeCheat]=7067
RequirementNode/Name/AndAllowUnitMarineNotCountUpgradeStimpackQueuedOrBetter,AllowUnit(Marine) && !CountUpgrade(Stimpack,QueuedOrBetter)=7068
RequirementNode/Name/AndCountUnitAlias_TechLabCompleteOnlyAtUnit2589852481TechTreeCheatCountUnitFusionCoreCompleteOnlyTechTreeCheat,CountUnit(Alias_TechLab,CompleteOnlyAtUnit){Attached Tech Lab}[TechTreeCheat] && CountUnit(FusionCore,CompleteOnly)[TechTreeCheat]=7069
RequirementNode/Name/AndCountUnitBarracksTechLabCompleteOnlyAtUnit2589852481TechTreeCheatCountUnitGhostAcademyCompleteOnlyTechTreeCheat,CountUnit(BarracksTechLab,CompleteOnlyAtUnit){Attached Tech Lab}[TechTreeCheat] && CountUnit(GhostAcademy,CompleteOnly)[TechTreeCheat]=7070
RequirementNode/Name/AndCountUnitFactoryTechLabCompleteOnlyAtUnit2589852481TechTreeCheatCountUnitArmoryCompleteOnlyTechTreeCheat,CountUnit(FactoryTechLab,CompleteOnlyAtUnit){Attached Tech Lab}[TechTreeCheat] && CountUnit(Armory,CompleteOnly)[TechTreeCheat]=7071
RequirementNode/Name/AndCountUnitFleetBeaconCompleteOnlyTechTreeCheatEq1228785331CountUnitMothershipQueuedOrBetter0,CountUnit(FleetBeacon,CompleteOnly)[TechTreeCheat] && CountUnit(Mothership,QueuedOrBetter) == {No Mothership}0=7072
RequirementNode/Name/AndEq1004646809CountUpgradeTerranShipWeaponsLevel2CompleteOnly1,CountUpgrade(TerranShipWeaponsLevel2,CompleteOnly) == {Terran Ship Weapons Level 2}1 && ()=7073
RequirementNode/Name/AndEq1121594928CountUpgradeTerranVehicleArmorsLevel1CompleteOnly1,CountUpgrade(TerranVehicleArmorsLevel1,CompleteOnly) == {Terran Vehicle Plating Level 1}1 && ()=7074
RequirementNode/Name/AndEq1429793488CountUpgradeTerranInfantryWeaponsLevel1CompleteOnly1CountUnitArmoryCompleteOnlyTechTreeCheat,CountUpgrade(TerranInfantryWeaponsLevel1,CompleteOnly) == {Terran Infantry Weapons Level 1}1 && CountUnit(Armory,CompleteOnly)[TechTreeCheat]=7075
RequirementNode/Name/AndEq1491800815CountUpgradeProtossAirWeaponsLevel1CompleteOnly1CountUnitFleetBeaconCompleteOnlyTechTreeCheat,CountUpgrade(ProtossAirWeaponsLevel1,CompleteOnly) == {Protoss Air Weapons Level 1}1 && CountUnit(FleetBeacon,CompleteOnly)[TechTreeCheat]=7076
RequirementNode/Name/AndEq1542947369CountUpgradeZergMeleeWeaponsLevel1CompleteOnly1CountUnitAlias_LairCompleteOnly1515591279TechTreeCheat,CountUpgrade(ZergMeleeWeaponsLevel1,CompleteOnly) == {Zerg Melee Attacks Level 1}1 && CountUnit(Alias_Lair,CompleteOnly){Lair}[TechTreeCheat]=7077
RequirementNode/Name/AndEq1695466224CountUpgradeZergGroundArmorsLevel1CompleteOnly1CountUnitAlias_LairCompleteOnly1515591279TechTreeCheat,CountUpgrade(ZergGroundArmorsLevel1,CompleteOnly) == {Zerg Ground Carapace Level 1}1 && CountUnit(Alias_Lair,CompleteOnly){Lair}[TechTreeCheat]=7078
RequirementNode/Name/AndEq1740904084CountUpgradeProtossGroundWeaponsLevel1CompleteOnly1CountUnitTwilightCouncilCompleteOnlyTechTreeCheat,CountUpgrade(ProtossGroundWeaponsLevel1,CompleteOnly) == {Protoss Ground Weapons Level 1}1 && CountUnit(TwilightCouncil,CompleteOnly)[TechTreeCheat]=7079
RequirementNode/Name/AndEq1834932227CountUpgradeTerranVehicleWeaponsLevel1CompleteOnly1,CountUpgrade(TerranVehicleWeaponsLevel1,CompleteOnly) == {Terran Vehicle Weapons Level 1}1 && ()=7080
RequirementNode/Name/AndEq1864353859CountUpgradeTerranShipArmorsLevel2CompleteOnly1,CountUpgrade(TerranShipArmorsLevel2,CompleteOnly) == {Terran Ship Plating Level 2}1 && ()=7081
RequirementNode/Name/AndEq2358983352CountUpgradeZergMissileWeaponsLevel2CompleteOnly1CountUnitHiveCompleteOnlyTechTreeCheat,CountUpgrade(ZergMissileWeaponsLevel2,CompleteOnly) == {Zerg Missile Attacks Level 2}1 && CountUnit(Hive,CompleteOnly)[TechTreeCheat]=7082
RequirementNode/Name/AndEq2419098971CountUpgradeZergFlyerWeaponsLevel2CompleteOnly1CountUnitHiveCompleteOnlyTechTreeCheat,CountUpgrade(ZergFlyerWeaponsLevel2,CompleteOnly) == {Zerg Flyer Attacks Level 2}1 && CountUnit(Hive,CompleteOnly)[TechTreeCheat]=7083
RequirementNode/Name/AndEq2480428841CountUpgradeZergMeleeWeaponsLevel2CompleteOnly1CountUnitHiveCompleteOnlyTechTreeCheat,CountUpgrade(ZergMeleeWeaponsLevel2,CompleteOnly) == {Zerg Melee Attacks Level 2}1 && CountUnit(Hive,CompleteOnly)[TechTreeCheat]=7084
RequirementNode/Name/AndEq2517918925CountUpgradeTerranVehicleArmorsLevel2CompleteOnly1,CountUpgrade(TerranVehicleArmorsLevel2,CompleteOnly) == {Terran Vehicle Plating Level 2}1 && ()=7085
RequirementNode/Name/AndEq2731442398CountUpgradeProtossAirArmorsLevel2CompleteOnly1CountUnitFleetBeaconCompleteOnlyTechTreeCheat,CountUpgrade(ProtossAirArmorsLevel2,CompleteOnly) == {Protoss Air Armor Level 2}1 && CountUnit(FleetBeacon,CompleteOnly)[TechTreeCheat]=7086
RequirementNode/Name/AndEq285961020CountUpgradeTerranShipWeaponsLevel1CompleteOnly1,CountUpgrade(TerranShipWeaponsLevel1,CompleteOnly) == {Terran Ship Weapons Level 1}1 && ()=7087
RequirementNode/Name/AndEq2966286162CountUpgradeZergMissileWeaponsLevel1CompleteOnly1CountUnitAlias_LairCompleteOnly1515591279TechTreeCheat,CountUpgrade(ZergMissileWeaponsLevel1,CompleteOnly) == {Zerg Missile Attacks Level 1}1 && CountUnit(Alias_Lair,CompleteOnly){Lair}[TechTreeCheat]=7088
RequirementNode/Name/AndEq3052852033CountUpgradeTerranShipArmorsLevel1CompleteOnly1,CountUpgrade(TerranShipArmorsLevel1,CompleteOnly) == {Terran Ship Plating Level 1}1 && ()=7089
RequirementNode/Name/AndEq3274469600CountUpgradeZergFlyerWeaponsLevel1CompleteOnly1CountUnitAlias_LairCompleteOnly1515591279TechTreeCheat,CountUpgrade(ZergFlyerWeaponsLevel1,CompleteOnly) == {Zerg Flyer Attacks Level 1}1 && CountUnit(Alias_Lair,CompleteOnly){Lair}[TechTreeCheat]=7090
RequirementNode/Name/AndEq3342497887CountUpgradeTerranInfantryWeaponsLevel2CompleteOnly1CountUnitArmoryCompleteOnlyTechTreeCheat,CountUpgrade(TerranInfantryWeaponsLevel2,CompleteOnly) == {Terran Infantry Weapons Level 2}1 && CountUnit(Armory,CompleteOnly)[TechTreeCheat]=7091
RequirementNode/Name/AndEq3354561256CountUpgradeProtossShieldsLevel1CompleteOnly1CountUnitTwilightCouncilCompleteOnlyTechTreeCheat,CountUpgrade(ProtossShieldsLevel1,CompleteOnly) == {Protoss Shields Level 1}1 && CountUnit(TwilightCouncil,CompleteOnly)[TechTreeCheat]=7092
RequirementNode/Name/AndEq3446134918CountUpgradeTerranInfantryArmorsLevel1CompleteOnly1CountUnitArmoryCompleteOnlyTechTreeCheat,CountUpgrade(TerranInfantryArmorsLevel1,CompleteOnly) == {Terran Infantry Armor Level 1}1 && CountUnit(Armory,CompleteOnly)[TechTreeCheat]=7093
RequirementNode/Name/AndEq3569156689CountUpgradeProtossGroundArmorsLevel1CompleteOnly1CountUnitTwilightCouncilCompleteOnlyTechTreeCheat,CountUpgrade(ProtossGroundArmorsLevel1,CompleteOnly) == {Protoss Ground Armor Level 1}1 && CountUnit(TwilightCouncil,CompleteOnly)[TechTreeCheat]=7094
RequirementNode/Name/AndEq3722837715CountUpgradeTerranInfantryArmorsLevel2CompleteOnly1CountUnitArmoryCompleteOnlyTechTreeCheat,CountUpgrade(TerranInfantryArmorsLevel2,CompleteOnly) == {Terran Infantry Armor Level 2}1 && CountUnit(Armory,CompleteOnly)[TechTreeCheat]=7095
RequirementNode/Name/AndEq3751249461CountUpgradeProtossShieldsLevel2CompleteOnly1CountUnitTwilightCouncilCompleteOnlyTechTreeCheat,CountUpgrade(ProtossShieldsLevel2,CompleteOnly) == {Protoss Shields Level 2}1 && CountUnit(TwilightCouncil,CompleteOnly)[TechTreeCheat]=7096
RequirementNode/Name/AndEq4090499265CountUpgradeZergGroundArmorsLevel2CompleteOnly1CountUnitHiveCompleteOnlyTechTreeCheat,CountUpgrade(ZergGroundArmorsLevel2,CompleteOnly) == {Zerg Ground Carapace Level 2}1 && CountUnit(Hive,CompleteOnly)[TechTreeCheat]=7097
