Actor/EditorSuffix/GuideVisualQuadSplat,(미사용) /// (Deprecated)=0
Sound/Name/ChallengescombinedQueen00132,ChallengescombinedQueen00132 /// ChallengescombinedQueen00132=10427
Sound/Name/ChallengescombinedQueen00133,ChallengescombinedQueen00133 /// ChallengescombinedQueen00133=10428
Sound/Name/ChallengescombinedQueen00134,ChallengescombinedQueen00134 /// ChallengescombinedQueen00134=10429
Sound/Name/ChallengescombinedQueen00135,ChallengescombinedQueen00135 /// ChallengescombinedQueen00135=10430
Sound/Name/ChallengescombinedQueen00136,ChallengescombinedQueen00136 /// ChallengescombinedQueen00136=10431
Sound/Name/ChallengescombinedQueen00137,ChallengescombinedQueen00137 /// ChallengescombinedQueen00137=10432
Sound/Name/ChallengescombinedQueen00138,ChallengescombinedQueen00138 /// ChallengescombinedQueen00138=10433
Sound/Name/ChallengescombinedQueen00139,ChallengescombinedQueen00139 /// ChallengescombinedQueen00139=10434
Sound/Name/Changeling_Death,Changeling_Death /// Changeling_Death=10435
Sound/Name/Changeling_Disguise,Changeling_Disguise /// Changeling_Disguise=10436
Sound/Name/Changeling_MarinePissed,Changeling_MarinePissed /// Changeling_MarinePissed=10437
Sound/Name/Changeling_MarineReady,Changeling_MarineReady /// Changeling_MarineReady=10438
Sound/Name/Changeling_MarineWhat,Changeling_MarineWhat /// Changeling_MarineWhat=10439
Sound/Name/Changeling_MarineYes,Changeling_MarineYes /// Changeling_MarineYes=10440
Sound/Name/Changeling_Ready,Changeling_Ready /// Changeling_Ready=10441
Sound/Name/Changeling_What,Changeling_What /// Changeling_What=10442
Sound/Name/Changeling_Yes,Changeling_Yes /// Changeling_Yes=10443
Sound/Name/Changeling_ZealotPissed,Changeling_ZealotPissed /// Changeling_ZealotPissed=10444
Sound/Name/Changeling_ZealotReady,Changeling_ZealotReady /// Changeling_ZealotReady=10445
Sound/Name/Changeling_ZealotWhat,Changeling_ZealotWhat /// Changeling_ZealotWhat=10446
Sound/Name/Changeling_ZealotYes,Changeling_ZealotYes /// Changeling_ZealotYes=10447
Sound/Name/Changling_Explode,Changling_Explode /// Changling_Explode=10448
Sound/Name/CitadelOfAdun_What,CitadelOfAdun_What /// CitadelOfAdun_What=10449
Sound/Name/Cocoon_Birth,Cocoon_Birth /// Cocoon_Birth=10450
Sound/Name/Cocoon_Death,Cocoon_Death /// Cocoon_Death=10451
Sound/Name/Colossus_AttackImpact,Colossus_AttackImpact /// Colossus_AttackImpact=10452
Sound/Name/Colossus_AttackLaunch,Colossus_AttackLaunch /// Colossus_AttackLaunch=10453
Sound/Name/Colossus_Explode,Colossus_Explode /// Colossus_Explode=10454
Sound/Name/Colossus_Pissed,Colossus_Pissed /// Colossus_Pissed=10455
Sound/Name/Colossus_Ready,Colossus_Ready /// Colossus_Ready=10456
Sound/Name/Colossus_What,Colossus_What /// Colossus_What=10457
Sound/Name/Colossus_Yes,Colossus_Yes /// Colossus_Yes=10458
Sound/Name/CommandCenter_Explode,CommandCenter_Explode /// CommandCenter_Explode=10459
Sound/Name/CommandCenter_Land,CommandCenter_Land /// CommandCenter_Land=10460
Sound/Name/CommandCenter_Movement2,CommandCenter_Movement /// CommandCenter_Movement=10461
Sound/Name/CommandCenter_Ready,CommandCenter_Ready /// CommandCenter_Ready=10462
Sound/Name/CommandCenter_UpgradeCancel,CommandCenter_UpgradeCancel /// CommandCenter_UpgradeCancel=10463
Sound/Name/CommandCenter_UpgradeToOrbitalCommand,CommandCenter_UpgradeToOrbitalCommand /// CommandCenter_UpgradeToOrbitalCommand=10464
Sound/Name/CommandCenter_UpgradeToPlanetaryFortress,CommandCenter_UpgradeToPlanetaryFortress /// CommandCenter_UpgradeToPlanetaryFortress=10465
Sound/Name/CommandCenter_What,CommandCenter_What /// CommandCenter_What=10466
Sound/Name/Corruptor_Attack,Corruptor_Attack /// Corruptor_Attack=10467
Sound/Name/Corruptor_AttackImpact,Corruptor_AttackImpact /// Corruptor_AttackImpact=10468
Sound/Name/Corruptor_AttackLaunch,Corruptor_AttackLaunch /// Corruptor_AttackLaunch=10469
Sound/Name/Corruptor_CorruptionEnd,Corruptor_CorruptionEnd /// Corruptor_CorruptionEnd=10470
Sound/Name/Corruptor_CorruptionImpact,Corruptor_CorruptionImpact /// Corruptor_CorruptionImpact=10471
Sound/Name/Corruptor_CorruptionLaunch,Corruptor_CorruptionLaunch /// Corruptor_CorruptionLaunch=10472
Sound/Name/Corruptor_CorruptionLoop,Corruptor_CorruptionLoop /// Corruptor_CorruptionLoop=10473
Sound/Name/Corruptor_Death,Corruptor_Death /// Corruptor_Death=10474
Sound/Name/Corruptor_InfestedAttackImpact,Corruptor_InfestedAttackImpact /// Corruptor_InfestedAttackImpact=10475
Sound/Name/Corruptor_InfestedAttackLaunch,Corruptor_InfestedAttackLaunch /// Corruptor_InfestedAttackLaunch=10476
Sound/Name/Corruptor_Pissed,Corruptor_Pissed /// Corruptor_Pissed=10477
Sound/Name/Corruptor_Ready,Corruptor_Ready /// Corruptor_Ready=10478
Sound/Name/Corruptor_What,Corruptor_What /// Corruptor_What=10479
Sound/Name/Corruptor_Yes,Corruptor_Yes /// Corruptor_Yes=10480
Sound/Name/Cow2_What,Cow2_What /// Cow2_What=10481
Sound/Name/Cow_What,Cow_What /// Cow_What=10482
Sound/Name/CreepTumor_Explode,CreepTumor_Explode /// CreepTumor_Explode=10483
Sound/Name/CreepTumor_Ready,CreepTumor_Ready /// CreepTumor_Ready=10484
Sound/Name/CreepTumor_What,CreepTumor_What /// CreepTumor_What=10485
Sound/Name/Critter_Burrow,Critter_Burrow /// Critter_Burrow=10486
Sound/Name/Critter_Unburrow,Critter_Unburrow /// Critter_Unburrow=10487
Sound/Name/Cutscene_SSF_KerriganSSF_007,=10488
Sound/Name/Cutscene_SSF_KerriganSSF_049,=10489
Sound/Name/Cutscene_SSF_KerriganSSF_058,=10490
Sound/Name/Cutscene_SSF_LockwellSSF_055,=10491
Sound/Name/Cutscene_SSF_MengskSSF_009,=10492
Sound/Name/Cutscene_SSF_Narrator_001,=10493
Sound/Name/Cutscene_SSF_Narrator_002,=10494
Sound/Name/Cutscene_SSF_Narrator_003,=10495
Sound/Name/Cutscene_SSF_Narrator_004,=10496
Sound/Name/Cutscene_SSF_Narrator_005,=10497
Sound/Name/Cutscene_SSF_Narrator_006,=10498
Sound/Name/Cutscene_SSF_Narrator_010,=10499
Sound/Name/Cutscene_SSF_Narrator_011,=10500
Sound/Name/Cutscene_SSF_Narrator_012,=10501
Sound/Name/Cutscene_SSF_Narrator_013,=10502
Sound/Name/Cutscene_SSF_Narrator_014,=10503
Sound/Name/Cutscene_SSF_Narrator_015,=10504
Sound/Name/Cutscene_SSF_Narrator_016,=10505
Sound/Name/Cutscene_SSF_Narrator_017,=10506
Sound/Name/Cutscene_SSF_Narrator_018,=10507
Sound/Name/Cutscene_SSF_Narrator_019,=10508
Sound/Name/Cutscene_SSF_Narrator_020,=10509
Sound/Name/Cutscene_SSF_Narrator_021,=10510
Sound/Name/Cutscene_SSF_Narrator_022,=10511
Sound/Name/Cutscene_SSF_Narrator_023,=10512
Sound/Name/Cutscene_SSF_Narrator_024,=10513
Sound/Name/Cutscene_SSF_Narrator_025,=10514
Sound/Name/Cutscene_SSF_Narrator_026,=10515
Sound/Name/Cutscene_SSF_Narrator_027,=10516
Sound/Name/Cutscene_SSF_Narrator_028,=10517
Sound/Name/Cutscene_SSF_Narrator_029,=10518
Sound/Name/Cutscene_SSF_Narrator_030,=10519
Sound/Name/Cutscene_SSF_Narrator_031,=10520
Sound/Name/Cutscene_SSF_Narrator_032,=10521
Sound/Name/Cutscene_SSF_Narrator_033,=10522
Sound/Name/Cutscene_SSF_Narrator_034,=10523
Sound/Name/Cutscene_SSF_Narrator_035,=10524
Sound/Name/Cutscene_SSF_Narrator_036,=10525
Sound/Name/Cutscene_SSF_Narrator_037,=10526
Sound/Name/Cutscene_SSF_Narrator_038,=10527
Sound/Name/Cutscene_SSF_Narrator_039,=10528
Sound/Name/Cutscene_SSF_Narrator_040,=10529
Sound/Name/Cutscene_SSF_Narrator_041,=10530
Sound/Name/Cutscene_SSF_Narrator_042,=10531
Sound/Name/Cutscene_SSF_Narrator_043,=10532
Sound/Name/Cutscene_SSF_Narrator_044,=10533
Sound/Name/Cutscene_SSF_Narrator_045,=10534
Sound/Name/Cutscene_SSF_Narrator_046,=10535
Sound/Name/Cutscene_SSF_Narrator_047,=10536
Sound/Name/Cutscene_SSF_Narrator_048,=10537
Sound/Name/Cutscene_SSF_Narrator_051,=10538
Sound/Name/Cutscene_SSF_Narrator_052,=10539
Sound/Name/Cutscene_SSF_Narrator_053,=10540
Sound/Name/Cutscene_SSF_Narrator_054,=10541
Sound/Name/Cutscene_SSF_Narrator_056,=10542
Sound/Name/Cutscene_SSF_Narrator_057,=10543
Sound/Name/Cutscene_SSF_Narrator_059,=10544
Sound/Name/Cutscene_SSF_Narrator_060,=10545
Sound/Name/Cutscene_SSF_Narrator_061,=10546
Sound/Name/Cutscene_SSF_Narrator_062,=10547
Sound/Name/Cutscene_SSF_Narrator_063,=10548
Sound/Name/Cutscene_SSF_Narrator_064,=10549
Sound/Name/Cutscene_SSF_Narrator_065,=10550
Sound/Name/Cutscene_SSF_Narrator_066,=10551
Sound/Name/Cutscene_SSF_Narrator_067,=10552
Sound/Name/Cutscene_SSF_Narrator_068,=10553
Sound/Name/Cutscene_SSF_Narrator_069,=10554
Sound/Name/Cutscene_SSF_Narrator_070,=10555
Sound/Name/Cutscene_SSF_Narrator_071,=10556
Sound/Name/Cutscene_SSF_Narrator_072,=10557
Sound/Name/Cutscene_SSF_Narrator_073,=10558
Sound/Name/Cutscene_SSF_Narrator_074,=10559
Sound/Name/Cutscene_SSF_Narrator_075,=10560
Sound/Name/Cutscene_SSF_Narrator_076,=10561
Sound/Name/Cutscene_SSF_Narrator_077,=10562
Sound/Name/Cutscene_SSF_Narrator_078,=10563
Sound/Name/Cutscene_SSF_Narrator_079,=10564
Sound/Name/Cutscene_SSF_Narrator_080,=10565
Sound/Name/Cutscene_SSF_Narrator_081,=10566
Sound/Name/Cutscene_SSF_Narrator_082,=10567
Sound/Name/Cutscene_SSF_Narrator_083,=10568
Sound/Name/Cutscene_SSF_Narrator_084,=10569
Sound/Name/Cutscene_SSF_Narrator_085,=10570
Sound/Name/Cutscene_SSF_Narrator_086,=10571
Sound/Name/Cutscene_SSF_Narrator_087,=10572
Sound/Name/Cutscene_SSF_Narrator_088,=10573
Sound/Name/Cutscene_SSF_Narrator_089,=10574
Sound/Name/Cutscene_SSF_Narrator_090,=10575
Sound/Name/Cutscene_SSF_Narrator_091,=10576
Sound/Name/Cutscene_SSF_Narrator_092,=10577
Sound/Name/Cutscene_SSF_Narrator_093,=10578
Sound/Name/Cutscene_SSF_Narrator_094,=10579
Sound/Name/Cutscene_SSF_Narrator_095,=10580
Sound/Name/Cutscene_SSF_Narrator_096,=10581
Sound/Name/Cutscene_SSF_Narrator_097,=10582
Sound/Name/Cutscene_SSF_Narrator_098,=10583
Sound/Name/Cutscene_SSF_Narrator_099,=10584
Sound/Name/Cutscene_SSF_Narrator_100,=10585
Sound/Name/Cutscene_SSF_Narrator_101,=10586
Sound/Name/Cutscene_SSF_Narrator_102,=10587
Sound/Name/Cutscene_SSF_Narrator_103,=10588
Sound/Name/Cutscene_SSF_Narrator_104,=10589
Sound/Name/Cutscene_SSF_Narrator_105,=10590
Sound/Name/Cutscene_SSF_RaynorSSF_008,=10591
Sound/Name/Cutscene_SSF_RaynorSSF_050,=10592
Sound/Name/CyberneticsCore_Explode,CyberneticsCore_Explode /// CyberneticsCore_Explode=10593
Sound/Name/CyberneticsCore_Ready,CyberneticsCore_Ready /// CyberneticsCore_Ready=10594
Sound/Name/CyberneticsCore_What,CyberneticsCore_What /// CyberneticsCore_What=10595
Sound/Name/DarkShrine_Explode,DarkShrine_Explode /// DarkShrine_Explode=10596
Sound/Name/DarkShrine_Ready,DarkShrine_Ready /// DarkShrine_Ready=10597
Sound/Name/DarkShrine_What,DarkShrine_What /// DarkShrine_What=10598
Sound/Name/DarkTemplar_Attack,DarkTemplar_Attack /// DarkTemplar_Attack=10599
Sound/Name/DarkTemplar_AttackImpact,DarkTemplar_AttackImpact /// DarkTemplar_AttackImpact=10600
Sound/Name/DarkTemplar_AttackLaunch,DarkTemplar_AttackLaunch /// DarkTemplar_AttackLaunch=10601
Sound/Name/DarkTemplar_Attack_NP,DarkTemplar_Attack_NP /// DarkTemplar_Attack_NP=10602
Sound/Name/DarkTemplar_Death,DarkTemplar_Death /// DarkTemplar_Death=10603
Sound/Name/DarkTemplar_DeathFX,DarkTemplar_DeathFX /// DarkTemplar_DeathFX=10604
Sound/Name/DarkTemplar_Death_NP,DarkTemplar_Death_NP /// DarkTemplar_Death_NP=10605
Sound/Name/DarkTemplar_Help,DarkTemplar_Help /// DarkTemplar_Help=10606
Sound/Name/DarkTemplar_NeuralParasiteAttack,DarkTemplar_NeuralParasiteAttack /// DarkTemplar_NeuralParasiteAttack=10607
Sound/Name/DarkTemplar_NeuralParasiteDeath,DarkTemplar_NeuralParasiteDeath /// DarkTemplar_NeuralParasiteDeath=10608
Sound/Name/DarkTemplar_NeuralParasiteReady,DarkTemplar_NeuralParasiteReady /// DarkTemplar_NeuralParasiteReady=10609
Sound/Name/DarkTemplar_NeuralParasiteWhat,DarkTemplar_NeuralParasiteWhat /// DarkTemplar_NeuralParasiteWhat=10610
Sound/Name/DarkTemplar_Pissed,DarkTemplar_Pissed /// DarkTemplar_Pissed=10611
Sound/Name/DarkTemplar_Ready,DarkTemplar_Ready /// DarkTemplar_Ready=10612
Sound/Name/DarkTemplar_Ready_NP,DarkTemplar_Ready_NP /// DarkTemplar_Ready_NP=10613
Sound/Name/DarkTemplar_What,DarkTemplar_What /// DarkTemplar_What=10614
Sound/Name/DarkTemplar_What_NP,DarkTemplar_What_NP /// DarkTemplar_What_NP=10615
Sound/Name/DarkTemplar_Yes,DarkTemplar_Yes /// DarkTemplar_Yes=10616
Sound/Name/DestructibleGateDeath,Destructible_GateDeath /// Destructible_GateDeath=10617
Sound/Name/Destructible_BelShir1x1Death,Destructible_BelShir1x1Death /// Destructible_BelShir1x1Death=10618
Sound/Name/Destructible_BelShir1x2Death,Destructible_BelShir1x2Death /// Destructible_BelShir1x2Death=10619
Sound/Name/Destructible_BelShir2x2Death,Destructible_BelShir2x2Death /// Destructible_BelShir2x2Death=10620
Sound/Name/Destructible_BillboardScrollingTextDeath,Destructible_BillboardScrollingTextDeath /// Destructible_BillboardScrollingTextDeath=10621
Sound/Name/Destructible_BillboardScrollingTextDeathExplo,Destructible_BillboardScrollingTextDeathExplo /// Destructible_BillboardScrollingTextDeathExplo=10622
Sound/Name/Destructible_BillboardTallDeath,Destructible_BillboardTallDeath /// Destructible_BillboardTallDeath=10623
Sound/Name/Destructible_BraxisAlpha1x1Death,Destructible_BraxisAlpha1x1Death /// Destructible_BraxisAlpha1x1Death=10624
Sound/Name/Destructible_BraxisAlpha2x2Death,Destructible_BraxisAlpha2x2Death /// Destructible_BraxisAlpha2x2Death=10625
Sound/Name/Destructible_BullhornLightsDeath,Destructible_BullhornLightsDeath /// Destructible_BullhornLightsDeath=10626
Sound/Name/Destructible_GateLower,Destructible_GateLower /// Destructible_GateLower=10627
Sound/Name/Destructible_GateRaise,Destructible_GateRaise /// Destructible_GateRaise=10628
Sound/Name/Destructible_MarSara1x1Death,Destructible_MarSara1x1Death /// Destructible_MarSara1x1Death=10629
Sound/Name/Destructible_MarSara1x2Death,Destructible_MarSara1x2Death /// Destructible_MarSara1x2Death=10630
Sound/Name/Destructible_MarSara2x2Death,Destructible_MarSara2x2Death /// Destructible_MarSara2x2Death=10631
Sound/Name/Destructible_RockDeath,Destructible_RockDeath /// Destructible_RockDeath=10632
Sound/Name/Destructible_SearchlightDeath,Destructible_SearchlightDeath /// Destructible_SearchlightDeath=10633
Sound/Name/Destructible_Shakuras1x1Death,Destructible_Shakuras1x1Death /// Destructible_Shakuras1x1Death=10634
Sound/Name/Destructible_Shakuras1x2Death,Destructible_Shakuras1x2Death /// Destructible_Shakuras1x2Death=10635
Sound/Name/Destructible_Shakuras2x2Death,Destructible_Shakuras2x2Death /// Destructible_Shakuras2x2Death=10636
Sound/Name/Destructible_SignsConstructionDeath,Destructible_SignsConstructionDeath /// Destructible_SignsConstructionDeath=10637
Sound/Name/Destructible_SignsDirectionalDeath,Destructible_SignsDirectionalDeath /// Destructible_SignsDirectionalDeath=10638
Sound/Name/Destructible_SignsFunnyDeath,Destructible_SignsFunnyDeath /// Destructible_SignsFunnyDeath=10639
Sound/Name/Destructible_SignsIconsDeath,Destructible_SignsIconsDeath /// Destructible_SignsIconsDeath=10640
Sound/Name/Destructible_SignsWarningDeath,Destructible_SignsWarningDeath /// Destructible_SignsWarningDeath=10641
Sound/Name/Destructible_SpacePlatformBarrierDeath,Destructible_SpacePlatformBarrierDeath /// Destructible_SpacePlatformBarrierDeath=10642
Sound/Name/Destructible_SpacePlatformSignDeath,Destructible_SpacePlatformSignDeath /// Destructible_SpacePlatformSignDeath=10643
Sound/Name/Destructible_StoreFrontCityPropsDeath,Destructible_StoreFrontCityPropsDeath /// Destructible_StoreFrontCityPropsDeath=10644
Sound/Name/Destructible_StreetlightDeath,Destructible_StreetlightDeath /// Destructible_StreetlightDeath=10645
Sound/Name/Destructible_TrafficSignalDeath,Destructible_TrafficSignalDeath /// Destructible_TrafficSignalDeath=10646
Sound/Name/Destructible_WallDeath,Destructible_WallDeath /// Destructible_WallDeath=10647
Sound/Name/Destructible_WallElectricBarrier,Destructible_WallElectricBarrier /// Destructible_WallElectricBarrier=10648
Sound/Name/Destructible_WallFloodlight,Destructible_WallFloodlight /// Destructible_WallFloodlight=10649
Sound/Name/Dialogue_Transmission10Seconds,Dialogue_Transmission10Seconds /// Dialogue_Transmission10Seconds=10650
Sound/Name/Dialogue_Transmission15Seconds,Dialogue_Transmission15Seconds /// Dialogue_Transmission15Seconds=10651
Sound/Name/Dialogue_Transmission5Seconds,Dialogue_Transmission5Seconds /// Dialogue_Transmission5Seconds=10652
Sound/Name/Dialogue_TransmissionStart,Dialogue_TransmissionStart /// Dialogue_TransmissionStart=10653
Sound/Name/Dog_Bark,Dog_Bark /// Dog_Bark=10654
Sound/Name/Dog_Howl,Dog_Howl /// Dog_Howl=10655
Sound/Name/Dog_What,Dog_What /// Dog_What=10656
Sound/Name/Doodad_AnimalCorpseBirdCaw,Doodad_AnimalCorpseBirdCaw /// Doodad_AnimalCorpseBirdCaw=10657
Sound/Name/Doodad_AnimalCorpseBirdWingFlaps,Doodad_AnimalCorpseBirdWingFlaps /// Doodad_AnimalCorpseBirdWingFlaps=10658
Sound/Name/Doodad_AvernusGateControlStand,Doodad_AvernusGateControlStand /// Doodad_AvernusGateControlStand=10659
Sound/Name/Doodad_BioDomeCommand,Doodad_BioDomeCommand /// Doodad_BioDomeCommand=10660
Sound/Name/Doodad_BioDomeHalfBuilt01,Doodad_BioDomeHalfBuilt01 /// Doodad_BioDomeHalfBuilt01=10661
Sound/Name/Doodad_Biodome00,Doodad_Biodome00 /// Doodad_Biodome00=10662
Sound/Name/Doodad_Biodome00Stand01,Doodad_Biodome00Stand01 /// Doodad_Biodome00Stand01=10663
Sound/Name/Doodad_Biodome02,Doodad_Biodome02 /// Doodad_Biodome02=10664
Sound/Name/Doodad_BraxisAlphaCurtain,Doodad_BraxisAlphaCurtain /// Doodad_BraxisAlphaCurtain=10665
Sound/Name/Doodad_BraxisAlphaFloodLights,Doodad_BraxisAlphaFloodLights /// Doodad_BraxisAlphaFloodLights=10666
Sound/Name/Doodad_BubbasFuelStop,Doodad_BubbasFuelStop /// Doodad_BubbasFuelStop=10667
Sound/Name/Doodad_CableLightStand01,Doodad_CableLightStand01 /// Doodad_CableLightStand01=10668
Sound/Name/Doodad_CastanarGenerator,Doodad_CastanarGenerator /// Doodad_CastanarGenerator=10669
Sound/Name/Doodad_CastanarGenerator_Loop,Doodad_CastanarGenerator_Loop /// Doodad_CastanarGenerator_Loop=10670
Sound/Name/Doodad_CastanarHoldingPenStandWork,Doodad_CastanarHoldingPenStandWork /// Doodad_CastanarHoldingPenStandWork=10671
Sound/Name/Doodad_CastanarMonitorFloor,Doodad_CastanarMonitorFloor /// Doodad_CastanarMonitorFloor=10672
Sound/Name/Doodad_CastanarMonitorLarge,Doodad_CastanarMonitorLarge /// Doodad_CastanarMonitorLarge=10673
Sound/Name/Doodad_CastanarMonitorWall,Doodad_CastanarMonitorWall /// Doodad_CastanarMonitorWall=10674
Sound/Name/Doodad_CharBlisterEgg,Doodad_CharBlisterEgg /// Doodad_CharBlisterEgg=10675
Sound/Name/Doodad_CharGlowingPods,Doodad_CharGlowingPods /// Doodad_CharGlowingPods=10676
Sound/Name/Doodad_CharIntestines,Doodad_CharIntestines /// Doodad_CharIntestines=10677
Sound/Name/Doodad_CharRockFormation,Doodad_CharRockFormation /// Doodad_CharRockFormation=10678
Sound/Name/Doodad_CharWorm,Doodad_CharWorm /// Doodad_CharWorm=10679
Sound/Name/Doodad_CivilianCarsBlinkerHigh,Doodad_CivilianCarsBlinkerHigh /// Doodad_CivilianCarsBlinkerHigh=10680
Sound/Name/Doodad_CivilianCarsBlinkerLow,Doodad_CivilianCarsBlinkerLow /// Doodad_CivilianCarsBlinkerLow=10681
Sound/Name/Doodad_CocoonedColonists,Doodad_CocoonedColonists /// Doodad_CocoonedColonists=10682
Sound/Name/Doodad_ColonistShipWrecked,Doodad_ColonistShipWrecked /// Doodad_ColonistShipWrecked=10683
Sound/Name/Doodad_ExhaustPipes03Stand,Doodad_ExhaustPipes03Stand /// Doodad_ExhaustPipes03Stand=10684
Sound/Name/Doodad_ExhaustVent,Doodad_ExhaustVent /// Doodad_ExhaustVent=10685
Sound/Name/Doodad_FanLargeFast,Doodad_FanLargeFast /// Doodad_FanLargeFast=10686
Sound/Name/Doodad_FanSmallFast,Doodad_FanSmallFast /// Doodad_FanSmallFast=10687
Sound/Name/Doodad_FanSmallSlow,Doodad_FanSmallSlow /// Doodad_FanSmallSlow=10688
Sound/Name/Doodad_FanVent,Doodad_FanVent /// Doodad_FanVent=10689
Sound/Name/Doodad_FanVentCliff,Doodad_FanVentCliff /// Doodad_FanVentCliff=10690
Sound/Name/Doodad_FireMedium,Doodad_FireMedium /// Doodad_FireMedium=10691
Sound/Name/Doodad_FlameGeyserStandWorkLoop,Doodad_FlameGeyserStandWorkLoop /// Doodad_FlameGeyserStandWorkLoop=10692
Sound/Name/Doodad_FlameGeyserStandWorkStart,Doodad_FlameGeyserStandWorkStart /// Doodad_FlameGeyserStandWorkStart=10693
Sound/Name/Doodad_Floodlight01,Doodad_Floodlight01 /// Doodad_Floodlight01=10694
Sound/Name/Doodad_HavenDoodadsCrates,Doodad_HavenDoodadsCrates /// Doodad_HavenDoodadsCrates=10695
Sound/Name/Doodad_HavenDoodadsCratesCovers,Doodad_HavenDoodadsCratesCovers /// Doodad_HavenDoodadsCratesCovers=10696
Sound/Name/Doodad_HighYieldConveyorBelt,Doodad_HighYieldConveyorBelt /// Doodad_HighYieldConveyorBelt=10697
Sound/Name/Doodad_KorhalStoreFrontSteam,Doodad_KorhalStoreFrontSteam /// Doodad_KorhalStoreFrontSteam=10698
Sound/Name/Doodad_LaserDrill,Doodad_LaserDrill /// Doodad_LaserDrill=10699
Sound/Name/Doodad_LavaFlareStand01,Doodad_LavaFlareStand01 /// Doodad_LavaFlareStand01=10700
Sound/Name/Doodad_LavaSplashBig,Doodad_LavaSplashBig /// Doodad_LavaSplashBig=10701
Sound/Name/Doodad_LavafallLarge,Doodad_LavafallLarge /// Doodad_LavafallLarge=10702
Sound/Name/Doodad_LavafallSmall,Doodad_LavafallSmall /// Doodad_LavafallSmall=10703
Sound/Name/Doodad_MarSaraConveyorBelt00,Doodad_MarSaraConveyorBelt00 /// Doodad_MarSaraConveyorBelt00=10704
Sound/Name/Doodad_MarSaraCrack00,Doodad_MarSaraCrack00 /// Doodad_MarSaraCrack00=10705
Sound/Name/Doodad_MarSaraCrane00,Doodad_MarSaraCrane00 /// Doodad_MarSaraCrane00=10706
Sound/Name/Doodad_MarSaraCrane00Stage0,Doodad_MarSaraCrane00Stage0 /// Doodad_MarSaraCrane00Stage0=10707
Sound/Name/Doodad_MarSaraCrane00Stage1,Doodad_MarSaraCrane00Stage1 /// Doodad_MarSaraCrane00Stage1=10708
Sound/Name/Doodad_MarSaraCrane00Stage2,Doodad_MarSaraCrane00Stage2 /// Doodad_MarSaraCrane00Stage2=10709
Sound/Name/Doodad_MarSaraCrane00Stage3,Doodad_MarSaraCrane00Stage3 /// Doodad_MarSaraCrane00Stage3=10710
Sound/Name/Doodad_MarSaraCrane00Stage4,Doodad_MarSaraCrane00Stage4 /// Doodad_MarSaraCrane00Stage4=10711
Sound/Name/Doodad_MarSaraCrane00Stage5,Doodad_MarSaraCrane00Stage5 /// Doodad_MarSaraCrane00Stage5=10712
Sound/Name/Doodad_MarSaraCrane00Stage6,Doodad_MarSaraCrane00Stage6 /// Doodad_MarSaraCrane00Stage6=10713
Sound/Name/Doodad_MarSaraCrane00Stage7,Doodad_MarSaraCrane00Stage7 /// Doodad_MarSaraCrane00Stage7=10714
Sound/Name/Doodad_MarSaraCrane01,Doodad_MarSaraCrane01 /// Doodad_MarSaraCrane01=10715
Sound/Name/Doodad_MarSaraCrane02,Doodad_MarSaraCrane02 /// Doodad_MarSaraCrane02=10716
Sound/Name/Doodad_MarSaraCrane02Stage0,Doodad_MarSaraCrane02Stage0 /// Doodad_MarSaraCrane02Stage0=10717
Sound/Name/Doodad_MarSaraCrane02Stage1,Doodad_MarSaraCrane02Stage1 /// Doodad_MarSaraCrane02Stage1=10718
Sound/Name/Doodad_MarSaraCrane02Stage2,Doodad_MarSaraCrane02Stage2 /// Doodad_MarSaraCrane02Stage2=10719
Sound/Name/Doodad_MarSaraCrane02Stage3,Doodad_MarSaraCrane02Stage3 /// Doodad_MarSaraCrane02Stage3=10720
Sound/Name/Doodad_MarSaraCrane02Stage4,Doodad_MarSaraCrane02Stage4 /// Doodad_MarSaraCrane02Stage4=10721
Sound/Name/Doodad_MarSaraCrane02Stage5,Doodad_MarSaraCrane02Stage5 /// Doodad_MarSaraCrane02Stage5=10722
Sound/Name/Doodad_MarSaraCrane02Stage6,Doodad_MarSaraCrane02Stage6 /// Doodad_MarSaraCrane02Stage6=10723
Sound/Name/Doodad_MarSaraCrane02Stage7,Doodad_MarSaraCrane02Stage7 /// Doodad_MarSaraCrane02Stage7=10724
Sound/Name/Doodad_MarSaraCrane02Stage8,Doodad_MarSaraCrane02Stage8 /// Doodad_MarSaraCrane02Stage8=10725
Sound/Name/Doodad_MarSaraCrane03,Doodad_MarSaraCrane03 /// Doodad_MarSaraCrane03=10726
Sound/Name/Doodad_MetalWall,Doodad_MetalWall /// Doodad_MetalWall=10727
Sound/Name/Doodad_MetalWallDiagonal,Doodad_MetalWallDiagonal /// Doodad_MetalWallDiagonal=10728
Sound/Name/Doodad_NewFolsomPrisonEntranceStandWork,Doodad_NewFolsomPrisonEntranceStandWork /// Doodad_NewFolsomPrisonEntranceStandWork=10729
Sound/Name/Doodad_NewFolsomPrisonTower,Doodad_NewFolsomPrisonTower /// Doodad_NewFolsomPrisonTower=10730
Sound/Name/Doodad_NewFolsomPrisonTowerSound,Doodad_NewFolsomPrisonTowerSound /// Doodad_NewFolsomPrisonTowerSound=10731
Sound/Name/Doodad_OuthouseLaunchStage1,Doodad_OuthouseLaunchStage1 /// Doodad_OuthouseLaunchStage1=10732
