AUTHENTICATION_BETA_REGION,베타 /// Beta=0
Button/Name/CommanderTraitKerriganLeapingStrike,사령관 고유 능력 케리건 도약 공격=9815
Button/Name/CommanderTraitKerriganPsionicShift,사령관 고유 능력 케리건 사이오닉 돌진=9816
Button/Name/CommanderTraitMengskDogsofWar,사령관 고유 능력 멩스크 전쟁의 개 /// Commander Trait Mengsk Dogs of War=9817
Button/Name/CommanderTraitMengskForcedConscription,사령관 고유 능력 멩스크 강제 징집 /// Commander Trait Mengsk Forced Conscription=9818
Button/Name/CommanderTraitMengskNuclearAnnihilation,사령관 고유 능력 멩스크 핵 섬멸 /// Commander Trait Mengsk Nuclear Annihilation=9819
Button/Name/CommanderTraitNovaDefensiveDrone,사령관 고유 능력 노바 방어 드론=9820
Button/Name/CommanderTraitNovaInstantRegeneration,사령관 고유 능력 노바 순간 재활=9821
Button/Name/CommanderTraitNovaStealthMode,사령관 고유 능력 노바 은신 모드=9822
Button/Name/CommanderTraitRaynorHyperionHyperjump,사령관 고유 능력 레이너 히페리온 초공간 도약=9823
Button/Name/CommanderTraitRaynorHyperionYamatoCannon,사령관 고유 능력 레이너 히페리온 야마토 포=9824
Button/Name/CommanderTraitRaynorSummonHyperion,사령관 고유 능력 레이너 히페리온 소환=9825
Button/Name/CommanderTraitStetmannAnchoredMassReallocation,사령관 고유 능력 스텟만 다소 불안정한 대규모 이동 /// Commander Trait Stetmann Semi-Stable Mass Transportation=9826
Button/Name/CommanderTraitStetmannGary,사령관 고유 능력 스텟먼 개리 /// Commander Trait Stetmann Gary=9827
Button/Name/CommanderTraitStetmannStetellites,사령관 고유 능력 스텟먼 이곤위성 /// Commander Trait Stetmann Stetellites=9828
Button/Name/CommanderTraitStukovInfestStructure,사령관 고유 능력 스투코프 구조물 감염=9829
Button/Name/CommanderTraitStukovInfestedColonistCompound,사령관 고유 능력 스투코프 감염된 거주민 수용소=9830
Button/Name/CommanderTraitStukovInfestedHorde,사령관 고유 능력 스투코프 감염된 무리=9831
Button/Name/CommanderTraitStukovPsiEmitter,사령관 고유 능력 스투코프 사이오닉 방출기=9832
Button/Name/CommanderTraitSwannConcentratedBeam,사령관 고유 능력 스완 집중 광선=9833
Button/Name/CommanderTraitSwannDrakkenLaserDrill,사령관 고유 능력 스완 드라켄 레이저 천공기=9834
Button/Name/CommanderTraitSwannDrakkenLaserDrillAttack,사령관 고유 능력 스완 드라켄 레이저 천공기 공격=9835
Button/Name/CommanderTraitTychusOdin,오딘이 소환되어 제한된 시간 동안 전투를 펼칩니다. /// Calls down the Odin to fight for a limited time. =9836
Button/Name/CommanderTraitTychusOutlawRecruitment,사령관 고유 능력 타이커스 무법자 고용 /// Commander Trait Tychus Outlaw Recruitment=9837
Button/Name/CommanderTraitTychusShredderGrenade,사령관 고유 능력 타이커스 분쇄 수류탄 /// Commander Trait Tychus Shredder Grenade=9838
Button/Name/CommanderTraitVorazunSOABlackHole,사령관 고유 능력 보라준 SOA블랙홀=9839
Button/Name/CommanderTraitVorazunSOASummonDarkPylon,사령관 고유 능력 보라준 SOA암흑 수정탑 소환=9840
Button/Name/CommanderTraitVorazunSOASummonShadowGuard,사령관 고유 능력 보라준 SOA그림자 파수대 소환=9841
Button/Name/CommanderTraitZagaraBanelingBarrage,사령관 고유 능력 자가라 맹독충 난사=9842
Button/Name/CommanderTraitZagaraMassFrenzy,사령관 고유 능력 자가라 대규모 광란=9843
Button/Name/CommanderTraitZagaraSpawnHunterKillers,사령관 고유 능력 자가라 추적 도살자 생성=9844
Button/Name/CommanderTraitZeratulAvatarsofFormandEssence,사령관 고유 능력 제라툴 형체 및 정수의 화신 /// Commander Trait Zeratul Avatars of Form and Essence=9845
Button/Name/CommanderTraitZeratulLegendaryLegions,사령관 고유 능력 제라툴 전설 군단 /// Commander Trait Zeratul Legendary Legions=9846
Button/Name/CommanderTraitZeratulPropheticVision,사령관 고유 능력 제라툴 예언의 시야 /// Commander Trait Zeratul Prophetic Vision=9847
Button/Name/CommanderTychusLevel01,옛 생각 나는데 /// Just Like Old Times=9848
Button/Name/CommanderTychusLevel02,다다익선 /// More the Merrier=9849
Button/Name/CommanderTychusLevel03,오딘 /// Odin=9850
Button/Name/CommanderTychusLevel04,새로운 무법자: 케브 "방울뱀" 웨스트 /// New Outlaw: Kev "Rattlesnake" West=9851
Button/Name/CommanderTychusLevel05,공학 연구소 추가 업그레이드 /// Engineering Bay Upgrade Cache=9852
Button/Name/CommanderTychusLevel06,새로운 무법자: 제임스 "시리우스" 사이크스 /// New Outlaw: James "Sirius" Sykes=9853
Button/Name/CommanderTychusLevel07,첫 잔은 공짜 /// First One’s on the House=9854
Button/Name/CommanderTychusLevel08,신규 무법자: 롭 "대포알" 보스웰 /// New Outlaw: Rob "Cannonball" Boswell=9855
Button/Name/CommanderTychusLevel09,데려다 줄까? /// Need a Ride?=9856
Button/Name/CommanderTychusLevel10,새로운 무법자: 베가 /// New Outlaw: Vega=9857
Button/Name/CommanderTychusLevel11,슬쩍하면 공짜 /// Five Finger Discount=9858
Button/Name/CommanderTychusLevel12,주요 추가 궁극 장비 /// Primary Ultimate Gear Cache=9859
Button/Name/CommanderTychusLevel13,장전 완료 /// Fully Loaded=9860
Button/Name/CommanderTychusLevel14,고급 추가 궁극 장비 /// Advanced Ultimate Gear Cache=9861
Button/Name/CommanderTychusLevel15,커다란 빨간색 버튼 /// Big Red Button=9862
Button/Name/CommanderVorazunCloakedUnitsDamageBoost,어둠 속의 습격 /// Strike from the Shadows=9863
Button/Name/CommanderVorazunDarkArchonUpgradesPack,암흑 집정관 추가 업그레이드 /// Dark Archon Upgrade Cache=9864
Button/Name/CommanderVorazunDarkPylonRecall,암흑 수정탑: 소환 /// Dark Pylon: Recall=9865
Button/Name/CommanderVorazunDarkTemplarUpgradesPack,암흑 기사 추가 업그레이드 /// Dark Templar Upgrade Cache=9866
Button/Name/CommanderVorazunFleetBeaconUpgradesPack,함대 신호소 추가 업그레이드 /// Fleet Beacon Upgrade Cache=9867
Button/Name/CommanderVorazunImprovedShieldRegeneration,그림자 장막 /// Veil of Shadows=9868
Button/Name/CommanderVorazunImprovedSpearofAdunBlackhole,아둔의 창: 사건 지평선 /// Spear of Adun: Event Horizon=9869
Button/Name/CommanderVorazunImprovedTimeStop,아둔의 창: 시간 조작 /// Spear of Adun: Chronomancy=9870
Button/Name/CommanderVorazunShadowGuardGainDetectionSuppression,그림자 파수대: 공허의 장막=9871
Button/Name/CommanderVorazunShadowGuardIncreasedSpawnCount,그림자 군단=9872
Button/Name/CommanderVorazunShadowStalk,아둔의 장막 /// Shroud of Adun=9873
Button/Name/CommanderVorazunSpearofAdunEmergencyRecall,아둔의 창: 긴급 귀환 /// Spear of Adun: Emergency Recall=9874
Button/Name/CommanderVorazunSpearofAdunOrbitalAssimilators,아둔의 창: 궤도 융화소 /// Spear of Adun: Orbital Assimilators=9875
Button/Name/CommanderVorazunSpearofAdunTimeStop,아둔의 창: 시간 정지 /// Spear of Adun: Time Stop=9876
Button/Name/CommanderVorazunTwilightCouncilUpgradesPack,황혼 의회 추가 업그레이드 /// Twilight Council Upgrade Cache=9877
Button/Name/CommanderVorazunUnlockDarkArchon,새 유닛: 암흑 집정관 /// New Unit: Dark Archon=9878
Button/Name/CommanderZagaraBanelingEvolutionSplitterling,맹독충 진화: 쌍독충=9879
Button/Name/CommanderZagaraBanelingNestUpgradesPack,맹독충 둥지 추가 업그레이드 /// Baneling Nest Upgrade Cache=9880
Button/Name/CommanderZagaraBileLauncherUpgradesPack,부패 주둥이 추가 업그레이드 /// Bile Launcher Upgrade Cache=9881
Button/Name/CommanderZagaraEvolutionChamberUpgradesPack,진화장 추가 업그레이드 /// Evolution Chamber Upgrade Cache=9882
Button/Name/CommanderZagaraImprovedInjectLarva,애벌레 주입 /// Inject Larvae=9883
Button/Name/CommanderZagaraImprovedMassRoachDrop,시커먼 하늘 /// Darken the Skies=9884
Button/Name/CommanderZagaraIncubateBanelings,맹독충과 갈귀 부화 /// Incubate Banelings and Scourge=9885
Button/Name/CommanderZagaraIncubateBroodlings,공생충 부화=9886
Button/Name/CommanderZagaraMassRoachDrop,감염체 투하 /// Infested Drop=9887
Button/Name/CommanderZagaraMasterSpawner,무리어미 /// Broodmother=9888
Button/Name/CommanderZagaraRelentless,무자비한 군단 /// Relentless Swarmer=9889
Button/Name/CommanderZagaraScourgeUpgradesPack,갈귀 추가 업그레이드 /// Scourge Upgrade Cache=9890
Button/Name/CommanderZagaraUnlockBileLauncher,새 유닛: 부패 주둥이 /// New Unit: Bile Launcher=9891
Button/Name/CommanderZagaraVolatileBanelingNest,맹독충 둥지: 부화실 /// Baneling Nest: Birthing Chamber=9892
Button/Name/CommanderZagaraZerglingEvolutionSwarmling,저글링 진화: 군단충 /// Zergling Evolution: Swarmling=9893
Button/Name/CommanderZagaraZerglingUpgradesPack,저글링 추가 업그레이드 /// Zergling Upgrade Cache=9894
Button/Name/CommanderZeratulLevel01,젤나가의 힘 /// Power of the Xel'Naga=9895
Button/Name/CommanderZeratulLevel02,실현된 예언 /// Prophecy Fulfilled=9896
Button/Name/CommanderZeratulLevel03,통로 추가 강화 1 /// Passageway Enhancement Cache 1=9897
Button/Name/CommanderZeratulLevel04,새로운 유닛: 젤나가 중재기 /// New Unit: Xel'Naga Abrogator=9898
Button/Name/CommanderZeratulLevel05,테서랙트 추가 강화 /// Tesseract Enhancement Cache=9899
Button/Name/CommanderZeratulLevel06,피조물 추가 강화 1 /// Constructs Enhancement Cache 1=9900
Button/Name/CommanderZeratulLevel07,공허의 길 /// Path of the Void=9901
Button/Name/CommanderZeratulLevel08,강화된 군단 /// Empowered Legions=9902
Button/Name/CommanderZeratulLevel09,새로운 유닛: 젤나가 공허 전송기 /// New Unit: Xel'Naga Void Array=9903
Button/Name/CommanderZeratulLevel10,시간 측정 /// Chronometry=9904
Button/Name/CommanderZeratulLevel11,통로 추가 강화 2 /// Passageway Enhancement Cache 2=9905
Button/Name/CommanderZeratulLevel12,암흑 대리인 /// Dark Agency=9906
Button/Name/CommanderZeratulLevel13,피조물 추가 강화 2 /// Constructs Enhancement Cache 2=9907
Button/Name/CommanderZeratulLevel14,순수한 완벽 /// Purity of Perfection=9908
Button/Name/CommanderZeratulLevel15,순수한 의지 /// Purity of Will=9909
Button/Name/ConcussiveGrenade,충격탄 /// Concussive Shells=9910
Button/Name/Contaminate,오염 /// Contaminate=9911
Button/Name/CorruptionAbility,타락 /// Corruption=9912
Button/Name/Corruptor,타락귀로 변태 /// Morph to Corruptor=9913
Button/Name/CreepTumor,점막 종양 /// Creep Tumor=9914
Button/Name/CyberneticsCore,인공제어소 소환 /// Warp In Cybernetics Core=9915
Button/Name/D8Charge,D-8 폭탄 /// D8 Charge=9916
Button/Name/DarkShrine,암흑 성소 소환 /// Warp In Dark Shrine=9917
Button/Name/DarkTemplar,암흑 기사 소환 /// Warp In Dark Templar=9918
Button/Name/Detector,탐지기 /// Detector=9919
Button/Name/DisableBuildingAttack,구조물 공격 사용 안 함 /// Disable Structure Attack=9920
Button/Name/Disguise,위장 /// Disguise=9921
Button/Name/Drone,일벌레로 변태 /// Morph to Drone=9922
Button/Name/EMP,EMP 탄환 /// EMP Round=9923
Button/Name/EnableBuildingAttack,구조물 공격 사용 /// Enable Structure Attack=9924
Button/Name/EngineeringBay,공학 연구소 건설 /// Build Engineering Bay=9925
Button/Name/EvolutionChamber,진화장으로 변이 /// Mutate into Evolution Chamber=9926
Button/Name/EvolveAnabolicSynthesis2,합성 동화 작용 진화 /// Evolve Anabolic Synthesis=9927
Button/Name/EvolveCentrificalHooks,원심 고리 진화 /// Evolve Centrifugal Hooks=9928
Button/Name/EvolveChitinousPlating,키틴질 장갑 진화 /// Evolve Chitinous Plating=9929
Button/Name/EvolveGlialRegeneration,신경 재구성 진화 /// Evolve Glial Reconstitution=9930
Button/Name/EvolveInfestorEnergyUpgrade,병원균 분비선 진화 /// Evolve Pathogen Glands=9931
Button/Name/EvolveOrganicCarapace,유기 갑피 진화 /// Evolve Organic Carapace=9932
Button/Name/EvolvePeristalsis,연동 운동 진화 /// Evolve Peristalsis=9933
Button/Name/EvolveTunnelingClaws,땅굴 발톱 진화 /// Evolve Tunneling Claws=9934
Button/Name/EvolveVentralSacks,배주머니 진화 /// Evolve Ventral Sacs=9935
Button/Name/Explode,폭발 /// Explode=9936
Button/Name/Extractor,추출장으로 변이 /// Mutate into Extractor=9937
Button/Name/Factory,군수공장 건설 /// Build Factory=9938
Button/Name/Feedback,환류 /// Feedback=9939
Button/Name/FighterMode,전투기 모드 /// Fighter Mode=9940
Button/Name/FleetBeacon,함대 신호소 소환 /// Warp In Fleet Beacon=9941
Button/Name/ForceField,역장 /// Force Field=9942
Button/Name/Forge,제련소 소환 /// Warp In Forge=9943
Button/Name/Frenzied,광란 /// Frenzied=9944
Button/Name/Frenzy,광란 /// Frenzy=9945
Button/Name/FungalGrowth,진균 번식 /// Fungal Growth=9946
Button/Name/FusionCore,융합로 건설 /// Build Fusion Core=9947
Button/Name/Gateway,관문 소환 /// Warp In Gateway=9948
Button/Name/Gather,채취 /// Gather=9949
Button/Name/GatherMULE,채취 /// Gather=9950
Button/Name/GatherProt,채취 /// Gather=9951
Button/Name/GatherTerr,채취 /// Gather=9952
Button/Name/GatherZerg,채취 /// Gather=9953
Button/Name/GenerateCreep,점막 생성 /// Generate Creep=9954
Button/Name/Ghost,유령 훈련 /// Train Ghost=9955
Button/Name/GhostAcademy,유령 사관학교 건설 /// Build Ghost Academy=9956
Button/Name/GhostAlternate,유령 훈련 /// Train Ghost=9957
Button/Name/GhostHoldFire,공격 중지 /// Hold Fire=9958
Button/Name/GravitonBeam,중력자 광선 /// Graviton Beam=9959
Button/Name/GravitonCatapult,중력자 발사기 /// Graviton Catapult=9960
Button/Name/GreaterSpire,거대 둥지탑으로 변이 /// Mutate into Greater Spire=9961
Button/Name/GuardianShield,수호 방패 /// Guardian Shield=9962
Button/Name/Hallucination,환상 /// Hallucination=9963
Button/Name/HardenedShield,강화 보호막 /// Hardened Shield=9964
Button/Name/Hatchery,부화장으로 변이 /// Mutate into Hatchery=9965
Button/Name/Heal,치료 /// Heal=9966
Button/Name/Hellion,화염차 생산 /// Build Hellion=9967
Button/Name/Herd,무리 섞이기 /// Herd=9968
Button/Name/HighTemplar,고위 기사 소환 /// Warp In High Templar=9969
Button/Name/HighTemplarHallucination,고위 기사 환상 2개 소환 /// Summon 2 High Templar Hallucinations=9970
Button/Name/Hive,군락으로 변이 /// Mutate into Hive=9971
Button/Name/HunterSeekerMissile,추적 미사일 /// Seeker Missile=9972
Button/Name/Hydralisk,히드라리스크로 변태 /// Morph to Hydralisk=9973
Button/Name/HydraliskDen,히드라리스크 굴로 변이 /// Mutate into Hydralisk Den=9974
Button/Name/Immortal,불멸자 소환 /// Warp In Immortal=9975
Button/Name/ImmortalHallucination,불멸자 환상 소환 /// Summon Immortal Hallucination=9976
Button/Name/InfestationPit,감염 구덩이로 변이 /// Mutate into Infestation Pit=9977
Button/Name/InfestedTerrans,감염된 테란 /// Infested Terran=9978
Button/Name/Infestor,감염충으로 변태 /// Morph to Infestor=9979
Button/Name/Interceptor,요격기 생산 /// Build Interceptor=9980
Button/Name/JetPack,추진기 /// Jet Pack=9981
Button/Name/Lair,번식지로 변이 /// Mutate into Lair=9982
Button/Name/Land,착륙 /// Land =9983
Button/Name/Larva,애벌레 선택 /// Select Larva=9984
Button/Name/Leech,에너지 착취 /// Leech=9985
Button/Name/Lift,이륙 /// Lift Off=9986
Button/Name/Load,들이기 /// Load=9987
Button/Name/LoadOutSpray,스프레이 /// Sprays=9988
Button/Name/LoadOutSpray@1,스프레이 버튼 1 /// Spray Button 1=9989
Button/Name/LoadOutSpray@10,스프레이 버튼 10 /// Spray Button 10=9990
Button/Name/LoadOutSpray@11,스프레이 버튼 11 /// Spray Button 11=9991
Button/Name/LoadOutSpray@12,스프레이 버튼 12 /// Spray Button 12=9992
Button/Name/LoadOutSpray@13,스프레이 버튼 13 /// Spray Button 13=9993
Button/Name/LoadOutSpray@14,스프레이 버튼 14 /// Spray Button 14=9994
Button/Name/LoadOutSpray@2,스프레이 버튼 2 /// Spray Button 2=9995
Button/Name/LoadOutSpray@3,스프레이 버튼 3 /// Spray Button 3=9996
Button/Name/LoadOutSpray@4,스프레이 버튼 4 /// Spray Button 4=9997
Button/Name/LoadOutSpray@5,스프레이 버튼 5 /// Spray Button 5=9998
Button/Name/LoadOutSpray@6,스프레이 버튼 6 /// Spray Button 6=9999
Button/Name/LoadOutSpray@7,스프레이 버튼 7 /// Spray Button 7=10000
Button/Name/LoadOutSpray@8,스프레이 버튼 8 /// Spray Button 8=10001
Button/Name/LoadOutSpray@9,스프레이 버튼 9 /// Spray Button 9=10002
Button/Name/LoadOutSprayDefault,기본 스프레이 /// Spray Default=10003
Button/Name/Lower,내리기 /// Lower=10004
Button/Name/Marauder,불곰 훈련 /// Train Marauder=10005
Button/Name/Marine,해병 훈련 /// Train Marine=10006
Button/Name/MassRecall,대규모 소환 /// Mass Recall=10007
Button/Name/MasteryAbathurBiomassRefund,생체 물질 회수 확률 /// Biomass Recovery Chance=10008
Button/Name/MasteryAbathurDoubleBiomass,생체 물질 확률 2배 /// Double Biomass Chance=10009
Button/Name/MasteryAbathurMendHeal,치유 회복 지속 시간 /// Mend Healing Duration=10010
Button/Name/MasteryAbathurSymbioteCDR,공생체 능력 재사용 대기시간 /// Symbiote Ability Cooldown=10011
Button/Name/MasteryAbathurSymbioteCarapace,공생체 능력 향상 /// Symbiote Ability Improvement=10012
Button/Name/MasteryAbathurTechFastBuild,구조물 변이 및 진화 속도 /// Structure Morph and Evolution Rate=10013
Button/Name/MasteryAbathurToxicNestCharge,독성 둥지 최대 충전 및 재사용 대기시간 /// Toxic Nest Maximum Charges and Cooldown=10014
Button/Name/MasteryAbathurToxicNestDamageAndRespawn,독성 둥지 공격력 /// Toxic Nest Damage=10015
Button/Name/MasteryAlarakAutoAttackDamage,알라라크 공격력 /// Alarak Attack Damage=10016
Button/Name/MasteryAlarakChronoBoostSpeed,시간 증폭 효율 /// Chrono Boost Efficiency=10017
Button/Name/MasteryAlarakCocoonTimer,알라라크 신호소 소환 시간 /// Alarak Beacon Warp In Time=10018
Button/Name/MasteryAlarakDeathFleetCDR,죽음의 함대 재사용 대기시간 /// Death Fleet Cooldown=10019
Button/Name/MasteryAlarakEmpowerMeSlavesDuration,날 강화하라 지속 시간 /// Empower Me Duration=10020
Button/Name/MasteryAlarakOverchargeShieldsDamage,구조물 과충전 보호막 및 공격 속도 /// Structure Overcharge Shield and Attack Speed=10021
Button/Name/MasteryAlarakUnitAttackSpeed,전투 유닛 공격 속도 /// Combat Unit Attack Speed=10022
Button/Name/MasteryArtanisChronoBoost,시간 증폭 효율 /// Chrono Boost Efficiency=10023
Button/Name/MasteryArtanisEnergyRegenCooldown,에너지 재생 증가 및 재사용 대기시간 감소 /// Energy Regeneration and Cooldown Reduction=10024
Button/Name/MasteryArtanisGuardianShellHeal,수호 보호막 체력 및 보호막 회복 /// Guardian Shell Life and Shield Restoration=10025
Button/Name/MasteryArtanisShieldOvercharge,보호막 과충전 지속 시간 및 피해 흡수 /// Shield Overcharge Duration and Damage Absorption=10026
Button/Name/MasteryArtanisShieldOverchargeCDR,보호막 과충전 재사용 대기시간 /// Shield Overcharge Cooldown=10027
Button/Name/MasteryArtanisSoAPowerFieldHaste,소환된 유닛 속도 향상 /// Speed Increases for Warped In Units=10028
Button/Name/MasteryArtanisStartingAndMaxSoAEnergy,아둔의 창 초기 및 최대 에너지 /// Initial and Maximum Spear of Adun Energy=10029
Button/Name/MasteryArtanisWarpChargeCooldown,차원 충전 재사용 대기시간 감소 /// Warp Charge Cooldown Reduction=10030
Button/Name/MasteryDehakaAttackSpeed,데하카 공격 속도 /// Dehaka Attack Speed=10031
Button/Name/MasteryDehakaBossTimedLife,무리 우두머리 활성화 지속 시간 /// Pack Leaders Active Duration=10032
Button/Name/MasteryDehakaConsumeDuration,섭취 강화 효과 지속 시간 /// Devour Buff Duration=10033
Button/Name/MasteryDehakaConsumeHealing,섭취 치유량 증가 /// Devour Healing Increase=10034
Button/Name/MasteryDehakaDoubleHealEssence,정수 치유 두 배 /// Essence Heals Doubled=10035
Button/Name/MasteryDehakaGeneMutation,유전자 돌연변이 확률 /// Gene Mutation Chance=10036
Button/Name/MasteryDehakaPrimalWurmCDR,거대 원시 벌레 재사용 대기시간 /// Greater Primal Wurm Cooldown=10037
Button/Name/MasteryFenixChampionAttackSpeed,용사 인공지능 공격 속도 /// Champion A.I. Attack Speed=10038
Button/Name/MasteryFenixChampionLifeShieldBuff,용사 인공지능 체력 및 보호막 /// Champion A.I. Life and Shields=10039
Button/Name/MasteryFenixChronoBoostExtra,시간 증폭 효율 /// Chrono Boost Efficiency=10040
Button/Name/MasteryFenixExtraStartingSupply,추가 시작 보급품 /// Extra Starting Supply=10041
Button/Name/MasteryFenixSuitAttackSpeed,피닉스 전투복 공격 속도 /// Fenix Suit Attack Speed=10042
Button/Name/MasteryFenixSuitEnergyRegen,피닉스 전투복 오프라인 에너지 재생률 /// Fenix Suit Offline Energy Regeneration=10043
Button/Name/MasteryHornerAirStrikeDistance,공중 함대 이동 거리 /// Air Fleet Travel Distance=10044
Button/Name/MasteryHornerBetterDeathRattle,죽음 확률 강화 /// Stronger Death Chance=10045
Button/Name/MasteryHornerBomberRadius,타격 전투기 범위 효과  /// Strike Fighter Area of Effect=10046
Button/Name/MasteryHornerDoubleSalvageChance,두 배의 회수 확률 /// Double Salvage Chance=10047
Button/Name/MasteryHornerLPSHeal,호너의 유닛 체력 재생 /// Horner's Units Life Regeneration=10048
Button/Name/MasteryHornerMSOBonus,소중한 사람 보너스 /// Significant Other Bonuses=10049
Button/Name/MasteryHornerMagMineUpgrades,자기 지뢰 충전 수 증가 및 재사용 대기시간 및 설치 시간 /// Mag Mine Charges, Cooldown, and Arming Time=10050
Button/Name/MasteryKaraxBuildingVital,구조물 체력 및 보호막 /// Structure Life and Shields=10051
Button/Name/MasteryKaraxChronoBoostSpeed,시간 증폭 효율 /// Chrono Boost Efficiency=10052
Button/Name/MasteryKaraxRepairBeamHeal,재구축 광선 치료 속도 /// Repair Beam Healing Rate=10053
Button/Name/MasteryKaraxSoAChronoRegen,시간의 파도 에너지 재생 /// Chrono Wave Energy Generation=10054
Button/Name/MasteryKaraxStartingAndMaxSoAEnergy,아둔의 창 초기 및 최대 에너지 /// Initial and Maximum Spear of Adun Energy=10055
Button/Name/MasteryKaraxUnitCost,전투 유닛 자원 비용 /// Combat Unit Resource Cost=10056
Button/Name/MasteryKaraxUnitVital,전투 유닛 체력 및 보호막 /// Combat Unit Life and Shields=10057
Button/Name/MasteryKerriganArmyGasCost,전투 유닛 베스핀 가스 비용 /// Combat Unit Vespene Gas Cost=10058
Button/Name/MasteryKerriganAssimilationAuraDuration,동화 오라 지속 시간 /// Assimilation Aura Duration=10059
Button/Name/MasteryKerriganAutoAttackDamage,케리건 공격력 /// Kerrigan Attack Damage=10060
Button/Name/MasteryKerriganCocoonTimer,케리건 고치 생성 시간 /// Kerrigan Cocoon Birth Time=10061
Button/Name/MasteryKerriganEnergyRegen,케리건 에너지 재생 /// Kerrigan Energy Regeneration=10062
Button/Name/MasteryKerriganImmobilizationDamage,강화된 구속의 파동 /// Augmented Immobilization Wave=10063
Button/Name/MasteryKerriganLarvaRate,애벌레 생성 속도 /// Larva Spawn Rate=10064
Button/Name/MasteryKerriganMutatingCarapaceLifeDegradation,연장된 변이 갑피 /// Prolonged Mutating Carapace=10065
Button/Name/MasteryKerriganPrimarySpeedDamage,주 능력 공격력 및 공격 속도 /// Primary Ability Damage and Attack Speed=10066
Button/Name/MasteryKerriganResearchSpeedandCost,효율적 진화 /// Expeditious Evolutions=10067
Button/Name/MasteryMengsk1,황제 지지: 인부 및 부대원 /// Laborer and Trooper Imperial Support=10068
Button/Name/MasteryMengsk2,황제 지지: 근위대  /// Royal Guard Imperial Support=10069
Button/Name/MasteryMengsk3,끔찍한 피해 /// Terrible Damage=10070
Button/Name/MasteryMengsk4,근위대 생산 비용 /// Royal Guard Cost=10071
Button/Name/MasteryMengsk5,황제의 통치력 초기값 /// Starting Imperial Mandate=10072
Button/Name/MasteryMengsk6,근위대 경험치 획득률 /// Royal Guard Experience Gain Rate=10073
Button/Name/MasteryNovaArmyAttackSpeed,전투 유닛 공격 속도 /// Combat Unit Attack Speed=10074
Button/Name/MasteryNovaArmyOOCRegenSpeed,유닛 체력 재생 /// Unit Life Regeneration=10075
Button/Name/MasteryNovaDroneCooldown,노바 드론 재사용 대기시간=10076
Button/Name/MasteryNovaEnergyRegen,노바 에너지 재생 /// Nova Energy Regeneration=10077
Button/Name/MasteryNovaGriffinCooldown,그리핀 공습 비용 /// Griffin Airstrike Cost=10078
Button/Name/MasteryNovaNukeAndHoloDecoyCooldown,핵/홀로그램 분신 재사용 대기시간 /// Nuke and Holo Decoy Cooldown=10079
Button/Name/MasteryNovaOdinDuration,노바 오딘 지속 시간=10080
Button/Name/MasteryNovaPrimaryAbilityImprovement,노바 주 능력 향상 /// Nova Primary Ability Improvement=10081
Button/Name/MasteryNovaReviveTimer,노바 부활 초시계=10082
Button/Name/MasteryNovaWeaponAttackDamage,노바 공격력 /// Nova Attack Damage=10083
Button/Name/MasteryNovaWeaponAttackSpeed,노바 공격 속도 /// Nova Attack Speed=10084
Button/Name/MasteryRaynorDropPodHaste,낙하기 유닛 속도 향상 /// Speed Increases for Drop Pod Units =10085
Button/Name/MasteryRaynorDuskWingCooldown,밴시 공습 재사용 대기시간 /// Banshee Airstrike Cooldown=10086
Button/Name/MasteryRaynorHyperionCooldown,히페리온 재사용 대기시간 /// Hyperion Cooldown=10087
Button/Name/MasteryRaynorImprovedSafeguard,의무관 치료 중 피해 감소 /// Damage Reduction during Medic Heals=10088
Button/Name/MasteryRaynorMechAttackSpeed,기계 공격 속도 /// Mech Attack Speed=10089
Button/Name/MasteryRaynorMedicSecondaryHeal,의무관이 추가 대상 치료 /// Medics Heal Additional Target=10090
Button/Name/MasteryRaynorResearchCost,연구 자원 비용 /// Research Resource Cost=10091
Button/Name/MasteryRaynorStimDuration,전투 자극제 지속 시간 /// Stimpack Duration=10092
Button/Name/MasteryStetmannDeployStetelliteCooldown,이곤위성 배치 재사용 대기시간 /// Deploy Stetellite Cooldown=10093
Button/Name/MasteryStetmannGaryAbilityCooldown,개리 능력 재사용 대기시간 /// Gary Ability Cooldown=10094
Button/Name/MasteryStetmannMaximumEgonergyPool,최대 이곤에너지 보유량 /// Maximum Egonergy Pool=10095
Button/Name/MasteryStetmannStetzoneBonuses,이곤지역 보너스 /// Stetzone Bonuses=10096
Button/Name/MasteryStetmannStructureMorphRate,구조물 변형 속도 /// Structure Morph Rate=10097
Button/Name/MasteryStetmannUpgradeResourceCost,업그레이드 자원 비용 /// Upgrade Resource Cost=10098
Button/Name/MasteryStukovAleksanderCDR,알렉산더 재사용 대기시간 /// Aleksander Cooldown=10099
Button/Name/MasteryStukovApocaliskCDR,아포칼리스크 재사용 대기시간 /// Apocalisk Cooldown=10100
Button/Name/MasteryStukovBroodlingSpawnRate,감염된 구조물 생성률=10101
Button/Name/MasteryStukovInfestStructureCDR,구조물 감염 재사용 대기시간 /// Infest Structure Cooldown=10102
Button/Name/MasteryStukovMechAttackSpeed,기계 공격 속도 /// Mech Attack Speed=10103
Button/Name/MasteryStukovTimedLife,감염된 보병 지속 시간=10104
Button/Name/MasteryStukovUnitMoveSpeed,전투 유닛 이동 속도 /// Combat Unit Movement Speed=10105
Button/Name/MasteryStukovUnitRegenSpeed,유닛 체력 재생 /// Unit Life Regeneration=10106
