Button/Hotkey/Taunt,T=0
Button/Hotkey/CancelSlot_GRS,Slash,F12,Escape=1078
Button/Hotkey/CancelSlot_NRS,F12,Escape=1079
Button/Hotkey/CancelSlot_USD,Escape=1080
Button/Hotkey/CancelSlot_USDL,F12,Escape=1081
Button/Hotkey/CancelUpgradeMorph,Escape=1082
Button/Hotkey/Cancel_GLS,B,Escape=1083
Button/Hotkey/Cancel_GRS,Slash,F12,Escape=1084
Button/Hotkey/Cancel_NRS,F12,Escape=1085
Button/Hotkey/Cancel_USD,Escape=1086
Button/Hotkey/Cancel_USDL,F12,Escape=1087
Button/Hotkey/Carrier,C=1088
Button/Hotkey/Carrier_NRS,I=1089
Button/Hotkey/Carrier_USD,C=1090
Button/Hotkey/Carrier_USDL,I=1091
Button/Hotkey/Charge,C=1092
Button/Hotkey/Charge_NRS,G=1093
Button/Hotkey/Charge_USD,C=1094
Button/Hotkey/Charge_USDL,G=1095
Button/Hotkey/CloakOff,D=1096
Button/Hotkey/CloakOff_NRS,SemiColon=1097
Button/Hotkey/CloakOff_SC1,C=1098
Button/Hotkey/CloakOff_USD,D=1099
Button/Hotkey/CloakOff_USDL,SemiColon=1100
Button/Hotkey/CloakOn,C=1101
Button/Hotkey/CloakOnBanshee,C=1102
Button/Hotkey/CloakOnBanshee_NRS,L=1103
Button/Hotkey/CloakOnBanshee_USD,C=1104
Button/Hotkey/CloakOnBanshee_USDL,L=1105
Button/Hotkey/CloakOnGhost,C=1106
Button/Hotkey/CloakOnGhost_NRS,L=1107
Button/Hotkey/CloakOnGhost_USD,C=1108
Button/Hotkey/CloakOnGhost_USDL,L=1109
Button/Hotkey/CloakOn_NRS,L=1110
Button/Hotkey/CloakOn_SC1,C=1111
Button/Hotkey/CloakOn_USD,C=1112
Button/Hotkey/CloakOn_USDL,L=1113
Button/Hotkey/CloakingField,=1114
Button/Hotkey/CloakingField_USD,=1115
Button/Hotkey/CloakingField_USDL,=1116
Button/Hotkey/Colossus,C=1117
Button/Hotkey/ColossusHallucination,C=1118
Button/Hotkey/ColossusHallucination_NRS,K=1119
Button/Hotkey/ColossusHallucination_SC1,V=1120
Button/Hotkey/ColossusHallucination_USD,C=1121
Button/Hotkey/ColossusHallucination_USDL,K=1122
Button/Hotkey/Colossus_NRS,L=1123
Button/Hotkey/Colossus_SC1,V=1124
Button/Hotkey/Colossus_USD,C=1125
Button/Hotkey/Colossus_USDL,L=1126
Button/Hotkey/CommandCenter,C=1127
Button/Hotkey/CommandCenterLoad,O=1128
Button/Hotkey/CommandCenterLoad_NRS,A=1129
Button/Hotkey/CommandCenterLoad_USD,O=1130
Button/Hotkey/CommandCenterLoad_USDL,A=1131
Button/Hotkey/CommandCenterUnloadAll,D=1132
Button/Hotkey/CommandCenterUnloadAll_USD,D=1133
Button/Hotkey/CommandCenterUnloadAll_USDL,D=1134
Button/Hotkey/CommandCenter_USD,C=1135
Button/Hotkey/CommandCenter_USDL,C=1136
Button/Hotkey/CommanderKaraxUnlockSOAPassiveOrbitalStrike,F=1137
Button/Hotkey/Contaminate,E=1138
Button/Hotkey/Contaminate_NRS,T=1139
Button/Hotkey/Contaminate_USD,E=1140
Button/Hotkey/Contaminate_USDL,T=1141
Button/Hotkey/CorruptionAbility,C=1142
Button/Hotkey/CorruptionAbility_NRS,I=1143
Button/Hotkey/CorruptionAbility_USD,C=1144
Button/Hotkey/CorruptionAbility_USDL,I=1145
Button/Hotkey/Corruptor,C=1146
Button/Hotkey/Corruptor_NRS,P=1147
Button/Hotkey/Corruptor_USD,C=1148
Button/Hotkey/Corruptor_USDL,P=1149
Button/Hotkey/CreepTumor,C=1150
Button/Hotkey/CreepTumor_NRS,N=1151
Button/Hotkey/CreepTumor_USD,C=1152
Button/Hotkey/CreepTumor_USDL,N=1153
Button/Hotkey/CyberneticsCore,Y=1154
Button/Hotkey/CyberneticsCore_USD,Y=1155
Button/Hotkey/CyberneticsCore_USDL,Y=1156
Button/Hotkey/DarkShrine,D=1157
Button/Hotkey/DarkShrine_NRS,K=1158
Button/Hotkey/DarkShrine_SC1,K=1159
Button/Hotkey/DarkShrine_USD,D=1160
Button/Hotkey/DarkShrine_USDL,K=1161
Button/Hotkey/DarkTemplar,D=1162
Button/Hotkey/DarkTemplar_NRS,K=1163
Button/Hotkey/DarkTemplar_SC1,K=1164
Button/Hotkey/DarkTemplar_USD,D=1165
Button/Hotkey/DarkTemplar_USDL,K=1166
Button/Hotkey/Disguise,None=1167
Button/Hotkey/Disguise_USD,None=1168
Button/Hotkey/Disguise_USDL,None=1169
Button/Hotkey/Drone,D=1170
Button/Hotkey/Drone_NRS,N=1171
Button/Hotkey/Drone_USD,D=1172
Button/Hotkey/Drone_USDL,N=1173
Button/Hotkey/EMP,E=1174
Button/Hotkey/EMP_NRS,U=1175
Button/Hotkey/EMP_USD,E=1176
Button/Hotkey/EMP_USDL,U=1177
Button/Hotkey/EngineeringBay,E=1178
Button/Hotkey/EngineeringBay_NRS,N=1179
Button/Hotkey/EngineeringBay_USD,E=1180
Button/Hotkey/EngineeringBay_USDL,N=1181
Button/Hotkey/EvolutionChamber,V=1182
Button/Hotkey/EvolutionChamber_USD,V=1183
Button/Hotkey/EvolutionChamber_USDL,V=1184
Button/Hotkey/EvolveAnabolicSynthesis2,A=1185
Button/Hotkey/EvolveAnabolicSynthesis2_NRS,A=1186
Button/Hotkey/EvolveAnabolicSynthesis2_SC1,A=1187
Button/Hotkey/EvolveAnabolicSynthesis2_USD,A=1188
Button/Hotkey/EvolveAnabolicSynthesis2_USDL,A=1189
Button/Hotkey/EvolveCentrificalHooks,C=1190
Button/Hotkey/EvolveCentrificalHooks_USD,C=1191
Button/Hotkey/EvolveCentrificalHooks_USDL,C=1192
Button/Hotkey/EvolveChitinousPlating,C=1193
Button/Hotkey/EvolveChitinousPlating_USD,C=1194
Button/Hotkey/EvolveChitinousPlating_USDL,C=1195
Button/Hotkey/EvolveGlialRegeneration,G=1196
Button/Hotkey/EvolveGlialRegeneration_USD,G=1197
Button/Hotkey/EvolveGlialRegeneration_USDL,G=1198
Button/Hotkey/EvolveInfestorEnergyUpgrade,G=1199
Button/Hotkey/EvolveInfestorEnergyUpgrade_SC1,M=1200
Button/Hotkey/EvolveInfestorEnergyUpgrade_USD,G=1201
Button/Hotkey/EvolveInfestorEnergyUpgrade_USDL,G=1202
Button/Hotkey/EvolveOrganicCarapace,O=1203
Button/Hotkey/EvolveOrganicCarapace_NRS,P=1204
Button/Hotkey/EvolveOrganicCarapace_USD,O=1205
Button/Hotkey/EvolveOrganicCarapace_USDL,P=1206
Button/Hotkey/EvolvePeristalsis,P=1207
Button/Hotkey/EvolvePeristalsis_USD,P=1208
Button/Hotkey/EvolvePeristalsis_USDL,P=1209
Button/Hotkey/EvolveTunnelingClaws,T=1210
Button/Hotkey/EvolveTunnelingClaws_USD,T=1211
Button/Hotkey/EvolveTunnelingClaws_USDL,T=1212
Button/Hotkey/EvolveVentralSacks,E=1213
Button/Hotkey/EvolveVentralSacks_NRS,V=1214
Button/Hotkey/EvolveVentralSacks_SC1,V=1215
Button/Hotkey/EvolveVentralSacks_USD,E=1216
Button/Hotkey/EvolveVentralSacks_USDL,V=1217
Button/Hotkey/Explode,X=1218
Button/Hotkey/Explode_NRS,L=1219
Button/Hotkey/Explode_USD,X=1220
Button/Hotkey/Explode_USDL,L=1221
Button/Hotkey/Extractor,E=1222
Button/Hotkey/Extractor_NRS,K=1223
Button/Hotkey/Extractor_USD,E=1224
Button/Hotkey/Extractor_USDL,K=1225
Button/Hotkey/Factory,F=1226
Button/Hotkey/Factory_NRS,O=1227
Button/Hotkey/Factory_USD,F=1228
Button/Hotkey/Factory_USDL,O=1229
Button/Hotkey/Feedback,F=1230
Button/Hotkey/Feedback_NRS,L=1231
Button/Hotkey/Feedback_USD,F=1232
Button/Hotkey/Feedback_USDL,L=1233
Button/Hotkey/FighterMode,E=1234
Button/Hotkey/FighterMode_NRS,I=1235
Button/Hotkey/FighterMode_USD,E=1236
Button/Hotkey/FighterMode_USDL,I=1237
Button/Hotkey/FleetBeacon,F=1238
Button/Hotkey/FleetBeacon_NRS,L=1239
Button/Hotkey/FleetBeacon_USD,F=1240
Button/Hotkey/FleetBeacon_USDL,L=1241
Button/Hotkey/ForceField,F=1242
Button/Hotkey/ForceField_NRS,I=1243
Button/Hotkey/ForceField_USD,F=1244
Button/Hotkey/ForceField_USDL,I=1245
Button/Hotkey/Forge,F=1246
Button/Hotkey/Forge_NRS,O=1247
Button/Hotkey/Forge_USD,F=1248
Button/Hotkey/Forge_USDL,O=1249
Button/Hotkey/Frenzy,Y=1250
Button/Hotkey/Frenzy_NRS,J=1251
Button/Hotkey/Frenzy_USD,Y=1252
Button/Hotkey/Frenzy_USDL,J=1253
Button/Hotkey/FungalGrowth,F=1254
Button/Hotkey/FungalGrowth_NRS,L=1255
Button/Hotkey/FungalGrowth_USD,F=1256
Button/Hotkey/FungalGrowth_USDL,L=1257
Button/Hotkey/FusionCore,C=1258
Button/Hotkey/FusionCore_NRS,U=1259
Button/Hotkey/FusionCore_USD,C=1260
Button/Hotkey/FusionCore_USDL,U=1261
Button/Hotkey/Gateway,G=1262
Button/Hotkey/Gateway_USD,G=1263
Button/Hotkey/Gateway_USDL,G=1264
Button/Hotkey/Gather,G=1265
Button/Hotkey/GatherMULE,G=1266
Button/Hotkey/GatherMULE_USD,G=1267
Button/Hotkey/GatherMULE_USDL,G=1268
Button/Hotkey/GatherProt,G=1269
Button/Hotkey/GatherProt_USD,G=1270
Button/Hotkey/GatherProt_USDL,G=1271
Button/Hotkey/GatherTerr,G=1272
Button/Hotkey/GatherTerr_USD,G=1273
Button/Hotkey/GatherTerr_USDL,G=1274
Button/Hotkey/GatherZerg,G=1275
Button/Hotkey/GatherZerg_USD,G=1276
Button/Hotkey/GatherZerg_USDL,G=1277
Button/Hotkey/Gather_USD,G=1278
Button/Hotkey/Gather_USDL,G=1279
Button/Hotkey/GenerateCreep,G=1280
Button/Hotkey/GenerateCreep_USD,G=1281
Button/Hotkey/GenerateCreep_USDL,G=1282
Button/Hotkey/Ghost,G=1283
Button/Hotkey/GhostAcademy,G=1284
Button/Hotkey/GhostAcademy_USD,G=1285
Button/Hotkey/GhostAcademy_USDL,G=1286
Button/Hotkey/GhostAlternate,L=1287
Button/Hotkey/GhostAlternate_NRS,L=1288
Button/Hotkey/GhostAlternate_SC1,L=1289
Button/Hotkey/GhostAlternate_USD,L=1290
Button/Hotkey/GhostAlternate_USDL,L=1291
Button/Hotkey/GhostHoldFire,F=1292
Button/Hotkey/GhostHoldFire_USD,F=1293
Button/Hotkey/GhostHoldFire_USDL,F=1294
Button/Hotkey/Ghost_NRS,G=1295
Button/Hotkey/Ghost_SC1,G=1296
Button/Hotkey/Ghost_USD,G=1297
Button/Hotkey/Ghost_USDL,G=1298
Button/Hotkey/GravitonBeam,G=1299
Button/Hotkey/GravitonBeam_NRS,I=1300
Button/Hotkey/GravitonBeam_USD,G=1301
Button/Hotkey/GravitonBeam_USDL,I=1302
Button/Hotkey/GravitonCatapult,G=1303
Button/Hotkey/GreaterSpire,G=1304
Button/Hotkey/GreaterSpire_USD,G=1305
Button/Hotkey/GreaterSpire_USDL,G=1306
Button/Hotkey/GuardianShield,G=1307
Button/Hotkey/GuardianShield_USD,G=1308
Button/Hotkey/GuardianShield_USDL,G=1309
Button/Hotkey/Hallucination,C=1310
Button/Hotkey/Hallucination_NRS,L=1311
Button/Hotkey/Hallucination_SC1,L=1312
Button/Hotkey/Hallucination_USD,C=1313
Button/Hotkey/Hallucination_USDL,L=1314
Button/Hotkey/Halt,T=1315
Button/Hotkey/Halt_NRS,T=1316
Button/Hotkey/Halt_SC1,T=1317
Button/Hotkey/Halt_USD,T=1318
Button/Hotkey/Halt_USDL,T=1319
Button/Hotkey/HardenedShield,None=1320
Button/Hotkey/HardenedShield_USD,None=1321
Button/Hotkey/HardenedShield_USDL,None=1322
Button/Hotkey/Hatchery,H=1323
Button/Hotkey/Hatchery_USD,H=1324
Button/Hotkey/Hatchery_USDL,H=1325
Button/Hotkey/Heal,E=1326
Button/Hotkey/Heal_NRS,X=1327
Button/Hotkey/Heal_USD,E=1328
Button/Hotkey/Heal_USDL,X=1329
Button/Hotkey/Hellion,E=1330
Button/Hotkey/Hellion_NRS,H=1331
Button/Hotkey/Hellion_SC1,V=1332
Button/Hotkey/Hellion_USD,E=1333
Button/Hotkey/Hellion_USDL,H=1334
Button/Hotkey/HighTemplar,T=1335
Button/Hotkey/HighTemplarHallucination,T=1336
Button/Hotkey/HighTemplarHallucination_NRS,H=1337
Button/Hotkey/HighTemplarHallucination_USD,T=1338
Button/Hotkey/HighTemplarHallucination_USDL,H=1339
Button/Hotkey/HighTemplar_NRS,H=1340
Button/Hotkey/HighTemplar_USD,T=1341
Button/Hotkey/HighTemplar_USDL,H=1342
Button/Hotkey/Hive,H=1343
Button/Hotkey/Hive_USD,H=1344
Button/Hotkey/Hive_USDL,H=1345
Button/Hotkey/HoldFire,F=1346
Button/Hotkey/HoldFire_USD,F=1347
Button/Hotkey/HoldFire_USDL,F=1348
Button/Hotkey/HunterSeekerMissile,R=1349
Button/Hotkey/HunterSeekerMissile_NRS,L=1350
Button/Hotkey/HunterSeekerMissile_USD,R=1351
Button/Hotkey/HunterSeekerMissile_USDL,L=1352
Button/Hotkey/Hydralisk,H=1353
Button/Hotkey/HydraliskDen,H=1354
Button/Hotkey/HydraliskDen_SC1,D=1355
Button/Hotkey/HydraliskDen_USD,H=1356
Button/Hotkey/HydraliskDen_USDL,H=1357
Button/Hotkey/Hydralisk_USD,H=1358
Button/Hotkey/Hydralisk_USDL,H=1359
Button/Hotkey/Immortal,I=1360
Button/Hotkey/ImmortalHallucination,I=1361
Button/Hotkey/ImmortalHallucination_USD,I=1362
Button/Hotkey/ImmortalHallucination_USDL,I=1363
Button/Hotkey/Immortal_USD,I=1364
Button/Hotkey/Immortal_USDL,I=1365
Button/Hotkey/Infestation,T=1366
Button/Hotkey/InfestationPit,I=1367
Button/Hotkey/InfestationPit_USD,I=1368
Button/Hotkey/InfestationPit_USDL,I=1369
Button/Hotkey/Infestation_USD,T=1370
Button/Hotkey/Infestation_USDL,T=1371
Button/Hotkey/InfestedTerrans,T=1372
Button/Hotkey/InfestedTerrans_NRS,I=1373
Button/Hotkey/InfestedTerrans_SC1,I=1374
Button/Hotkey/InfestedTerrans_USD,T=1375
Button/Hotkey/InfestedTerrans_USDL,I=1376
Button/Hotkey/Infestor,F=1377
Button/Hotkey/Infestor_NRS,I=1378
Button/Hotkey/Infestor_USD,F=1379
Button/Hotkey/Infestor_USDL,I=1380
Button/Hotkey/Interceptor,I=1381
Button/Hotkey/Interceptor_USD,I=1382
Button/Hotkey/Interceptor_USDL,I=1383
Button/Hotkey/Lair,L=1384
Button/Hotkey/Lair_NRS,H=1385
Button/Hotkey/Lair_USD,L=1386
Button/Hotkey/Lair_USDL,H=1387
Button/Hotkey/Land,L=1388
Button/Hotkey/Land_NRS,F=1389
Button/Hotkey/Land_USD,L=1390
Button/Hotkey/Land_USDL,F=1391
Button/Hotkey/Larva,S=1392
Button/Hotkey/Larva_NRS,L=1393
Button/Hotkey/Larva_USD,S=1394
Button/Hotkey/Larva_USDL,L=1395
Button/Hotkey/Leech,Y=1396
Button/Hotkey/Leech_USD,Y=1397
Button/Hotkey/Leech_USDL,Y=1398
Button/Hotkey/Lift,L=1399
Button/Hotkey/Lift_NRS,F=1400
Button/Hotkey/Lift_USD,L=1401
Button/Hotkey/Lift_USDL,F=1402
Button/Hotkey/Load,C=1403
Button/Hotkey/LoadOutSpray,Y=1404
Button/Hotkey/LoadOutSpray@1,Q=1405
Button/Hotkey/LoadOutSpray@10,G=1406
Button/Hotkey/LoadOutSpray@11,Z=1407
Button/Hotkey/LoadOutSpray@12,X=1408
Button/Hotkey/LoadOutSpray@13,C=1409
Button/Hotkey/LoadOutSpray@14,V=1410
Button/Hotkey/LoadOutSpray@2,W=1411
Button/Hotkey/LoadOutSpray@3,E=1412
Button/Hotkey/LoadOutSpray@4,R=1413
Button/Hotkey/LoadOutSpray@5,T=1414
Button/Hotkey/LoadOutSpray@6,A=1415
Button/Hotkey/LoadOutSpray@7,S=1416
Button/Hotkey/LoadOutSpray@8,D=1417
Button/Hotkey/LoadOutSpray@9,F=1418
Button/Hotkey/Load_NRS,A=1419
Button/Hotkey/Load_USD,L=1420
Button/Hotkey/Load_USDL,A=1421
Button/Hotkey/Lower,R=1422
Button/Hotkey/Lower_NRS,O=1423
Button/Hotkey/Lower_USD,R=1424
Button/Hotkey/Lower_USDL,O=1425
Button/Hotkey/Marauder,D=1426
Button/Hotkey/Marauder_NRS,U=1427
Button/Hotkey/Marauder_SC1,F=1428
Button/Hotkey/Marauder_USD,D=1429
Button/Hotkey/Marauder_USDL,U=1430
Button/Hotkey/Marine,A=1431
Button/Hotkey/Marine_NRS,M=1432
Button/Hotkey/Marine_SC1,M=1433
Button/Hotkey/Marine_USD,A=1434
Button/Hotkey/Marine_USDL,M=1435
Button/Hotkey/MassRecall,R=1436
Button/Hotkey/MassRecall_NRS,L=1437
Button/Hotkey/MassRecall_USD,R=1438
Button/Hotkey/MassRecall_USDL,L=1439
Button/Hotkey/Medivac,D=1440
Button/Hotkey/MedivacLoad,L=1441
Button/Hotkey/MedivacLoad_NRS,A=1442
Button/Hotkey/MedivacLoad_USD,L=1443
Button/Hotkey/MedivacLoad_USDL,A=1444
Button/Hotkey/MedivacUnloadAll,D=1445
Button/Hotkey/MedivacUnloadAll_SC1,U=1446
Button/Hotkey/MedivacUnloadAll_USD,D=1447
Button/Hotkey/MedivacUnloadAll_USDL,D=1448
Button/Hotkey/Medivac_NRS,M=1449
Button/Hotkey/Medivac_USD,D=1450
Button/Hotkey/Medivac_USDL,M=1451
Button/Hotkey/MissileTurret,T=1452
Button/Hotkey/MissileTurret_NRS,M=1453
Button/Hotkey/MissileTurret_USD,T=1454
Button/Hotkey/MissileTurret_USDL,M=1455
Button/Hotkey/MorphBackToGateway,M=1456
Button/Hotkey/MorphBackToGateway_NRS,A=1457
Button/Hotkey/MorphBackToGateway_USD,M=1458
Button/Hotkey/MorphBackToGateway_USDL,A=1459
Button/Hotkey/MorphMorphalisk,V=1460
Button/Hotkey/MorphMorphalisk_NRS,L=1461
Button/Hotkey/MorphMorphalisk_USD,V=1462
Button/Hotkey/MorphMorphalisk_USDL,L=1463
Button/Hotkey/MorphToOverseer,V=1464
Button/Hotkey/MorphToOverseer_USD,V=1465
Button/Hotkey/MorphToOverseer_USDL,V=1466
Button/Hotkey/MorphtoOverseerNormal,R=1467
Button/Hotkey/MorphtoOverseerNormal_NRS,R=1468
Button/Hotkey/MorphtoOverseerNormal_SC1,R=1469
Button/Hotkey/MorphtoOverseerNormal_USD,R=1470
Button/Hotkey/MorphtoOverseerNormal_USDL,R=1471
Button/Hotkey/MorphtoOverseerSiege,W=1472
Button/Hotkey/MorphtoOverseerSiege_NRS,W=1473
Button/Hotkey/MorphtoOverseerSiege_SC1,W=1474
Button/Hotkey/MorphtoOverseerSiege_USD,W=1475
Button/Hotkey/MorphtoOverseerSiege_USDL,W=1476
Button/Hotkey/Mothership,M=1477
Button/Hotkey/Mothership_USD,M=1478
Button/Hotkey/Mothership_USDL,M=1479
Button/Hotkey/Move,M=1480
Button/Hotkey/MoveHoldPosition,H=1481
Button/Hotkey/MoveHoldPosition_USD,H=1482
Button/Hotkey/MoveHoldPosition_USDL,H=1483
Button/Hotkey/MovePatrol,P=1484
Button/Hotkey/MovePatrol_USD,P=1485
Button/Hotkey/MovePatrol_USDL,P=1486
Button/Hotkey/Move_USD,M=1487
Button/Hotkey/Move_USDL,M=1488
Button/Hotkey/Mutalisk,T=1489
Button/Hotkey/Mutalisk_NRS,M=1490
Button/Hotkey/Mutalisk_SC1,M=1491
Button/Hotkey/Mutalisk_USD,T=1492
Button/Hotkey/Mutalisk_USDL,M=1493
Button/Hotkey/NeuralParasite,E=1494
Button/Hotkey/NeuralParasite_NRS,N=1495
Button/Hotkey/NeuralParasite_USD,E=1496
Button/Hotkey/NeuralParasite_USDL,N=1497
Button/Hotkey/Nexus,N=1498
Button/Hotkey/Nexus_USD,N=1499
Button/Hotkey/Nexus_USDL,N=1500
Button/Hotkey/NukeArm,N=1501
Button/Hotkey/NukeArm_USD,N=1502
Button/Hotkey/NukeArm_USDL,N=1503
Button/Hotkey/NukeCalldown,N=1504
Button/Hotkey/NukeCalldown_USD,N=1505
Button/Hotkey/NukeCalldown_USDL,N=1506
Button/Hotkey/NydusCanal,N=1507
Button/Hotkey/NydusCanalLoad,L=1508
Button/Hotkey/NydusCanalLoad_NRS,A=1509
Button/Hotkey/NydusCanalLoad_USD,L=1510
Button/Hotkey/NydusCanalLoad_USDL,A=1511
Button/Hotkey/NydusCanalUnloadAll,D=1512
Button/Hotkey/NydusCanalUnloadAll_SC1,U=1513
Button/Hotkey/NydusCanalUnloadAll_USD,D=1514
Button/Hotkey/NydusCanalUnloadAll_USDL,D=1515
Button/Hotkey/NydusCanal_SC1,N=1516
Button/Hotkey/NydusCanal_USD,N=1517
Button/Hotkey/NydusCanal_USDL,N=1518
Button/Hotkey/NydusNetwork,N=1519
Button/Hotkey/NydusNetwork_USD,N=1520
Button/Hotkey/NydusNetwork_USDL,N=1521
Button/Hotkey/Observer,B=1522
Button/Hotkey/Observer_NRS,O=1523
Button/Hotkey/Observer_SC1,O=1524
Button/Hotkey/Observer_USD,B=1525
Button/Hotkey/Observer_USDL,O=1526
Button/Hotkey/ObverseIncubation,B=1527
Button/Hotkey/ObverseIncubation_USD,B=1528
Button/Hotkey/ObverseIncubation_USDL,B=1529
Button/Hotkey/OrbitalCommand,B=1530
Button/Hotkey/OrbitalCommand_NRS,O=1531
Button/Hotkey/OrbitalCommand_SC1,C=1532
Button/Hotkey/OrbitalCommand_USD,B=1533
Button/Hotkey/OrbitalCommand_USDL,O=1534
Button/Hotkey/Overlord,V=1535
Button/Hotkey/OverlordTransportLoad,L=1536
Button/Hotkey/OverlordTransportLoad_NRS,A=1537
Button/Hotkey/OverlordTransportLoad_USD,L=1538
Button/Hotkey/OverlordTransportLoad_USDL,A=1539
Button/Hotkey/OverlordTransportUnload,D=1540
Button/Hotkey/OverlordTransportUnload_SC1,U=1541
Button/Hotkey/OverlordTransportUnload_USD,D=1542
Button/Hotkey/OverlordTransportUnload_USDL,D=1543
Button/Hotkey/Overlord_NRS,O=1544
Button/Hotkey/Overlord_SC1,O=1545
Button/Hotkey/Overlord_USD,V=1546
Button/Hotkey/Overlord_USDL,O=1547
Button/Hotkey/OverseerMut,V=1548
Button/Hotkey/OverseerMut_NRS,I=1549
Button/Hotkey/OverseerMut_SC1,O=1550
Button/Hotkey/OverseerMut_USD,V=1551
Button/Hotkey/OverseerMut_USDL,I=1552
Button/Hotkey/PhaseShift,E=1553
Button/Hotkey/PhaseShift_USD,E=1554
Button/Hotkey/PhaseShift_USDL,E=1555
Button/Hotkey/PhasingMode,E=1556
Button/Hotkey/PhasingMode_NRS,I=1557
Button/Hotkey/PhasingMode_USD,E=1558
Button/Hotkey/PhasingMode_USDL,I=1559
Button/Hotkey/Phoenix,X=1560
Button/Hotkey/PhoenixHallucination,X=1561
Button/Hotkey/PhoenixHallucination_NRS,P=1562
Button/Hotkey/PhoenixHallucination_SC1,S=1563
Button/Hotkey/PhoenixHallucination_USD,X=1564
Button/Hotkey/PhoenixHallucination_USDL,P=1565
Button/Hotkey/Phoenix_NRS,P=1566
Button/Hotkey/Phoenix_SC1,E=1567
Button/Hotkey/Phoenix_USD,X=1568
Button/Hotkey/Phoenix_USDL,P=1569
Button/Hotkey/PhotonCannon,C=1570
Button/Hotkey/PhotonCannon_NRS,H=1571
Button/Hotkey/PhotonCannon_USD,C=1572
Button/Hotkey/PhotonCannon_USDL,H=1573
Button/Hotkey/PlanetaryFortress,P=1574
Button/Hotkey/PlanetaryFortressLoad,O=1575
Button/Hotkey/PlanetaryFortressLoad_NRS,A=1576
Button/Hotkey/PlanetaryFortressLoad_USD,O=1577
Button/Hotkey/PlanetaryFortressLoad_USDL,A=1578
Button/Hotkey/PlanetaryFortress_USD,P=1579
Button/Hotkey/PlanetaryFortress_USDL,P=1580
Button/Hotkey/PointDefenseDrone,D=1581
Button/Hotkey/PointDefenseDrone_NRS,I=1582
Button/Hotkey/PointDefenseDrone_USD,D=1583
Button/Hotkey/PointDefenseDrone_USDL,I=1584
Button/Hotkey/Probe,E=1585
Button/Hotkey/ProbeHallucination,E=1586
Button/Hotkey/ProbeHallucination_NRS,B=1587
Button/Hotkey/ProbeHallucination_SC1,P=1588
Button/Hotkey/ProbeHallucination_USD,E=1589
Button/Hotkey/ProbeHallucination_USDL,B=1590
Button/Hotkey/Probe_NRS,P=1591
Button/Hotkey/Probe_SC1,P=1592
Button/Hotkey/Probe_USD,E=1593
Button/Hotkey/Probe_USDL,P=1594
Button/Hotkey/ProtossAirArmorLevel1,A=1595
Button/Hotkey/ProtossAirArmorLevel1_NRS,A=1596
Button/Hotkey/ProtossAirArmorLevel1_USD,A=1597
Button/Hotkey/ProtossAirArmorLevel1_USDL,A=1598
Button/Hotkey/ProtossAirArmorLevel2,A=1599
Button/Hotkey/ProtossAirArmorLevel2_NRS,A=1600
Button/Hotkey/ProtossAirArmorLevel2_USD,A=1601
Button/Hotkey/ProtossAirArmorLevel2_USDL,A=1602
Button/Hotkey/ProtossAirArmorLevel3,A=1603
Button/Hotkey/ProtossAirArmorLevel3_NRS,A=1604
Button/Hotkey/ProtossAirArmorLevel3_USD,A=1605
Button/Hotkey/ProtossAirArmorLevel3_USDL,A=1606
Button/Hotkey/ProtossAirWeaponsLevel1,E=1607
Button/Hotkey/ProtossAirWeaponsLevel1_NRS,P=1608
Button/Hotkey/ProtossAirWeaponsLevel1_SC1,W=1609
Button/Hotkey/ProtossAirWeaponsLevel1_USD,E=1610
Button/Hotkey/ProtossAirWeaponsLevel1_USDL,P=1611
Button/Hotkey/ProtossAirWeaponsLevel2,E=1612
Button/Hotkey/ProtossAirWeaponsLevel2_NRS,P=1613
Button/Hotkey/ProtossAirWeaponsLevel2_SC1,W=1614
Button/Hotkey/ProtossAirWeaponsLevel2_USD,E=1615
Button/Hotkey/ProtossAirWeaponsLevel2_USDL,P=1616
Button/Hotkey/ProtossAirWeaponsLevel3,E=1617
Button/Hotkey/ProtossAirWeaponsLevel3_NRS,P=1618
Button/Hotkey/ProtossAirWeaponsLevel3_SC1,W=1619
Button/Hotkey/ProtossAirWeaponsLevel3_USD,E=1620
Button/Hotkey/ProtossAirWeaponsLevel3_USDL,P=1621
Button/Hotkey/ProtossBuild,B=1622
Button/Hotkey/ProtossBuildAdvanced,V=1623
Button/Hotkey/ProtossBuildAdvanced_NRS,N=1624
Button/Hotkey/ProtossBuildAdvanced_USD,V=1625
Button/Hotkey/ProtossBuildAdvanced_USDL,N=1626
Button/Hotkey/ProtossBuild_USD,B=1627
Button/Hotkey/ProtossBuild_USDL,B=1628
Button/Hotkey/ProtossGroundArmorLevel1,A=1629
Button/Hotkey/ProtossGroundArmorLevel1_USD,A=1630
Button/Hotkey/ProtossGroundArmorLevel1_USDL,A=1631
Button/Hotkey/ProtossGroundArmorLevel2,A=1632
Button/Hotkey/ProtossGroundArmorLevel2_USD,A=1633
Button/Hotkey/ProtossGroundArmorLevel2_USDL,A=1634
Button/Hotkey/ProtossGroundArmorLevel3,A=1635
Button/Hotkey/ProtossGroundArmorLevel3_USD,A=1636
Button/Hotkey/ProtossGroundArmorLevel3_USDL,A=1637
Button/Hotkey/ProtossGroundWeaponsLevel1,G=1638
Button/Hotkey/ProtossGroundWeaponsLevel1_SC1,W=1639
